hierarchy_label,level_id,n_side,perturbation_label,amplitude,classification,failure_mechanism,survival_indicator,spectral_gap_shift_relative,mode_mixing_indicator,norm_retention_relative,recovery_style_score
frozen_branch,n60,60,connectivity_micro_surgery,0.8,persistent,survives,1,7.19832e-07,0.88492522356,0.999798673367,0.864808186921
frozen_branch,n60,60,connectivity_micro_surgery,1.0,persistent,survives,1,5.839765e-06,0.884914798879,0.999738870191,0.886050291017
frozen_branch,n60,60,phase_randomization_window,0.0,persistent,survives,1,0.0,0.884963184756,1.0,1.0
frozen_branch,n60,60,phase_randomization_window,0.02,persistent,survives,1,0.0,0.886580601284,0.998532592368,0.942990259508
frozen_branch,n60,60,phase_randomization_window,0.04,persistent,survives,1,0.0,0.888338226153,0.996869497974,0.878084320145
frozen_branch,n60,60,phase_randomization_window,0.06,persistent,survives,1,0.0,0.890230013119,0.995012408383,0.805970586864
frozen_branch,n60,60,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.892249469865,0.992963204687,0.727309651365
frozen_branch,n60,60,phase_randomization_window,0.1,diffusive,incoherence_triggered,0,0.0,0.894389684979,0.990723954122,0.686358572332
frozen_branch,n60,60,phase_randomization_window,0.12,diffusive,incoherence_triggered,0,0.0,0.896643356773,0.988296906357,0.66996646526
frozen_branch,n60,60,phase_randomization_window,0.14,diffusive,incoherence_triggered,0,0.0,0.899002823843,0.985684489462,0.65236827738
frozen_branch,n60,60,phase_randomization_window,0.16,diffusive,incoherence_triggered,0,0.0,0.901460097289,0.982889305567,0.633572097519
frozen_branch,n60,60,boundary_leakage_probe,0.0,persistent,survives,1,0.0,0.884963184756,1.0,1.0
frozen_branch,n60,60,boundary_leakage_probe,0.2,persistent,survives,1,0.0,0.885273999377,0.999887727555,0.980660788614
frozen_branch,n60,60,boundary_leakage_probe,0.4,persistent,survives,1,0.0,0.885545574352,0.999795756766,0.969303041691
frozen_branch,n60,60,boundary_leakage_probe,0.8,persistent,survives,1,0.0,0.885991429967,0.99965622035,0.958061309814
frozen_branch,n60,60,boundary_leakage_probe,1.2,persistent,survives,1,0.0,0.886334930482,0.999557224123,0.952418272649
frozen_branch,n60,60,boundary_leakage_probe,1.6,persistent,survives,1,0.0,0.886601504591,0.999484376064,0.948126780063
frozen_branch,n60,60,boundary_leakage_probe,2.0,persistent,survives,1,0.0,0.88681007107,0.999428924949,0.944220192897
frozen_branch,n72,72,local_stiffness_defect,0.0,persistent,survives,1,1e-12,0.769862043945,1.0,1.0
frozen_branch,n72,72,local_stiffness_defect,0.1,persistent,survives,1,0.000240438022,0.769889012249,1.000066285428,0.982345496225
frozen_branch,n72,72,local_stiffness_defect,0.2,persistent,survives,1,0.000503056872,0.769917677102,1.000136590467,0.963045522281
frozen_branch,n72,72,local_stiffness_defect,0.3,persistent,survives,1,0.000791178417,0.769948268695,1.000211445997,0.941912366239
frozen_branch,n72,72,local_stiffness_defect,0.4,persistent,survives,1,0.001108831727,0.76998107705,1.00029151803,0.918795528992
frozen_branch,n72,72,local_stiffness_defect,0.5,persistent,survives,1,0.001460952841,0.770016474374,1.000377657499,0.893658027512
frozen_branch,n72,72,local_stiffness_defect,0.6,persistent,survives,1,0.001853656551,0.770054947375,1.000470972067,0.866726250745
frozen_branch,n72,72,local_stiffness_defect,0.7,persistent,survives,1,0.002294612643,0.770097144483,1.000572930877,0.838772041476
frozen_branch,n72,72,local_stiffness_defect,0.8,persistent,survives,1,0.00279357831,0.770143945602,1.000685519007,0.811622880099
frozen_branch,n72,72,local_stiffness_defect,0.9,diffusive,spectral_mixing_dominated,0,0.003363184626,0.770196566238,1.000811467814,0.782384237202
frozen_branch,n72,72,local_stiffness_defect,1.0,diffusive,spectral_mixing_dominated,0,0.003679555157,0.770225567646,1.000880592227,0.743008966128
frozen_branch,n72,72,connectivity_micro_surgery,0.0,persistent,survives,1,0.0,0.769862043945,1.0,1.0
frozen_branch,n72,72,connectivity_micro_surgery,0.2,persistent,survives,1,5.5863e-08,0.769858858398,0.999992114587,0.996523589674
frozen_branch,n72,72,connectivity_micro_surgery,0.4,persistent,survives,1,1.7989e-07,0.769849538601,0.999969033123,0.984268901442
frozen_branch,n72,72,connectivity_micro_surgery,0.6,persistent,survives,1,1.9578e-07,0.769835726456,0.999934679619,0.962424374993
frozen_branch,n72,72,connectivity_micro_surgery,0.8,persistent,survives,1,3.44978e-07,0.769820354358,0.999896036665,0.903005520278
frozen_branch,n72,72,connectivity_micro_surgery,1.0,persistent,survives,1,2.803038e-06,0.769807521173,0.999862823031,0.917050062013
frozen_branch,n72,72,phase_randomization_window,0.0,persistent,survives,1,0.0,0.769862043945,1.0,1.0
frozen_branch,n72,72,phase_randomization_window,0.02,persistent,survives,1,0.0,0.774661230106,0.998942523037,0.943182373611
frozen_branch,n72,72,phase_randomization_window,0.04,persistent,survives,1,0.0,0.779847742845,0.997741279902,0.878135752949
frozen_branch,n72,72,phase_randomization_window,0.06,persistent,survives,1,0.0,0.785395432663,0.996397196569,0.805609797923
frozen_branch,n72,72,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.791276573141,0.99491130596,0.726320312833
frozen_branch,n72,72,phase_randomization_window,0.1,diffusive,incoherence_triggered,0,0.0,0.797462031801,0.99328474646,0.702440452754
frozen_branch,n72,72,phase_randomization_window,0.12,diffusive,incoherence_triggered,0,0.0,0.803921449315,0.991518760278,0.690134300442
frozen_branch,n72,72,phase_randomization_window,0.14,diffusive,incoherence_triggered,0,0.0,0.810623425969,0.989614691666,0.676907261651
frozen_branch,n72,72,phase_randomization_window,0.16,diffusive,incoherence_triggered,0,0.0,0.817535714242,0.98757398499,0.66276486151
frozen_branch,n72,72,boundary_leakage_probe,0.0,persistent,survives,1,0.0,0.769862043945,1.0,1.0
frozen_branch,n72,72,boundary_leakage_probe,0.2,persistent,survives,1,0.0,0.770305852468,0.999900180727,0.979011763726
frozen_branch,n72,72,boundary_leakage_probe,0.4,persistent,survives,1,0.0,0.770693276421,0.999819821988,0.969980535427
frozen_branch,n72,72,boundary_leakage_probe,0.8,persistent,survives,1,0.0,0.771327988173,0.999700942052,0.96595413103
frozen_branch,n72,72,boundary_leakage_probe,1.2,persistent,survives,1,0.0,0.771815039143,0.999619398854,0.965395572577
frozen_branch,n72,72,boundary_leakage_probe,1.6,persistent,survives,1,0.0,0.772191073259,0.999561232357,0.963248163862
frozen_branch,n72,72,boundary_leakage_probe,2.0,persistent,survives,1,0.0,0.77248348896,0.999518155707,0.959569317013
frozen_branch,n84,84,local_stiffness_defect,0.0,persistent,survives,1,0.0,0.790599510065,1.0,1.0
frozen_branch,n84,84,local_stiffness_defect,0.1,persistent,survives,1,0.000176859942,0.790612201329,1.000036518978,0.986918937723
frozen_branch,n84,84,local_stiffness_defect,0.2,persistent,survives,1,0.000369974975,0.790625664392,1.000075102866,0.972777833331
frozen_branch,n84,84,local_stiffness_defect,0.3,persistent,survives,1,0.000581770538,0.790639995933,1.000115997482,0.957477485123
frozen_branch,n84,84,local_stiffness_defect,0.4,persistent,survives,1,0.000815186497,0.79065531619,1.000159506905,0.940954417596
frozen_branch,n84,84,local_stiffness_defect,0.5,persistent,survives,1,0.001073821882,0.790671777582,1.000206014512,0.923238013984
frozen_branch,n84,84,local_stiffness_defect,0.6,persistent,survives,1,0.001362131569,0.790689577207,1.000256013385,0.904561484179
frozen_branch,n84,84,local_stiffness_defect,0.7,persistent,survives,1,0.001685698068,0.790708975175,1.000310150856,0.885570745175
frozen_branch,n84,84,local_stiffness_defect,0.8,persistent,survives,1,0.002051614889,0.790730321879,1.000369294636,0.867706869806
frozen_branch,n84,84,local_stiffness_defect,0.9,persistent,survives,1,0.002469045331,0.790754099093,1.000434632345,0.834544997499
frozen_branch,n84,84,local_stiffness_defect,1.0,persistent,survives,1,0.002700729309,0.790767100452,1.000470118405,0.804710718017
frozen_branch,n84,84,connectivity_micro_surgery,0.0,persistent,survives,1,0.0,0.790599510065,1.0,1.0
frozen_branch,n84,84,connectivity_micro_surgery,0.2,persistent,survives,1,3.016e-08,0.790597925859,0.999995566638,0.997356441185
frozen_branch,n84,84,connectivity_micro_surgery,0.4,persistent,survives,1,9.7135e-08,0.790593309903,0.999982656685,0.988142351903
frozen_branch,n84,84,connectivity_micro_surgery,0.6,persistent,survives,1,1.0583e-07,0.790586453423,0.999963376648,0.971704328477
frozen_branch,n84,84,connectivity_micro_surgery,0.8,persistent,survives,1,1.85508e-07,0.790578751335,0.99994142883,0.927139437978
frozen_branch,n84,84,connectivity_micro_surgery,1.0,persistent,survives,1,1.508736e-06,0.79057213522,0.999921925455,0.936962434209
frozen_branch,n84,84,phase_randomization_window,0.0,persistent,survives,1,0.0,0.790599510065,1.0,1.0
frozen_branch,n84,84,phase_randomization_window,0.02,persistent,survives,1,0.0,0.794931214012,0.999204911117,0.943353728074
frozen_branch,n84,84,phase_randomization_window,0.04,persistent,survives,1,0.0,0.799605074175,0.998300372956,0.878253141195
frozen_branch,n84,84,phase_randomization_window,0.06,persistent,survives,1,0.0,0.804597453287,0.997286927162,0.805487105568
frozen_branch,n84,84,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.809883327918,0.996165179243,0.725806294245
frozen_branch,n84,84,phase_randomization_window,0.1,diffusive,incoherence_triggered,0,0.0,0.815436451943,0.994935797874,0.71340426087
frozen_branch,n84,84,phase_randomization_window,0.12,diffusive,incoherence_triggered,0,0.0,0.821229527396,0.993599514112,0.703903817691
frozen_branch,n84,84,phase_randomization_window,0.14,diffusive,incoherence_triggered,0,0.0,0.827234381534,0.992157120561,0.693683352444
frozen_branch,n84,84,phase_randomization_window,0.16,diffusive,incoherence_triggered,0,0.0,0.833422148836,0.990609470449,0.682746558186
frozen_branch,n84,84,boundary_leakage_probe,0.0,persistent,survives,1,0.0,0.790599510065,1.0,1.0
frozen_branch,n84,84,boundary_leakage_probe,0.2,persistent,survives,1,0.0,0.790975620368,0.999912293031,0.97869792435
frozen_branch,n84,84,boundary_leakage_probe,0.4,persistent,survives,1,0.0,0.79130370148,0.999842408472,0.974164243704
frozen_branch,n84,84,boundary_leakage_probe,0.8,persistent,survives,1,0.0,0.791840433948,0.999740578449,0.981047538229
frozen_branch,n84,84,boundary_leakage_probe,1.2,persistent,survives,1,0.0,0.792251310809,0.999672160384,0.987206394536
frozen_branch,n84,84,boundary_leakage_probe,1.6,persistent,survives,1,0.0,0.792567611183,0.999624294472,0.987265366099
frozen_branch,n84,84,boundary_leakage_probe,2.0,persistent,survives,1,0.0,0.792812753182,0.999589452583,0.983068778664
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.0,diffusive,spectral_mixing_dominated,0,0.0,0.618065873265,1.0,1.0
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.1,diffusive,spectral_mixing_dominated,0,0.000311139484,0.618227411869,1.000255010629,0.975237020886
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.2,diffusive,spectral_mixing_dominated,0,0.000639724444,0.618398704617,1.000524710656,0.947754906472
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.3,diffusive,spectral_mixing_dominated,0,0.000987312045,0.618581051146,1.000810987254,0.917088026436
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.4,diffusive,spectral_mixing_dominated,0,0.001355653218,0.618776056859,1.001116159041,0.882673237301
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.5,diffusive,spectral_mixing_dominated,0,0.001746724025,0.618985731131,1.001443112116,0.843830243163
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.6,diffusive,spectral_mixing_dominated,0,0.002162763407,0.619212622867,1.001795487396,0.799741028166
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.7,diffusive,spectral_mixing_dominated,0,0.002606318944,0.619460009159,1.002177940915,0.749431848136
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.8,diffusive,spectral_mixing_dominated,0,0.003080302897,0.619732159923,1.002596508633,0.691765332471
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,0.9,diffusive,spectral_mixing_dominated,0,0.003588061833,0.620034711836,1.003059121935,0.661469674213
periodic_diagonal_augmented_control,n48,48,local_stiffness_defect,1.0,diffusive,spectral_mixing_dominated,0,0.003855792804,0.620199650029,1.003310117217,0.654389857981
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,0.0,diffusive,topological_defect_triggered,0,0.0,0.618065873265,1.0,1.0
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,0.2,diffusive,topological_defect_triggered,0,0.000860177766,0.618458402909,1.00061648729,0.931404272099
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,0.4,diffusive,topological_defect_triggered,0,0.00180831096,0.618876293538,1.001267605021,0.843979147991
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,0.6,diffusive,topological_defect_triggered,0,0.002418070178,0.619133374626,1.001666295528,0.795050409601
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,0.8,diffusive,topological_defect_triggered,0,0.002355019702,0.619098060924,1.00161336779,0.846976299214
periodic_diagonal_augmented_control,n48,48,connectivity_micro_surgery,1.0,diffusive,topological_defect_triggered,0,0.002193778621,0.619031148575,1.001509493834,0.930153794903
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.0,diffusive,incoherence_triggered,0,0.0,0.618065873265,1.0,1.0
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.02,diffusive,incoherence_triggered,0,0.0,0.62393689812,0.99672351185,0.943041076802
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.04,diffusive,incoherence_triggered,0,0.0,0.630266410817,0.993043694905,0.87936388376
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.06,diffusive,incoherence_triggered,0,0.0,0.637036198634,0.988967068021,0.809397897384
