hierarchy_label,level_id,n_side,h,candidate_label,perturbation_label,amplitude,evaluation_tau,overlap_with_baseline,recovery_style_score,classification,survival_indicator,failure_mechanism,localization_width,width_growth,concentration_ratio,participation_growth,spectral_gap_shift_relative,mode_mixing_indicator,local_connectivity_variance,local_spectral_density_proxy,coefficient_ratio_shift_proxy,norm_retention_relative,leakage_rate
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.0,0.8,1.0,1.0,persistent,1,survives,0.084133013487,0.051662668587,0.904831589977,0.105585457371,0.0,0.779318152175,0.0,1.0,0.001780667517,1.0,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.02,0.8,0.999528152166,0.942879321713,persistent,1,survives,0.084234915675,0.052936445937,0.901819489563,0.108705170416,0.0,0.782365481357,0.0,1.0,0.001780667517,0.997850027916,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.04,0.8,0.998110506777,0.878369692621,persistent,1,survives,0.08434441274,0.05430515925,0.898369479137,0.112144218638,0.0,0.78568348659,0.0,1.0,0.001780667517,0.995422270453,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.06,0.8,0.995744578585,0.807059315058,persistent,1,survives,0.084461474696,0.0557684337,0.894483609726,0.115903507943,0.0,0.789260661092,0.0,1.0,0.001780667517,0.992720059511,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.08,0.8,0.992428789243,0.729516904599,diffusive,0,incoherence_triggered,0.084586067985,0.057325849812,0.890164218083,0.119983796313,0.0,0.793084658085,0.0,1.0,0.001780667517,0.989747083577,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.1,0.8,0.988162490028,0.662301552416,diffusive,0,incoherence_triggered,0.084718155287,0.058976941087,0.885413937349,0.124385662834,0.0,0.797142329644,0.0,1.0,0.001780667517,0.986507379513,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.12,0.8,0.982945986648,0.639855058013,diffusive,0,incoherence_triggered,0.084857695312,0.0607211914,0.88023570891,0.12910947258,0.0,0.801419768531,0.0,1.0,0.001780667517,0.983005323591,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.14,0.8,0.976780566074,0.615791490434,diffusive,0,incoherence_triggered,0.085004642586,0.062558032325,0.874632794949,0.134155337214,0.0,0.805902353062,0.0,1.0,0.001780667517,0.979245621788,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,phase_randomization_window,0.16,0.8,0.969668525374,0.590121194753,diffusive,0,incoherence_triggered,0.085158947215,0.064486840188,0.868608792482,0.139523071118,0.0,0.810574795065,0.0,1.0,0.001780667517,0.975233299372,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,0.0,0.8,1.0,1.0,persistent,1,survives,0.084133013487,0.051662668587,0.904831589977,0.105585457371,0.0,0.779318152175,0.0,1.0,0.001780667517,1.0,0.0
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,0.2,0.8,0.999994428217,0.980030240501,persistent,1,survives,0.084052003852,0.05065004815,0.905112091312,0.104903135741,0.0,0.779812606244,0.0,1.0,0.001780667517,0.999845034053,0.000193722444
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,0.4,0.8,0.999980373177,0.966290588493,persistent,1,survives,0.083985560716,0.04981950895,0.905345903264,0.104335021977,0.0,0.780248281186,0.0,1.0,0.001780667517,0.999715917221,0.000355153923
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,0.8,0.8,0.999938398712,0.949327550604,persistent,1,survives,0.083884720304,0.0485590038,0.905709388109,0.103453102349,0.0,0.780972776628,0.0,1.0,0.001780667517,0.99951529103,0.000606033099
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,1.2,0.8,0.999889595258,0.939278507475,persistent,1,survives,0.083813303724,0.04766629655,0.905975412151,0.102808769406,0.0,0.781541260978,0.0,1.0,0.001780667517,0.999368535043,0.000789580518
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,1.6,0.8,0.999841408725,0.932297192112,persistent,1,survives,0.083760959703,0.047011996287,0.90617660292,0.10232220128,0.0,0.781991011389,0.0,1.0,0.001780667517,0.99925758818,0.00092835943
frozen_branch,n48,48,0.020833333333,low_mode_localized_wavepacket,boundary_leakage_probe,2.0,0.8,0.999797070383,0.926918055135,persistent,1,survives,0.083721336886,0.046516711075,0.906333348505,0.10194362284,0.0,0.782350029702,0.0,1.0,0.001780667517,0.999171176283,0.001036459226
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.0,0.8,1.0,1.0,persistent,1,survives,0.08268941,0.033617625,0.936313940059,0.068191384751,0.0,0.884963184756,0.0,1.0,0.001122879311,1.0,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.1,0.8,0.999998817349,0.974970453216,persistent,1,survives,0.082677448987,0.033468112338,0.94383297194,0.067539781123,0.0003455341,0.884988059402,0.004243937587,1.0,0.001122879311,1.000132906202,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.2,0.8,0.99999488939,0.947274607751,persistent,1,survives,0.082664501684,0.03330627105,0.952438194757,0.066813206465,0.000723117821,0.885014743079,0.016975750349,1.0,0.001122879311,1.000274718911,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.3,0.8,0.999987499341,0.916552753898,persistent,1,survives,0.08265041008,0.033130126,0.962341971577,0.065994056894,0.00113757679,0.885043521364,0.038195438286,1.0,0.001122879311,1.000426772247,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.4,0.8,0.999975668093,0.882475562542,persistent,1,survives,0.08263497666,0.03293720825,0.973804778193,0.065058672381,0.001594769539,0.885074760465,0.067903001397,1.0,0.001122879311,1.000590766532,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.5,0.8,0.999958038475,0.844850104798,persistent,1,survives,0.082617951314,0.032724391425,0.987147255721,0.063974811109,0.002101880978,0.885108938039,0.106098439683,1.0,0.001122879311,1.000768906338,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.6,0.8,0.99993270406,0.803833070506,persistent,1,survives,0.082599013017,0.032487662712,1.002765627522,0.062697946478,0.002667822409,0.885146687689,0.152781753143,1.0,0.001122879311,1.000964099455,0.0
