case_id,split,graph_family,graph_seed,n_nodes,perturbation,severity,affected_nodes,recovery_time,final_residual_error,post_recovery_similarity,recovered_label,recovery_quality,affected_betweenness,affected_closeness,affected_degree,affected_eigenvector,affected_pagerank,algebraic_connectivity,domain_diffusion_early_probe,graph_density,graph_n_nodes,haos_causal_depth_proxy,haos_distance_surrogate_proxy,haos_invariant_overlap,haos_persistence_proxy,haos_recovery_score_proxy,haos_temporal_order_stability,shortest_path_to_perturbation
pb01_case_09d31e41be9a1ec3435f03e1,development,erdos_renyi,101,24,node_removal,0.160000,15,0,0.034379739178,0.987672844958,1,0.937491383312,0.123107033773,0.782608695652,0.465733971095,0.526599784651,0.499680051846,1.184077330652,0.964079623122,0.260869565217,24.000000000000,0.342857142857,0.925264644233,0.993467188578,0.000000000000,0.964079623122,1.000000000000,0.333333333333
pb01_case_89110a7c8dc12d37b16ce47e,development,erdos_renyi,101,24,node_removal,0.280000,6,0,0.046632305517,0.977244163142,1,0.915213989970,0.236597692448,0.857142857143,0.642444580904,0.715871796856,0.650003428778,1.184077330652,0.955147712459,0.260869565217,24.000000000000,0.363636363636,0.934592694261,0.977332386116,0.000000000000,0.955147712459,1.000000000000,0.333333333333
pb01_case_f665332944becf2893d8a90d,development,erdos_renyi,101,24,edge_removal,0.160000,2 3 4 5 6 7 9 11 15 16 17 18 20 21 22 23,0,0.038346982482,0.984631516264,1,0.930278213670,0.397478412033,0.863120303222,0.676692058425,0.709062001183,0.688263608659,1.184077330652,0.967234970626,0.260869565217,24.000000000000,0.750000000000,0.987540607093,1.000000000000,0.640917264898,0.967234970626,0.333333333333,0.410256410256
pb01_case_b3df37a65e6dc39ce9df99a2,development,erdos_renyi,101,24,edge_removal,0.280000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23,0,0.040987820021,0.982232227847,1,0.925476690871,0.384251873567,0.852002182396,0.647395539920,0.690800034869,0.662415864566,1.184077330652,0.965166732995,0.260869565217,24.000000000000,0.888888888889,0.996405443854,1.000000000000,0.322547961238,0.965166732995,0.333333333333,0.411764705882
pb01_case_2283c97d16cc0d5227102d08,development,erdos_renyi,101,24,weight_degradation,0.160000,1 7 16 17 18 22,0,0.006669898822,0.999519602389,1,0.987872911233,0.307565894069,0.808749035139,0.626000986622,0.603297461528,0.647744751222,1.184077330652,0.983672102761,0.260869565217,24.000000000000,0.521739130435,0.962910254152,1.000000000000,0.997547965868,0.983672102761,1.000000000000,0.352941176471
pb01_case_0bf29478fa7f531bdfd85096,development,erdos_renyi,101,24,weight_degradation,0.280000,0 1 2 17 20 21,0,0.010374917150,0.998848351062,1,0.981136514273,0.373291657346,0.841502510750,0.606280074867,0.609647306843,0.630392202110,1.184077330652,0.982690385117,0.260869565217,24.000000000000,0.510638297872,0.961651649091,1.000000000000,0.986941017244,0.982690385117,1.000000000000,0.352941176471
pb01_case_e945c633a70ad5719723bc0b,development,erdos_renyi,101,24,localized_state_shock,0.160000,11 12 13,0,0.000003766986,0.999999999846,1,0.999993150934,0.589266633874,0.850739418664,0.667400688822,0.679115976731,0.696582525903,1.184077330652,0.989258185582,0.260869565217,24.000000000000,0.444444444444,0.954143393814,0.992783392210,1.000000000000,0.989258185582,1.000000000000,0.500000000000
pb01_case_e476d48906a232e5462a3f1b,development,erdos_renyi,101,24,localized_state_shock,0.280000,9 10 11 14,0,0.000006487929,0.999999999545,1,0.999988203766,0.718403464132,0.923986486486,0.797890872095,0.839727777671,0.800584119945,1.184077330652,0.979470030743,0.260869565217,24.000000000000,0.489795918367,0.961581232697,0.972460520829,1.000000000000,0.979470030743,1.000000000000,0.500000000000
pb01_case_bc886d2cafb6a877f9761014,development,erdos_renyi,102,24,node_removal,0.160000,8,0,0.046840088008,0.976553005738,1,0.914836203621,0.122826458081,0.808510638298,0.688733849193,0.611139422531,0.712584743150,0.912124019384,0.954864681362,0.235507246377,24.000000000000,0.338028169014,0.926194997215,0.977132293215,0.000000000000,0.954864681362,1.000000000000,0.333333333333
pb01_case_7bf0c406ea7136f954df5a6b,development,erdos_renyi,102,24,node_removal,0.280000,10,0,0.065932648971,0.953459378175,1,0.880122456416,1.000000000000,1.000000000000,1.000000000000,0.869080114833,1.000000000000,0.912124019384,0.937121479005,0.235507246377,24.000000000000,0.387096774194,0.939137391593,0.953368240684,0.000000000000,0.937121479005,1.000000000000,1.000000000000
