hierarchy_label,schedule_label,level_id,n_side,h,separation_lattice_units,separation_physical,tau,left_identity,right_identity,min_identity,center_identity,left_local_mass,right_local_mass,min_local_mass_ratio,pair_width,pair_overlap_with_initial,norm_retention,low_mode_occupancy,low_mode_occupancy_ratio
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,0.0,0.967016813342,0.967016813342,0.967016813342,0.995349397456,0.725146102669,0.725146102669,1.0,0.069777770775,1.0,1.0,0.366575769592,1.0
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,0.4,0.967027113587,0.967027113587,0.967027113587,0.994156186942,0.718090753706,0.718090753706,0.990270444897,0.07153890852,0.999504232137,0.967302228772,0.384049279513,1.047666843721
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,0.8,0.9666634173,0.9666634173,0.9666634173,0.992644837595,0.711126914003,0.711126914003,0.980667084034,0.073275272115,0.998122926409,0.937433232951,0.400865198333,1.093539812463
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,1.2,0.965997280854,0.965997280854,0.965997280854,0.990886646793,0.704259995926,0.704259995926,0.971197381236,0.07498720489,0.99599620296,0.910021788263,0.417026150789,1.137626066375
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,1.6,0.965087085361,0.965087085361,0.965087085361,0.988938911868,0.697493647186,0.697493647186,0.961866366818,0.076675173581,0.993242469156,0.884759858273,0.432537692972,1.17994076219
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,2.0,0.963980633181,0.963980633181,0.963980633181,0.986847793075,0.690830178294,0.690830178294,0.952677227047,0.078339725284,0.989962063103,0.861389634945,0.447407707971,1.220505404569
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,2.4,0.962717188633,0.962717188633,0.962717188633,0.984650550285,0.684270880738,0.684270880738,0.943631742927,0.079981456885,0.986240228052,0.839693648218,0.461645916263,1.259346510484
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,3.0,0.960596833628,0.960596833628,0.960596833628,0.981219978687,0.674628207472,0.674628207472,0.930334183675,0.082402637346,0.979985623112,0.809892124621,0.481843316308,1.314443987513
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,3.6,0.958281129539,0.958281129539,0.958281129539,0.977695572341,0.665220281555,0.665220281555,0.917360348634,0.084776031831,0.973100455477,0.782932398676,0.500686613569,1.365847541225
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,4.2,0.955835172303,0.955835172303,0.955835172303,0.974134440115,0.656044387975,0.656044387975,0.904706493712,0.087103779888,0.965744443017,0.758401171949,0.518221675474,1.413682295617
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,0.0,0.950791847299,0.950791847299,0.950791847299,0.925484323175,0.565835490227,0.565835490227,1.0,0.076490152068,1.0,1.0,0.447123154952,1.0
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,0.4,0.948558211201,0.948558211201,0.948558211201,0.930075036507,0.562569556953,0.562569556953,0.994228122255,0.078111543139,0.999493183888,0.972337000146,0.463783405429,1.037260987924
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,0.8,0.946189273507,0.946189273507,0.946189273507,0.933504639517,0.55923782932,0.55923782932,0.988339966261,0.079672951536,0.998126364118,0.947213975946,0.479285354446,1.071931411153
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,1.2,0.943765817275,0.943765817275,0.943765817275,0.936012999434,0.555851482316,0.555851482316,0.982355281555,0.081182606053,0.996089382734,0.924226890353,0.493735654712,1.104249800629
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,1.6,0.941341577223,0.941341577223,0.941341577223,0.937786230447,0.55242131562,0.55242131562,0.976293154392,0.082647389409,0.993528637822,0.903058333773,0.507225630172,1.134420404211
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,2.0,0.93895152681,0.93895152681,0.93895152681,0.93896979794,0.548957384504,0.548957384504,0.970171355432,0.08407304558,0.99055764304,0.883455401486,0.51983363377,1.162618459843
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,2.4,0.936617686521,0.936617686521,0.936617686521,0.939678237454,0.545468829821,0.545468829821,0.964006039287,0.085464368064,0.987264933011,0.865213901853,0.531627178518,1.188994961748
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,3.0,0.933249321951,0.933249321951,0.933249321951,0.94004361369,0.540207454191,0.540207454191,0.954707620009,0.087495558805,0.981870532647,0.8400473189,0.547916305815,1.225425925155
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,3.6,0.93005638475,0.930056384749,0.930056384749,0.939773737342,0.5349325153,0.5349325153,0.945385230406,0.089469262036,0.976081505211,0.817127261194,0.562670185437,1.258423276016
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,4.2,0.927042285377,0.927042285377,0.927042285377,0.93903768549,0.529663370727,0.529663370727,0.936073081092,0.091393900483,0.97002318972,0.796109399709,0.576027485909,1.288297149297
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,0.0,0.989674135235,0.989674135235,0.989674135235,0.689240103949,0.44671387556,0.44671387556,1.0,0.079223437365,1.0,1.0,0.405243717167,1.0
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,0.4,0.987792890071,0.987792890071,0.987792890071,0.71561661078,0.443208711568,0.443208711568,0.992153447242,0.081376783994,0.999217389835,0.965627178374,0.426555886041,1.052590991471
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,0.8,0.985252160178,0.985252160178,0.985252160178,0.738543195028,0.439814809547,0.439814809547,0.984555962125,0.083458687217,0.997073326284,0.935172793249,0.446384006945,1.101519870722
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,1.2,0.982212406969,0.982212406969,0.982212406969,0.758423154504,0.436526794964,0.436526794964,0.977195513384,0.085467477949,0.993839109663,0.908004565878,0.464764034853,1.146875362071
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,1.6,0.978806077802,0.978806077802,0.978806077802,0.775636230591,0.433338632154,0.433338632154,0.970058589764,0.087403282582,0.989744022947,0.883610441646,0.481750113366,1.188791073022
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,2.0,0.975141790135,0.975141790135,0.975141790135,0.790529263562,0.430244018938,0.430244018938,0.963131083399,0.089267571941,0.984980174153,0.86157295512,0.497408202896,1.227429770837
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,2.4,0.97130796775,0.97130796775,0.97130796775,0.803412362719,0.427236665911,0.427236665911,0.956398915022,0.091062773639,0.979707260211,0.84154963951,0.511811090364,1.26297106823
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,3.0,0.965391552499,0.965391552499,0.965391552499,0.819556165966,0.422876016327,0.422876016327,0.946637298421,0.093632857859,0.971125068853,0.814686492288,0.531227964705,1.310885134552
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,3.6,0.959434130993,0.959434130993,0.959434130993,0.832560739936,0.418678951959,0.418678951959,0.937241878672,0.096066277587,0.962036767074,0.790970112845,0.548246572812,1.352881117183
