hierarchy_label,schedule_label,level_id,n_side,h,separation_lattice_units,separation_physical,left_center_x,left_center_y,right_center_x,right_center_y,evaluation_tau,persistence_time_tau,outcome_class,min_identity_at_eval,center_identity_at_eval,min_local_mass_ratio_at_eval,pair_width_at_eval,pair_overlap_at_eval,norm_retention_at_eval,low_mode_occupancy_ratio_at_eval,spectral_gap,identity_loss_relative_to_one
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,4,0.083333333333,0.458333333333,0.5,0.541666666667,0.5,0.8,4.2,decoherence,0.9666634173,0.992644837595,0.980667084034,0.073275272115,0.998122926409,0.937433232951,1.093539812463,0.017091721482,0.0333365827
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,8,0.166666666667,0.416666666667,0.5,0.583333333333,0.5,0.8,4.2,decoherence,0.946189273507,0.933504639517,0.988339966261,0.079672951536,0.998126364118,0.947213975946,1.071931411153,0.017091721482,0.053810726493
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,12,0.25,0.375,0.5,0.625,0.5,0.8,4.2,survival,0.985252160178,0.738543195028,0.984555962125,0.083458687217,0.997073326284,0.935172793249,1.101519870722,0.017091721482,0.014747839822
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,16,0.333333333333,0.333333333333,0.5,0.666666666667,0.5,0.8,4.2,survival,0.997967862895,0.446462514448,0.980261910516,0.083520419025,0.997305499233,0.927516420281,1.123115319975,0.017091721482,0.002032137105
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,20,0.416666666667,0.291666666667,0.5,0.708333333333,0.5,0.8,4.2,survival,0.998812403507,0.196550525883,0.979064922592,0.083895089921,0.997509526691,0.927081206686,1.129075468817,0.017091721482,0.001187596493
frozen_branch,axis_x_symmetric,n48,48,0.020833333333,24,0.5,0.25,0.5,0.75,0.5,0.8,4.2,survival,0.998827415436,0.042052156415,0.978579087718,0.084064816295,0.997520701252,0.927270422323,1.131646126842,0.017091721482,0.001172584564
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,4,0.083333333333,0.470537217451,0.470537217451,0.529462782549,0.529462782549,0.8,4.2,decoherence,0.963417116023,0.988629127455,0.981026740327,0.073326893825,0.998487798064,0.942359052894,1.082235252959,0.017091721482,0.036582883977
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,8,0.166666666667,0.441074434901,0.441074434901,0.558925565099,0.558925565099,0.8,4.2,decoherence,0.936871495482,0.884281056884,0.990390011732,0.079703861873,0.998024879048,0.952340824248,1.06063300379,0.017091721482,0.063128504518
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,12,0.25,0.411611652352,0.411611652352,0.588388347648,0.588388347648,0.8,4.2,survival,0.985040441689,0.550457479087,0.983539781268,0.08184325634,0.996631936321,0.930453599596,1.112292301019,0.017091721482,0.014959558311
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,16,0.333333333333,0.382148869802,0.382148869802,0.617851130198,0.617851130198,0.8,4.2,survival,0.998192434911,0.156530027254,0.981219442725,0.082659823238,0.997404483552,0.925066200976,1.125093189149,0.017091721482,0.001807565089
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,20,0.416666666667,0.352686087253,0.352686087253,0.647313912747,0.647313912747,0.8,4.2,survival,0.998828823467,0.085888626721,0.979360276308,0.083812655601,0.997567818371,0.926797766686,1.117053083186,0.017091721482,0.001171176533
frozen_branch,diagonal_symmetric,n48,48,0.020833333333,24,0.5,0.323223304703,0.323223304703,0.676776695297,0.676776695297,0.8,4.2,survival,0.998827410143,0.177818928155,0.978461387882,0.08410954106,0.99751904657,0.927312508965,1.109186437673,0.017091721482,0.001172589857
frozen_branch,axis_x_symmetric,n60,60,0.016666666667,4,0.066666666667,0.466666666667,0.5,0.533333333333,0.5,0.8,4.2,decoherence,0.976874426164,0.996691623587,0.986826840568,0.072145427749,0.99910947208,0.956325316218,1.065817322506,0.010948603426,0.023125573836
