sample_index,sample_label,time_value,recoverability,expression_match,step_coherence,trajectory_identity_retention,trajectory_identity_failure,support_retention,delta_persistence,mean_abs_change,median_abs_change,fraction_abs_change_ge_0_5,fraction_abs_change_ge_1_0,visible_failure
0,0 minute,0.0,0.9999999999999999,1.0,1.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,False
1,5 minute,5.0,0.4238018573727904,0.43703192198619956,0.14569436771363342,0.7853494559725903,False,1.0,-0.5761981426272095,1.0782622121301688,0.9590000000000001,0.791,0.4735,True
2,15 minute,15.0,0.08,0.0,0.0,0.8872311428859491,False,1.0,-0.3438018573727904,2.036542581306147,1.905,0.9175,0.837,True
3,30 minute,30.0,0.2891766442786629,0.21165043067224842,0.2839416709732203,0.6671459717040014,False,1.0,0.2091766442786629,1.5848596535295023,1.525,0.8835,0.725,True
4,60 minute,60.0,0.49132397181712506,0.5428323511788354,0.10242339484181773,0.6671459717040014,False,1.0,0.20214732753846215,0.8188897190801019,0.6890000000000001,0.6355,0.305,False
