feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
ARB1,1.0933296056032897,1.6669999999999998,0.7505999999999999,2.9659999999999997
KRE29,0.9509086615113964,1.379,0.65,3.056
LCP5,1.8799321642843818,2.874,1.2692,5.074
RPS26B,1.896104566822287,2.5469999999999997,1.5162,3.5379999999999994
HXK1,4.220203716630383,5.909,2.9654,10.132
YGL102C,1.2464268458364494,1.8559999999999999,1.012,2.738
MTL1,1.5214093455287858,2.067,1.0746,3.3119999999999994
MEP1,1.2105893547341005,1.9709999999999999,0.8273999999999999,3.9459999999999997
PPT1,2.0707355917786354,3.4770000000000003,1.4568,6.0040000000000004
YGR127W,1.0081280277765594,1.386,0.654,2.91
AIM17,4.198708116857852,5.484,2.9458,9.286
RPP1,1.211781977781589,1.979,0.7540000000000001,4.1209999999999996
SSF1,2.0151972628509442,2.9939999999999998,1.4025999999999998,5.318999999999999
OM45,1.8964979670751285,2.915,1.2833999999999999,5.429
RPC17,0.7482080371795441,1.222,0.42679999999999996,3.665
SAP185,1.1189461223808204,1.449,0.75,3.1260000000000003
PRM10,1.1779854046665508,1.577,0.7829999999999999,2.91
CDC6,0.7524447206184974,1.1849999999999998,0.5569999999999998,5.015
PHO90,1.215838539288725,1.9940000000000002,0.7776000000000001,3.7940000000000005
ACO2,1.881523222707517,3.236,1.1898,6.703
YJR071W,2.135915188405766,3.357,1.4614,6.1690000000000005
OPI3,1.32402413749183,2.524,1.1982,3.5469999999999997
AUR1,1.3708050045520923,2.031,0.8714000000000002,4.081
MRT4,2.6939078065698405,3.9370000000000003,1.9124000000000003,6.522
YPF1,1.1335285056649615,1.584,0.8426,2.5700000000000003
GPT2,1.5969601454118543,2.277,1.1414000000000002,4.016
EMP46,1.25746747201006,1.653,0.883,3.072
TFS1,3.248111575091614,4.705,2.4662,7.821
SAM1,2.445150052406846,4.089,1.552,7.844
EMG1,1.923308940375162,3.1270000000000002,1.2004000000000001,5.9239999999999995
DBP9,2.491704453979195,4.067,1.7073999999999998,7.126
ELO3,1.7018117351648567,2.59,1.1019999999999999,5.0169999999999995
YMR090W,1.185892182862984,2.109,0.8452,4.211
AIP1,0.8864924950388506,1.4649999999999999,0.6845999999999999,2.418
SPG5,0.7703858819323759,0.97,0.6606,1.946
YMR196W,1.275286442153782,2.17,0.9516,5.404
AQR1,1.7726010091661224,2.491,1.0066,4.882000000000001
RPL9B,1.47543278173389,2.2119999999999997,1.0415999999999996,4.234
RPL16B,1.1754895048697565,1.717,0.8535999999999999,2.9490000000000003
IMP4,2.193129406188318,3.351,1.485,5.9479999999999995
YNR014W,3.098472910874292,3.762,1.9631999999999998,7.1930000000000005
ACC1,0.4071356714463068,1.6280000000000001,0.4484,4.146000000000001
RPP2A,0.9201852996114401,1.645,0.7154,2.948
CIR2,1.1955291394361263,2.153,0.8658000000000001,6.594
PDR12,0.8799626479926796,1.653,0.7328,5.675
PEP4,1.3055254342946117,1.944,1.0368,2.972
HSP82,2.2720662374362544,3.205,1.671,4.8740000000000006
ATG41,2.906335458924451,4.136,1.7411999999999999,7.708
NCE102,1.9148097788722331,2.742,1.4286,4.391
YFR057W,0.9250416696561208,1.394,0.5936000000000001,5.74
ENT2,1.1313462001118655,1.738,0.7975999999999999,2.9859999999999998
CDC60,1.0612560172719328,1.591,0.6994,3.193
