perturbation_index,perturbation_level,recoverability,delta_persistence,k_star,safety_margin,confidence,visible_failure
0,0.0,1.0,0.0,21,0.7,0.024539746299158338,False
1,0.03333333333333333,0.9905454002280287,-0.009454599771971273,21,0.6666666666666666,0.024539746299158338,False
2,0.06666666666666667,0.9798935042718342,-0.010651895956194535,21,0.6333333333333333,0.024539746299158338,False
3,0.1,0.9678852851865696,-0.012008219085264615,21,0.6,0.024539746299158338,False
4,0.13333333333333333,0.9543457129898703,-0.013539572196699323,21,0.5666666666666667,0.024539746299158338,False
5,0.16666666666666666,0.9390925939242802,-0.015253119065590015,21,0.5333333333333333,0.024539746299158338,False
6,0.2,0.921958261574799,-0.01713433234948125,21,0.49999999999999994,0.024539746299158338,False
7,0.23333333333333334,0.9028324056995926,-0.019125855875206432,21,0.4666666666666666,0.024539746299158338,False
8,0.26666666666666666,0.8817317795088621,-0.021100626190730498,21,0.4333333333333333,0.024539746299158338,False
9,0.3,0.8588875682546674,-0.02284421125419467,21,0.39999999999999997,0.024539746299158338,False
10,0.3333333333333333,0.8348106510944147,-0.02407691716025273,21,0.36666666666666664,0.024539746299158338,False
11,0.36666666666666664,0.8102709047952563,-0.024539746299158338,21,0.3333333333333333,0.024539746299158338,False
12,0.4,0.7861567288060338,-0.024114175989222497,21,0.29999999999999993,0.024539746299158338,False
13,0.43333333333333335,0.7632699419570147,-0.022886786849019125,21,0.2666666666666666,0.024539746299158338,False
14,0.4666666666666667,0.7421689224611676,-0.021101019495847084,21,0.23333333333333328,0.024539746299158338,False
15,0.5,0.7231269755185818,-0.019041946942585763,21,0.19999999999999996,0.024539746299158338,False
16,0.5333333333333333,0.7061842964175142,-0.016942679101067615,21,0.16666666666666663,0.024539746299158338,False
17,0.5666666666666667,0.6912331952885176,-0.014951101128996669,21,0.1333333333333333,0.024539746299158338,False
18,0.6,0.678092960215342,-0.013140235073175521,21,0.09999999999999998,0.024539746299158338,False
19,0.6333333333333333,0.6665598628902447,-0.01153309732509733,21,0.06666666666666665,0.024539746299158338,False
20,0.6666666666666666,0.6564348432990345,-0.01012501959121026,21,0.033333333333333326,0.024539746299158338,False
21,0.7,0.6475362017499364,-0.00889864154909803,21,0.0,0.024539746299158338,False
22,0.7333333333333333,0.6397037396634372,-0.007832462086499237,21,-0.033333333333333326,0.024539746299158338,False
23,0.7666666666666666,0.6327986154016482,-0.00690512426178902,21,-0.06666666666666665,0.024539746299158338,False
24,0.8,0.6267013635019126,-0.006097251899735534,21,-0.10000000000000009,0.024539746299158338,False
25,0.8333333333333334,0.6213093488213157,-0.005392014680596913,21,-0.13333333333333341,0.024539746299158338,False
26,0.8666666666666667,0.6165342533782258,-0.004775095443089961,21,-0.16666666666666674,0.024539746299158338,False
27,0.9,0.6122998373789188,-0.004234415999306962,21,-0.20000000000000007,0.024539746299158338,False
28,0.9333333333333333,0.6085400402671435,-0.0037597971117753204,21,-0.2333333333333334,0.024539746299158338,True
29,0.9666666666666667,0.6051974085319377,-0.00334263173520577,21,-0.2666666666666667,0.024539746299158338,True
30,1.0,0.6022218069398764,-0.002975601592061339,21,-0.30000000000000004,0.024539746299158338,True
