partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift,recovered,recovery_latency,recovery_type
final,passive_relaxation,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.1829383860171634,0.0,0.25000000000000006,0.25000000000000006,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.968223443223443,0.0,0.06452964143476965,0.0,0.0,1.0580407673080268,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.029501778348923122,0.8387337999901494,0.25000000000000006,0.9619067065184128,-2.847626826073651,0.0,0.9322033898305084,0.32283830665408403,0.9608516483516483,-13.877658732473662,0.960049983395395,0.0,0.12257858636330933,0.0016278531919299642,1.691355389077387e-17,False,2,wrong-attractor convergence
final,topology_altered,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.0744605324871165,0.5929748036580439,0.25000000000000006,1.0071819075555692,-3.028727630222276,0.13559322033898302,0.461864406779661,0.2105356441386987,-0.04922161172161172,-14.594431194647967,1.0063030533698198,0.3228091987585031,0.22025940430169286,0.0016569491579804332,1.0842021724855044e-17,False,81,wrong-attractor convergence
final,trivial_attractor,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.049996600547224025,0.7267025164279447,0.25000000000000006,0.9999942600695508,-2.999977040278203,0.0,0.9491525423728814,4.4808981659823364e-05,0.968223443223443,-14.49666475072765,0.9999942197992893,0.0,0.07963747710657074,3.501503790056071e-11,6.352747104407253e-22,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.12060124477537605,0.34075484428915226,0.25000000000000006,0.9535456409992649,-2.814182563997059,0.40254237288135597,0.6822033898305084,0.4508377148415543,0.6721611721611721,-13.626255431726536,0.9438270185426654,0.0,0.06779618589570671,0.02000269685915097,2.2551405187698492e-17,False,81,wrong-attractor convergence
final,signal_blind,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,1.110076318611699,-5.0680338488804155,0.25000000000000006,1.3483675116247538,-4.393470046499014,0.5805084745762712,0.5805084745762712,0.5784329300442725,0.6116758241758241,-3.8701697522934992,0.3142703078419604,5.158922084579139,1.4840475981784622,2.6099990560642543,4.85722573273506e-17,False,81,unstable correction
final,parameter_budget_matched,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.029501778348923122,0.8387337999901494,0.25000000000000006,0.9619067065184128,-2.847626826073651,0.0,0.9322033898305084,0.32283830665408403,0.9608516483516483,-13.877658732473662,0.960049983395395,0.0,0.12257858636330933,0.0016278531919299642,1.691355389077387e-17,False,2,wrong-attractor convergence
final,memory_ablation,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.1829383860171634,0.0,0.25000000000000006,0.25000000000000006,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.968223443223443,0.0,0.06452964143476965,0.0,0.0,1.0580407673080268,0.0,False,81,no recovery
final,redundancy_ablation,True,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.05921313339816164,0.6763219863948825,0.25000000000000006,0.14486157846155215,0.4205536861537915,0.961864406779661,0.9830508474576272,0.974028336313297,0.991620879120879,0.10152073554442248,0.05797854477189399,0.0,0.01181997842050608,1.0288112702839716,5.551115123125783e-17,False,81,identity-preserving adaptation
final,oracle_upper_bound_non_admissible,False,6301,localized_block_shock,0.25,0.7,0.05,0.1829383860171634,0.0,1.0,0.25000000000000006,2.5283722063234738e-11,0.9999999998988651,1.0,1.0,1.0,0.9999999999999998,0.9999999998988656,6.5261744395821925e-12,0.0,0.008928571428571428,0.9999999999995489,2.7755575615628914e-17,True,6,exact-state recovery
final,passive_relaxation,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.4298662223821115,0.0,0.5000000000000001,0.5000000000000001,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9236263736263736,0.0,0.12905928286953935,0.0,0.0,1.2410815346160533,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.029644856727217152,0.9310370176029658,0.5000000000000001,0.961627780506742,-0.9232555610134836,0.0,0.923728813559322,0.3261908845939155,0.9516025641025639,-6.4363426015281355,0.9597290433254259,0.0,0.23316858621985345,0.0016986872277762334,2.0383000842727483e-17,False,3,wrong-attractor convergence
final,topology_altered,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.1690367633340239,0.606768909645183,0.5000000000000001,0.9423000657766828,-0.8846001315533651,0.1652542372881356,0.5466101694915254,0.2479309881019377,0.12976190476190474,-6.0293310826194775,0.9072004285754325,0.0,0.20120382305677617,0.10124695314018729,3.469446951953614e-17,False,81,wrong-attractor convergence
final,trivial_attractor,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.04999664981405697,0.8836925368618179,0.5000000000000001,0.9999942728990963,-0.9999885457981921,0.0,0.9491525423728814,4.818719060023663e-05,0.9236263736263736,-6.74833216272784,0.9999941923566419,0.0,0.09341473916155765,4.107263001106617e-11,2.117582368135751e-22,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.14001000657985677,0.6742940029016731,0.5000000000000001,0.9214856633819247,-0.842971326763849,0.39830508474576276,0.6864406779661016,0.46916014325917266,0.7474816849816848,-5.943402763713496,0.8961105813592414,0.0,0.11128803384246222,0.039190557457362996,2.168404344971009e-17,False,81,wrong-attractor convergence
final,signal_blind,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,3.9598076760309304,-8.211720925844288,0.5000000000000001,4.567313456625604,-8.134626913251207,0.5720338983050848,0.576271186440678,0.5725577615382731,0.415613553113553,-10.99061511091664,1.5475001873795635,8.211720925844288,24.976225320229716,24.381769149786425,0.0,False,81,unstable correction
final,parameter_budget_matched,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.029644856727217152,0.9310370176029658,0.5000000000000001,0.961627780506742,-0.9232555610134836,0.0,0.923728813559322,0.3261908845939155,0.9516025641025639,-6.4363426015281355,0.9597290433254259,0.0,0.23316858621985345,0.0016986872277762334,2.0383000842727483e-17,False,3,wrong-attractor convergence
final,memory_ablation,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.4298662223821115,0.0,0.5000000000000001,0.5000000000000001,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9236263736263736,0.0,0.12905928286953935,0.0,0.0,1.2410815346160533,0.0,False,81,no recovery
final,redundancy_ablation,True,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.12405078469163992,0.7114200227126238,0.5000000000000001,0.2612250127136941,0.47754997457261195,0.9449152542372882,0.961864406779661,0.9538840998027356,0.9782509157509155,0.1401586388548438,0.11097050945096246,0.0,0.05861479864967925,1.098158696674855,2.7755575615628914e-17,False,81,trajectory-corridor recovery
final,oracle_upper_bound_non_admissible,False,6301,localized_block_shock,0.5,0.7,0.05,0.4298662223821115,0.0,1.0,0.5000000000000001,5.0567440683946265e-11,0.9999999998988651,1.0,1.0,1.0,0.9999999999999998,0.999999999898864,1.3052519471220501e-11,0.0,0.03571428571428571,0.9999999999990979,9.71445146547012e-17,True,9,exact-state recovery
final,passive_relaxation,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.7326849506104378,0.0,0.7999999999999999,0.7999999999999999,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9099358974358973,0.0,0.20649485259126316,0.0,0.0,1.6257304553856848,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.03032569854206179,0.958610179563814,0.7999999999999999,0.9612626393495229,-0.2015782991869038,0.0,0.9194915254237288,0.34011447674310746,0.9205586080586079,-3.6447113177293864,0.9591089788835012,0.0,0.4644795438355834,0.001855771513004129,1.1709383462843448e-17,False,6,wrong-attractor convergence
final,topology_altered,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.11316759636770164,0.8455439868480772,0.7999999999999999,1.0026254974070434,-0.2532818717588044,0.0805084745762712,0.5338983050847458,0.18548855543513976,-0.007967032967032966,-3.8546386240100676,1.0024578870488114,0.0,0.2864426281462081,0.008103928673138557,5.204170427930421e-18,False,81,wrong-attractor convergence
final,trivial_attractor,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.04999670904702472,0.9317623365876836,0.7999999999999999,0.999994288297281,-0.24999286037160134,0.0,0.9491525423728814,5.224104132873256e-05,0.9099358974358973,-3.8427074422287855,0.9999941594256461,0.0,0.1223668084658406,5.380228746408315e-11,3.1763735522036263e-22,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.1152513797932506,0.8426999494158728,0.7999999999999999,0.8940651559708975,-0.11758144496362201,0.4279661016949152,0.6228813559322034,0.47173882656294425,0.6408424908424908,-3.215852471109345,0.8705518345682366,0.0,0.16305608976658587,0.041627612038806515,2.949029909160572e-17,False,81,wrong-attractor convergence
