sample_index,sample_label,time_value,recoverability,delta_persistence,k_star,k_star_time,safety_margin,confidence,expression_match,step_coherence,trajectory_identity_retention,trajectory_identity_failure,support_retention,visible_failure
0,0 minute inferred log-ratio baseline,0.0,0.9999999999999999,0.0,1,5.0,5.0,0.0,1.0,1.0,1.0,False,1.0,False
1,5 minute,5.0,0.5716208300703972,-0.4283791699296027,1,5.0,0.0,0.4283791699296027,0.5634830032537566,0.4295653386384627,0.6963518225286552,False,1.0,False
2,15 minute,15.0,0.08,-0.4916208300703972,1,5.0,-10.0,0.4916208300703972,0.0,0.0,0.7283390460817389,False,1.0,True
3,30 minute,30.0,0.3019588143164155,0.2219588143164155,1,5.0,-25.0,0.4916208300703972,0.28057778447447057,0.0997140474739836,0.7402651082708162,False,1.0,True
4,45 minute,45.0,0.5280278116244888,0.22606899730807323,1,5.0,-40.0,0.4916208300703972,0.5214606815693392,0.36288060447282267,0.2166157407897116,False,1.0,False
5,60 minute,60.0,0.6449205039234723,0.11689269229898358,1,5.0,-55.0,0.4916208300703972,0.6903968938637722,0.33917370170778205,0.2807577802097807,False,1.0,False
6,90 minute,90.0,0.6895854061162807,0.04466490219280839,1,5.0,-85.0,0.4916208300703972,0.700400657720154,0.5264846627888491,0.2807577802097807,False,1.0,False
