sample,sample_role,model_family,data_kind,k_index,k_reduced,conduction_energy_ev,valence_energy_ev,reference_conduction_energy_ev,reference_valence_energy_ev,conduction_error_ev,valence_error_ev,band_gap_ev,gap_relative_error,conduction_edge_k,valence_edge_k,direct_gap_score,curvature_score,band_shape_score,gap_score,band_order_score,symmetry_score,semiconductor_reference_score,status
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,27,-0.325,0.829200688936,-0.771900516702,0.829200688936,-0.771900516702,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,28,-0.3,0.7978630789,-0.748397309175,0.7978630789,-0.748397309175,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,29,-0.275,0.768264936802,-0.726198702601,0.768264936802,-0.726198702601,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,30,-0.25,0.74058874503,-0.705441558773,0.74058874503,-0.705441558773,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,31,-0.225,0.715005136512,-0.686253852384,0.715005136512,-0.686253852384,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,32,-0.2,0.6916718427,-0.668753882025,0.6916718427,-0.668753882025,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,33,-0.175,0.67073272111,-0.653049540833,0.67073272111,-0.653049540833,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,34,-0.15,0.65231686839,-0.639237651292,0.65231686839,-0.639237651292,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,35,-0.125,0.636537824395,-0.627403368296,0.636537824395,-0.627403368296,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,36,-0.1,0.623492872178,-0.617619654134,0.623492872178,-0.617619654134,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,37,-0.075,0.613262438209,-0.609946828657,0.613262438209,-0.609946828657,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,38,-0.05,0.605909596514,-0.604432197386,0.605909596514,-0.604432197386,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,39,-0.025,0.601479679808,-0.601109759856,0.601479679808,-0.601109759856,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,40,0,0.6,-0.6,0.6,-0.6,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,41,0.025,0.601479679808,-0.601109759856,0.601479679808,-0.601109759856,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
