stage_identifier,timestamp,hierarchy_label,level_id,n_side,h,descriptor_family,descriptor_name,value,relative_step_from_previous,relative_span,best_limit_model,limit_estimate,limit_fit_r_squared
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,ratio,b2_over_b0,6.986411204752,0.011828598294,0.121364602609,linear_in_h^1,7.267452141395,0.999426624349
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,rescaled_invariant,I0,4.279554858237,,0.03815375941,linear_in_h^1,4.484940464312,0.964808473206
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,rescaled_invariant,I0,4.361964756627,0.019256651946,0.03815375941,linear_in_h^1,4.484940464312,0.964808473206
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,rescaled_invariant,I0,4.411162008378,0.011278690796,0.03815375941,linear_in_h^1,4.484940464312,0.964808473206
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,rescaled_invariant,I0,4.4464694583,0.008004115436,0.03815375941,linear_in_h^1,4.484940464312,0.964808473206
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,rescaled_invariant,I1,-14.9701474886,,0.115863482264,linear_in_h^1,-17.407926117379,0.997482010774
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,rescaled_invariant,I1,-16.128383282424,0.077369698242,0.115863482264,linear_in_h^1,-17.407926117379,0.997482010774
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,rescaled_invariant,I1,-16.577104012289,0.027821804703,0.115863482264,linear_in_h^1,-17.407926117379,0.997482010774
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,rescaled_invariant,I1,-16.838866172933,0.015790584438,0.115863482264,linear_in_h^1,-17.407926117379,0.997482010774
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,rescaled_invariant,I2,26.419002658176,,0.15840429672,linear_in_h^1,32.524720504483,0.998934657946
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,rescaled_invariant,I2,29.374765774543,0.111880193004,0.15840429672,linear_in_h^1,32.524720504483,0.998934657946
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,rescaled_invariant,I2,30.457917213729,0.036873534499,0.15840429672,linear_in_h^1,32.524720504483,0.998934657946
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,rescaled_invariant,I2,31.064864045054,0.019927391196,0.15840429672,linear_in_h^1,32.524720504483,0.998934657946
