run_id,stage,operator_sector,boundary_type,packet_count,interaction_regime,collective_regime_label,center_shift,width_ratio,coherence_score,anisotropy_score,constraint_max,sector_leakage,initial_mean_pair_distance,final_mean_pair_distance,min_mean_pair_distance,max_mean_overlap,phase_lock_indicator,phase_lock_event_count,composite_lifetime,oscillation_count,exchange_or_merger_flag,notes
S11_collective_symmetric_in_phase_pair,Stage 11,transverse,periodic,2,weak_overlap,transient binding regime,0.06684153546108818,0.9892422890102298,1.1021701075189314,2.2687629590468967,4.996634654295745e-15,6.3612814937860744e-15,0.2999999935771056,0.3000000628093893,0.2999999935771056,0.2926953608953255,0.12432505482149665,0,0.0,0,none,clean symmetric baseline interaction case
S11_collective_symmetric_out_of_phase_pair,Stage 11,transverse,periodic,2,weak_overlap,transient binding regime,0.06801519403972989,1.0044583768390245,0.8990974535323668,4.188950934265532,2.106391083518602e-15,1.477695484617319e-15,0.2999999935771056,0.3000000628093893,0.2999999935771056,0.29269536089532855,0.12432505482149676,0,0.0,0,none,first interference-structure case
S11_collective_asymmetric_amplitude_pair,Stage 11,transverse,periodic,2,weak_overlap,transient binding regime,0.060846582152664475,0.9780614831695429,1.0573960100703161,1.6573362321782235,3.93564856168873e-15,7.719463226873343e-15,0.2999999935771056,0.3000000628093893,0.2999999935771056,0.2926953608953229,0.1243250548214965,0,0.0,0,none,tests whether symmetry breaking skews transport
S11_collective_near_overlap_clustered_pair,Stage 11,transverse,periodic,2,sustained_overlap,metastable composite regime,0.08203104634942104,1.024467095767658,0.8779818433534282,1.2832395021118115,5.399345866842841e-15,1.020561137988324e-14,0.13999999183378875,0.1400001963934583,0.13999999183378875,0.524286326404632,0.25674329029669946,0,1.1455295268815207,0,none,strongest local interaction stress test
S11_collective_three_packet_chain,Stage 11,transverse,periodic,3,chain_like_propagation,transient binding regime,0.23703810964052052,0.9437200157602106,1.2514388569965533,7.485073387421824,4.020524265003432e-15,3.4295911511463024e-15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.28385810101886066,0.08183584310727199,0,0.0,0,none,first nontrivial collective pattern without exploding complexity
