run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes,group_id,group_label,variant_label,field_mode,address_modulus,left_address,right_address,persistence_gain,topology_class,braid_exchange_indicator,transfer_smear_index,flow_concentration_index,encounter_sorting_score,address_selectivity_index,classification_label,grade_exchange_coherence,channel_count,loop_count,recirculation_score,phase_alignment_metric,address_same_activity,address_near_activity,address_mismatch_activity
C010_A_exact_uniform_00,tight_clustered_pair,exact_uniform_00,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17190896124425192,0.3333939095151982,0.6666060904848018,0.0,0.33323614542029767,0.5451270570725559,0.12163679750714633,0.0,1,0,0,Exact-match address control with both packets on address 0.,fully_compatible,Fully compatible,exact_uniform_00,packet_dominant,4,0,0,0.0,braid_like_exchange,1,0.31946751619821434,0.8989005747474713,1.0,1.0,address_protected_braid,0.4621643928561001,1,0,0.0,0.9999390686899704,1.0,0.0,0.0
C010_A_exact_uniform_11,tight_clustered_pair,exact_uniform_11,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17190896124425192,0.3333939095151982,0.6666060904848018,0.0,0.33323614542029767,0.5451270570725559,0.12163679750714633,0.0,1,0,0,Label-shift control for exact compatibility.,fully_compatible,Fully compatible,exact_uniform_11,packet_dominant,4,1,1,0.0,braid_like_exchange,1,0.31946751619821434,0.8989005747474713,1.0,1.0,address_protected_braid,0.4621643928561001,1,0,0.0,0.9999390686899704,1.0,0.0,0.0
C010_A_exact_symmetry_broken,tight_clustered_pair,exact_symmetry_broken,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17784391285749357,0.3333939095151982,0.6666060904848018,0.0,0.3181052588508871,0.5491947420517084,0.13269999909740451,0.0,0,0,0,Exact-match packet labels with symmetry broken only in the address-field distribution.,fully_compatible,Fully compatible,exact_symmetry_broken,symmetry_broken,4,0,0,0.0,transfer_smeared,0,0.32671765381246265,0.9049792574102721,0.5211296457944686,0.8116044709716523,address_sorted_encounter,0.44158543496480257,1,0,0.0,0.998336960236731,0.5734194466243674,0.3742907525457338,0.05228980082989874
C010_B_near_forward_01,tight_clustered_pair,near_forward_01,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16560954191616256,0.3333939095151982,0.6666060904848018,0.0,0.3284008135320007,0.5520788719534522,0.11952031451454714,0.0,0,0,0,Near-match forward orientation with address difference +1 mod 4.,near_compatible,Near compatible,near_forward_01,packet_dominant,4,0,1,0.0,transfer_smeared,0,0.33064556164680936,0.8930619929378054,0.8070889113861256,0.9298505132313185,address_sorted_encounter,0.445646883768576,1,0,0.0,0.9985768695525801,0.8070889113861256,0.1929110886138745,0.0
C010_B_near_reverse_10,tight_clustered_pair,near_reverse_10,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16560954191616256,0.3333939095151982,0.6666060904848018,0.0,0.3284008135320007,0.5520788719534522,0.11952031451454714,0.0,0,0,0,Near-match reverse orientation with address difference -1 mod 4.,near_compatible,Near compatible,near_reverse_10,packet_dominant,4,1,0,0.0,transfer_smeared,0,0.33064556164680936,0.8930619929378054,0.8070889113861256,0.9298505132313185,address_sorted_encounter,0.445646883768576,1,0,0.0,0.9985768695525801,0.8070889113861256,0.1929110886138745,0.0
C010_B_near_shifted_12,tight_clustered_pair,near_shifted_12,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16560954191616256,0.3333939095151982,0.6666060904848018,0.0,0.3284008135320007,0.5520788719534522,0.11952031451454714,0.0,0,0,0,Second near-match control to test label-shift invariance in the near-compatible sector.,near_compatible,Near compatible,near_shifted_12,packet_dominant,4,1,2,0.0,transfer_smeared,0,0.33064556164680936,0.8930619929378054,0.8070889113861256,0.9298505132313185,address_sorted_encounter,0.445646883768576,1,0,0.0,0.9985768695525801,0.8070889113861256,0.1929110886138745,0.0
C010_C_incompatible_02,tight_clustered_pair,incompatible_02,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17795657076270105,0.3333939095151982,0.6666060904848018,0.0,0.30901496652310834,0.5547450847840563,0.13623994869283543,0.0,0,0,0,Clear mismatch with address separation 2 mod 4.,incompatible,Incompatible,incompatible_02,packet_dominant,4,0,2,0.0,transfer_smeared,0,0.34108561277120597,0.8852225684112521,0.6763313828525428,0.8381656914262712,address_sorted_encounter,0.43260620604633593,1,0,0.0,0.9966709091511621,0.8381656914262714,0.0,0.1618343085737286
C010_C_incompatible_13,tight_clustered_pair,incompatible_13,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17795657076270105,0.3333939095151982,0.6666060904848018,0.0,0.30901496652310834,0.5547450847840563,0.13623994869283543,0.0,0,0,0,Label-shift control for the incompatible sector.,incompatible,Incompatible,incompatible_13,packet_dominant,4,1,3,0.0,transfer_smeared,0,0.34108561277120597,0.8852225684112521,0.6763313828525428,0.8381656914262712,address_sorted_encounter,0.43260620604633593,1,0,0.0,0.9966709091511621,0.8381656914262714,0.0,0.1618343085737286
C010_C_randomized_control,tight_clustered_pair,randomized_control,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17258322980835986,0.3333939095151982,0.6666060904848018,0.0,0.28902210144148105,0.5729652161336535,0.1380126824248656,0.0,0,0,0,Randomized address-field control on the same clustered seed.,incompatible,Incompatible,randomized_control,randomized,4,0,2,0.0,transfer_smeared,0,0.3375774814858571,0.8988337658038561,0.08812304814852534,0.5989651573786392,address_induced_smear,0.4260112712244297,1,0,0.0,0.9992492409154656,0.3427482019582148,0.4026266442320956,0.2546251538096895
