run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes
S23_1_clustered_in_phase_n24,tight_clustered_pair,in_phase,24,regular_lattice,2,1,unresolved / mixed,weak persistence gain,0.7488559004847444,1.0,0.0,1.0,0.04166666666666674,0.04166666666666674,0.0,0.7488559004847444,0.0,0.0,0.041397300375089076,0.3333333333333335,0.6666666666666665,0.0,0.3333333333333301,0.6373943548486263,0.029272311818043538,0.0,0,0,0,initially close pair for clustered DK refinement
S23_1_clustered_out_of_phase_n24,tight_clustered_pair,out_of_phase,24,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0818630890775758,0.33333333333333304,0.6666666666666671,0.0,0.3333333333333512,0.6087807212510257,0.05788594541562309,0.0,0,0,0,initially close pair for clustered DK refinement
