model_id,model_family,target_definition,core_inputs,context_inputs,forbidden_inputs_used,parameter_count,rule_count,accuracy,balanced_accuracy,baseline_comparison,compression_score,interpretability_score,branch_valid,selected,law_expression,notes
IVA2_M1,threshold_rule,stable_closed_smeared = 1 iff Stage 23.12 derived_phase_label == smeared_transfer_phase; otherwise 0 for transient mixed controls on the frozen closure lattice.,flow_concentration_index,,False,1,1,1.0000,1.0000,0.5000,0.1667,0.3333,True,True,stable_closed_smeared = 1 iff flow_concentration_index <= 0.884308,Best single-threshold rule found on `flow_concentration_index` with threshold `0.884308`.
IVA2_M2,simple_reduced_surrogate,stable_closed_smeared = 1 iff Stage 23.12 derived_phase_label == smeared_transfer_phase; otherwise 0 for transient mixed controls on the frozen closure lattice.,topology_survival_time; refinement_stability_flag; weak_coupling_stability_flag; reverse_stability_flag; flow_concentration_index,,False,6,1,1.0000,1.0000,0.5000,0.0714,0.1429,True,False,score = +0.3333 +0.0000*topology_survival_time +0.2357*refinement_stability_flag +0.0000*weak_coupling_stability_flag +0.2357*reverse_stability_flag -0.0000*flow_concentration_index; stable_closed_smeared = 1 iff score >= 0.500000,Least-squares linear score model over the accepted core observables.
IVA2_M3,context_conditioned_threshold_rule,stable_closed_smeared = 1 iff Stage 23.12 derived_phase_label == smeared_transfer_phase; otherwise 0 for transient mixed controls on the frozen closure lattice.,flow_concentration_index,phase_corridor_position; phase_corridor_width,False,2,3,1.0000,1.0000,0.5000,0.0833,0.1667,True,False,if phase_corridor_position <= 0.500000: stable_closed_smeared = 1 iff flow_concentration_index <= 0.886359; else stable_closed_smeared = 1 iff flow_concentration_index <= 0.878676,"Two-bin context-conditioned threshold rule. Phase enters only as an external selector, not as a state variable."
IVA2_M4,closure_support_conjunction,stable_closed_smeared = 1 iff Stage 23.12 derived_phase_label == smeared_transfer_phase; otherwise 0 for transient mixed controls on the frozen closure lattice.,refinement_stability_flag; weak_coupling_stability_flag; reverse_stability_flag,,False,0,3,1.0000,1.0000,0.5000,0.1250,0.2500,True,False,stable_closed_smeared = 1 iff refinement_stability_flag = 1 and weak_coupling_stability_flag = 1 and reverse_stability_flag = 1,Minimal conjunction over the binary closure-support observables.
