run_id,representative_id,motif_id,motif_label,baseline_topology,topology_label,effect_class,interaction_label,coarse_label,braid_like_exchange,smeared_transfer,split_channel_exchange,defect_pinned,trapped_local,unresolved,flow_concentration_index,exchange_coherence,transport_span,channel_count,loop_count,motif_occupancy_correlation,motif_mass_fraction,pinning_score,routing_asymmetry,recurrence_indicator,max_mean_overlap,degree_spectrum_shift,clustering_coefficient_shift,delta_vs_baseline_concentration,delta_vs_baseline_coherence,delta_vs_baseline_channel_count,notes
C04_triangle_clustered_anchor,clustered_composite_anchor,triangle_cluster,Triangle cluster,trapped_local,trapped_local,neutral / no significant effect,metastable composite regime,diffuse coarse field regime,0,0,0,0,1,0,100.83862832066583,0.5976512149973561,0.03777236588284615,5,1,0.6886614414543226,0.16606327176624353,0.16606327176624353,0.7251090335391761,0.0,0.6704628281125933,0.027777777777777776,-3.702144905859406e-05,-0.15080740785451496,0.0035314213120931637,-1,Triangle motif on clustered composite anchor.
C04_triangle_corridor,counter_propagating_corridor,triangle_cluster,Triangle cluster,smeared_transfer,smeared_transfer,neutral / no significant effect,transient binding regime,diffuse coarse field regime,0,1,0,0,0,0,45.704991768357736,0.21525866293758042,0.009365185158255107,10,1,0.524130443055828,0.0848577914005257,0.0848577914005257,0.9929696990926828,0.0,0.3270994004228453,0.027777777777777776,-3.702144905859406e-05,-0.43808706990362367,-0.0005500571839218982,0,Triangle motif on corridor counterflow.
C04_triangle_triad,phase_ordered_symmetric_triad,triangle_cluster,Triangle cluster,split_channel_exchange,split_channel_exchange,neutral / no significant effect,transient binding regime,diffuse coarse field regime,0,0,1,0,0,0,34.05255716870781,0.20040886266114163,0.3930637179710643,12,1,0.4462694897816208,0.06228111829010857,0.06228111829010857,0.9919996477390188,0.0,0.2847004610984023,0.027777777777777776,-3.702144905859406e-05,-0.0693997512001161,-0.00039793655412978524,0,Triangle motif on symmetric triad.
C04_diamond_clustered_anchor,clustered_composite_anchor,diamond,Diamond,trapped_local,trapped_local,neutral / no significant effect,metastable composite regime,diffuse coarse field regime,0,0,0,0,1,0,100.27205764051921,0.5945988121469861,0.039014295751946315,5,2,0.7345824252434302,0.203999785113325,0.203999785113325,0.3172325427526599,0.0,0.6608196794007267,0.06211299937499416,-7.159335863043959e-05,-0.7173780880011407,0.00047901846172315743,-1,Diamond motif on clustered composite anchor.
C04_diamond_corridor,counter_propagating_corridor,diamond,Diamond,smeared_transfer,smeared_transfer,neutral / no significant effect,transient binding regime,diffuse coarse field regime,0,1,0,0,0,0,44.81946268594703,0.21432439525101946,0.01576740309371268,9,2,0.5345394309208972,0.0990240017638923,0.0990240017638923,0.9924118698207671,0.0,0.3176319304290612,0.06514466333088097,-0.00010023626921784601,-1.3236161523143295,-0.0014843248704828615,-1,Diamond motif on corridor counterflow.
C04_diamond_triad,phase_ordered_symmetric_triad,diamond,Diamond,split_channel_exchange,split_channel_exchange,channel-splitting,transient binding regime,diffuse coarse field regime,0,0,1,0,0,0,32.60464509695522,0.20021722030195435,0.5200088536179086,13,2,0.4585609275340405,0.0723533676482037,0.0723533676482037,0.9922671715386603,0.0,0.2884892184045826,0.04811252243246881,-7.515632515636694e-05,-1.5173118229527063,-0.0005895789133170681,1,Diamond motif on symmetric triad.
C04_hub_clustered_anchor,clustered_composite_anchor,hub_micro_star,Hub micro-star,trapped_local,trapped_local,neutral / no significant effect,metastable composite regime,diffuse coarse field regime,0,0,0,0,1,0,95.99547592207495,0.6076191160420938,0.02375223519543655,4,3,0.688134061066332,0.20915815714095612,0.20915815714095612,0.36987535256953524,0.0,0.7060665075574893,0.07856742013183862,-0.00011363486479232243,-4.993959806445403,0.013499322356830934,-2,Hub micro-star on clustered composite anchor.
C04_hub_corridor,counter_propagating_corridor,hub_micro_star,Hub micro-star,smeared_transfer,smeared_transfer,neutral / no significant effect,transient binding regime,diffuse coarse field regime,0,1,0,0,0,0,43.57029905490492,0.22802201292921587,0.010513870779632822,9,2,0.5017351057759959,0.10258254394316597,0.10258254394316597,0.9917935609649186,0.0,0.33806866814349384,0.07856742013183862,-0.00011363486479232243,-2.572779783356438,0.01221329280771355,-1,Hub micro-star on corridor counterflow.
C04_hub_triad,phase_ordered_symmetric_triad,hub_micro_star,Hub micro-star,split_channel_exchange,split_channel_exchange,neutral / no significant effect,transient binding regime,diffuse coarse field regime,0,0,1,0,0,0,32.115731619347265,0.1997552855353799,0.5125527863477551,12,2,0.4300178403173546,0.07542389154234769,0.07542389154234769,0.9907768577834601,0.0,0.2884811386100439,0.07856742013183862,-0.00011363486479232243,-2.006225300560658,-0.0010515136798915081,0,Hub micro-star on symmetric triad.
