run_id,representative_id,registration_class,condition_id,eps,resolution,interaction_label,coarse_label,composite_lifetime,binding_persistence_score,coarse_persistence_sigma4,mean_registration_strength,max_registration_strength,registration_duty_cycle,effective_interaction_energy_fraction,encounter_dwell_mean,motif_survival_time,corridor_dwell_time,transport_channel_locking,local_transport_anisotropy_index,trajectory_curvature_proxy,energy_dispersion_shift,new_ordering_class,composite_lifetime_delta,binding_persistence_delta,coarse_persistence_delta,corridor_dwell_delta,gate_met,promoted_followup,output_label,constraint_max,sector_leakage,notes
S21_spatial_clustered_weak,clustered_composite_anchor,spatial_configuration,weak,0.02,12,large-scale drift field regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.5519461037504886,0.6971334358145445,1.0,0.013430342006535104,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692236,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_spatial_triad_null,phase_ordered_symmetric_triad,spatial_configuration,null,0.0,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.04614893870661103,0.055387680354287365,0.0,0.0,0.0,0.0,0.0,0,4.4413044871670655,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_spatial_triad_vweak,phase_ordered_symmetric_triad,spatial_configuration,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.04612851232621257,0.055387680354287365,0.0,0.000535220289827965,0.0,0.0,0.0,0,4.441304487167058,0.0,0.002019179574033456,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_spatial_triad_weak,phase_ordered_symmetric_triad,spatial_configuration,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.04610808635736451,0.055387680354287365,0.0,0.0010697869999124893,0.0,0.0,0.0,0,4.4413044871670575,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_spatial_corridor_null,counter_propagating_corridor,spatial_configuration,null,0.0,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.21292870937288674,0.33962764854954053,0.3333333333333333,0.0,0.4921215947941857,0.0,0.3333333333333333,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_spatial_corridor_vweak,counter_propagating_corridor,spatial_configuration,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.2130787278454703,0.3401880579736131,0.3333333333333333,0.0013656681448134102,0.4921215947941857,0.0,0.3333333333333333,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_spatial_corridor_weak,counter_propagating_corridor,spatial_configuration,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.21322886629560242,0.3407487927463567,0.3333333333333333,0.0027308661861793655,0.4921215947941857,0.0,0.3333333333333333,0,1.5666167529032133,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_topology_clustered_null,clustered_composite_anchor,composite_topology,null,0.0,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.3108915079863957,0.4482564063223626,1.0,0.0,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692236,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_topology_clustered_vweak,clustered_composite_anchor,composite_topology,very_weak,0.01,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.31141123766361795,0.4482564063223626,1.0,0.0036317375526512125,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692227,0.0,0.0003745039795756885,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_topology_clustered_weak,clustered_composite_anchor,composite_topology,weak,0.02,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.31194130203275755,0.4482564063223626,1.0,0.007268296865787553,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692234,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_topology_triad_null,phase_ordered_symmetric_triad,composite_topology,null,0.0,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.12467082247722601,0.13014708467039834,0.0,0.0,0.0,0.0,0.0,0,4.4413044871670655,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_topology_triad_vweak,phase_ordered_symmetric_triad,composite_topology,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.12463035944158347,0.13014708467039834,0.0,0.0014558352477912668,0.0,0.0,0.0,0,4.441304487167074,0.0,0.002019179574033618,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_topology_triad_weak,phase_ordered_symmetric_triad,composite_topology,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.12458991082288264,0.13014708467039834,0.0,0.002909754232408062,0.0,0.0,0.0,0,4.4413044871670655,0.0,0.002019179574033456,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_topology_corridor_null,counter_propagating_corridor,composite_topology,null,0.0,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.20444129380409448,0.28165263761002113,0.3333333333333333,0.0,0.4921215947941857,0.0,0.3333333333333333,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_topology_corridor_vweak,counter_propagating_corridor,composite_topology,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.20467793859796513,0.28233472335036586,0.3333333333333333,0.0012234743146253971,0.4921215947941857,0.0,0.3333333333333333,0,1.566616752903214,0.0,-0.0002622808026618747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_topology_corridor_weak,counter_propagating_corridor,composite_topology,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.2049146952994874,0.2830171825843867,0.3333333333333333,0.002447757428077827,0.4921215947941857,0.0,0.3333333333333333,0,1.5666167529032144,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
