run_id,stage,operator_sector,boundary_type,packet_count,interaction_regime,collective_regime_label,center_shift,width_ratio,coherence_score,anisotropy_score,constraint_max,sector_leakage,initial_mean_pair_distance,final_mean_pair_distance,min_mean_pair_distance,max_mean_overlap,phase_lock_indicator,phase_lock_event_count,composite_lifetime,oscillation_count,exchange_or_merger_flag,notes
S11B_collective_counter_propagating_pair,Stage 11,transverse,periodic,2,counter_propagating_overlap,transient binding regime,0.0,0.8342091967755323,1.0637608245560555,2.186838033329191,4.996634654295745e-15,6.3612814937860744e-15,0.2999999935771056,0.16478571826606192,0.16478571826606192,0.3981103509665895,0.09739155762281067,0,0.3272941505375773,0,none,counter-propagating pair to probe exchange or scattering more aggressively
S11B_collective_tight_phase_sensitive_pair,Stage 11,transverse,periodic,2,tight_phase_sensitive_overlap,metastable composite regime,0.05038628440807136,0.9808317316033119,1.0428346104975594,2.3066445091344874,1.847080808939487e-15,1.5430926156924439e-15,0.13999999183378886,0.1400001963934583,0.13999999183378886,0.524286326404634,0.25674329029669934,0,1.1455295268815207,0,none,clustered pair with strong phase contrast to test composite lifetime sensitivity
