run_id,family_id,family_label,detuning,protection_strength,ledger_alignment,delta_equiv_coarse_mean,delta_equiv_fine_mean,delta_equiv_refine_ratio,sector_entropy_coarse,sector_entropy_fine,base_survival_time,degree_skew_survival_time,motif_survival_time,radius_minus_survival_time,radius_center_survival_time,radius_plus_survival_time,ordering_rank,resolution_mode,final_topology_class,trace_plot,notes
S11_corridor_transport_seed_d050_p120,corridor_transport_seed,Corridor transport seed,0.5,1.2,0.0,0.5812191575270134,0.5828104217569701,1.0027378041644863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative_resolution,dispersive_pass,/tmp/haos_iip_stage_11_integrated_austerity/S11_corridor_transport_seed_d050_p120_trace.png,
S11_corridor_transport_seed_d100_p080,corridor_transport_seed,Corridor transport seed,1.0,0.8,0.0,0.5877621138979799,0.589233469063794,1.0025033174664086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative_resolution,dispersive_pass,/tmp/haos_iip_stage_11_integrated_austerity/S11_corridor_transport_seed_d100_p080_trace.png,
S11_corridor_transport_seed_d100_p100,corridor_transport_seed,Corridor transport seed,1.0,1.0,0.0,0.5780898957927061,0.5795932727023768,1.0026005936457498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative_resolution,dispersive_pass,/tmp/haos_iip_stage_11_integrated_austerity/S11_corridor_transport_seed_d100_p100_trace.png,
S11_corridor_transport_seed_d100_p120,corridor_transport_seed,Corridor transport seed,1.0,1.2,0.0,0.5687087833927323,0.5702440699454737,1.0026996005646025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative_resolution,dispersive_pass,/tmp/haos_iip_stage_11_integrated_austerity/S11_corridor_transport_seed_d100_p120_trace.png,
S11_triad_competition_seed_d000_p080,triad_competition_seed,Triad competition seed,0.0,0.8,0.993621325223976,0.8031147448154679,0.8078363360867767,1.00587909922186,0.4239274071999327,0.4239274071999327,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d000_p080_trace.png,
S11_triad_competition_seed_d000_p100,triad_competition_seed,Triad competition seed,0.0,1.0,0.9937036602595186,0.7817254580800722,0.7864688322986023,1.0060678262035625,0.4239274071999327,0.4239274071999327,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d000_p100_trace.png,
S11_triad_competition_seed_d000_p120,triad_competition_seed,Triad competition seed,0.0,1.2,0.9937582575688327,0.7614896058450781,0.7662487380150603,1.0062497664228793,0.4239274071999327,0.4239274071999327,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d000_p120_trace.png,
S11_triad_competition_seed_d050_p080,triad_competition_seed,Triad competition seed,0.5,0.8,0.9936196213202686,0.803417120886893,0.8081408549412449,1.0058795536360208,0.4417264435224084,0.4417264435224084,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d050_p080_trace.png,
S11_triad_competition_seed_d050_p100,triad_competition_seed,Triad competition seed,0.5,1.0,0.9937023095660802,0.7821528691505382,0.7868990233507018,1.0060680646806528,0.4417264435224084,0.4417264435224084,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d050_p100_trace.png,
S11_triad_competition_seed_d050_p120,triad_competition_seed,Triad competition seed,0.5,1.2,0.993757138868116,0.7620502930857805,0.766812873657181,1.0062496932480864,0.4417264435224084,0.4417264435224084,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d050_p120_trace.png,
S11_triad_competition_seed_d100_p080,triad_competition_seed,Triad competition seed,1.0,0.8,0.9936172387869958,0.8038121370177643,0.8085551515657045,1.005900650574321,0.45478572996462774,0.45478572996462774,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d100_p080_trace.png,
S11_triad_competition_seed_d100_p100,triad_competition_seed,Triad competition seed,1.0,1.0,0.993700425139215,0.782677858159782,0.7874455663316037,1.0060915332178062,0.45478572996462774,0.45478572996462774,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d100_p100_trace.png,
S11_triad_competition_seed_d100_p120,triad_competition_seed,Triad competition seed,1.0,1.2,0.9937555805005912,0.7627137464533957,0.7675002840308829,1.0062756671159323,0.45478572996462774,0.45478572996462774,30.0,30.0,30.0,30.0,30.0,30.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_triad_competition_seed_d100_p120_trace.png,
