perturbation_family,perturbation_description,subset_family,repair_mode,protected_set,mean_protected_pairwise_coherence,variance,exact_recoverability_rate,trial_count,delta_vs_random_mean,delta_vs_contiguous_mean,beats_random_mean,beats_contiguous_mean,notes
burst_errors,"one random contiguous burst of width 4, internally permuted",random,baseline,,0.9147386666673246,0.00612037170292512,0.2827,100000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",random,full_repair,,1.0,0.0,1.0,100000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",random,local_repair,,0.9625586666669663,0.0038078354460290287,0.65462,100000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,baseline,,0.8635846666673072,0.011461567941039696,0.19693,100000,,,,,uniform contiguous 6-position control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,full_repair,,1.0,0.0,1.0,100000,,,,,uniform contiguous 6-position control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,local_repair,,0.9171226666671705,0.008582547618046776,0.43333,100000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,baseline,"(0, 1, 2, 5, 6, 8)",0.9618720000003876,0.0017218111699746075,0.49937,100000,0.027819333333161667,0.06875466666615171,True,True,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,full_repair,"(0, 1, 2, 5, 6, 8)",1.0,0.0,1.0,100000,0.0,0.0,False,False,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,local_repair,"(0, 1, 2, 5, 6, 8)",0.995247333333386,0.0002942566037440475,0.92871,100000,0.02239466666644896,0.054573999999588896,True,True,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,baseline,,0.934052666667226,0.004296415891156813,0.418,100000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,full_repair,,1.0,0.0,1.0,100000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,local_repair,,0.972852666666937,0.0017021778473425009,0.66359,100000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,baseline,,0.8931173333342359,0.007087651119647931,0.28666,100000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,full_repair,,1.0,0.0,1.0,100000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,local_repair,,0.9406733333337971,0.003911279954062374,0.50113,100000,,,,,uniform contiguous 6-position control
