hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,k_index,power,low_k_power,fluctuation_amplitude,fluctuation_slope
frozen_branch,n48,48,0.020833333333,3,1302,0.4,3,0.150486836828,0.638591266921,0.162303821914,0.117028141278
frozen_branch,n48,48,0.020833333333,3,1302,0.4,4,0.107765751411,0.638591266921,0.162303821914,0.117028141278
frozen_branch,n48,48,0.020833333333,3,1302,0.8,1,0.084702077054,0.638475581995,0.162312424532,0.116577613528
frozen_branch,n48,48,0.020833333333,3,1302,0.8,2,0.553773504941,0.638475581995,0.162312424532,0.116577613528
frozen_branch,n48,48,0.020833333333,3,1302,0.8,3,0.150801254098,0.638475581995,0.162312424532,0.116577613528
frozen_branch,n48,48,0.020833333333,3,1302,0.8,4,0.107547009882,0.638475581995,0.162312424532,0.116577613528
frozen_branch,n48,48,0.020833333333,3,1302,1.2,1,0.084667233911,0.638266460191,0.162328297313,0.116154635058
frozen_branch,n48,48,0.020833333333,3,1302,1.2,2,0.553599226279,0.638266460191,0.162328297313,0.116154635058
frozen_branch,n48,48,0.020833333333,3,1302,1.2,3,0.151349549006,0.638266460191,0.162328297313,0.116154635058
frozen_branch,n48,48,0.020833333333,3,1302,1.2,4,0.107198452559,0.638266460191,0.162328297313,0.116154635058
frozen_branch,n48,48,0.020833333333,3,1302,1.6,1,0.084604389827,0.637964258206,0.162351728585,0.115747280721
frozen_branch,n48,48,0.020833333333,3,1302,1.6,2,0.553359868379,0.637964258206,0.162351728585,0.115747280721
frozen_branch,n48,48,0.020833333333,3,1302,1.6,3,0.152134554204,0.637964258206,0.162351728585,0.115747280721
frozen_branch,n48,48,0.020833333333,3,1302,1.6,4,0.106719736759,0.637964258206,0.162351728585,0.115747280721
frozen_branch,n48,48,0.020833333333,3,1302,2.0,1,0.084515190431,0.63757238686,0.1623829003,0.115338013759
frozen_branch,n48,48,0.020833333333,3,1302,2.0,2,0.553057196429,0.63757238686,0.1623829003,0.115338013759
frozen_branch,n48,48,0.020833333333,3,1302,2.0,3,0.153153018628,0.63757238686,0.1623829003,0.115338013759
frozen_branch,n48,48,0.020833333333,3,1302,2.0,4,0.106114392858,0.63757238686,0.1623829003,0.115338013759
frozen_branch,n48,48,0.020833333333,3,1302,2.4,1,0.084402137464,0.637096584376,0.162421915991,0.114904862703
frozen_branch,n48,48,0.020833333333,3,1302,2.4,2,0.552694446912,0.637096584376,0.162421915991,0.114904862703
frozen_branch,n48,48,0.020833333333,3,1302,2.4,3,0.154397090123,0.637096584376,0.162421915991,0.114904862703
frozen_branch,n48,48,0.020833333333,3,1302,2.4,4,0.105388893824,0.637096584376,0.162421915991,0.114904862703
