hierarchy_label,level_id,n_side,h,ensemble_size,seed,initial_nearest_neighbor_mean,initial_pair_distance_mean,density_proxy,terminal_survival_fraction,terminal_cluster_frequency,terminal_spectral_distortion
frozen_branch,n48,48,0.020833333333,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.194211961255
frozen_branch,n48,48,0.020833333333,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.25754305741
frozen_branch,n48,48,0.020833333333,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634078587921
frozen_branch,n48,48,0.020833333333,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.084953128538
frozen_branch,n48,48,0.020833333333,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.384358270488
frozen_branch,n48,48,0.020833333333,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.451434354911
frozen_branch,n48,48,0.020833333333,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.357342662471
frozen_branch,n48,48,0.020833333333,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.363781061576
frozen_branch,n48,48,0.020833333333,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.689073005208
frozen_branch,n60,60,0.016666666667,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.274464939682
frozen_branch,n60,60,0.016666666667,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.23911551683
frozen_branch,n60,60,0.016666666667,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634832479946
frozen_branch,n60,60,0.016666666667,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.184058607458
frozen_branch,n60,60,0.016666666667,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.356335929473
frozen_branch,n60,60,0.016666666667,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.435883940285
frozen_branch,n60,60,0.016666666667,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.293761029373
frozen_branch,n60,60,0.016666666667,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.303178075311
frozen_branch,n60,60,0.016666666667,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.676007331296
frozen_branch,n72,72,0.013888888889,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.322083128721
frozen_branch,n72,72,0.013888888889,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.231153074151
frozen_branch,n72,72,0.013888888889,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.635302696534
