hierarchy_label,level_id,n_side,h,ensemble_size,seed,collective_relaxation_tau,microscopic_persistence_tau,relaxation_ratio,initial_density_mode_amplitude,terminal_density_mode_amplitude,terminal_diffusion_proxy,terminal_low_k_power,terminal_fluctuation_slope
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,42.0,0.4,105.0,0.245699071457,0.2472775925,0.0,0.646509095006,0.336368430188
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,42.0,0.4,105.0,0.652006007603,0.667358471319,0.0,0.718643825788,-0.873946684705
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,42.0,0.4,105.0,0.43488918161,0.492962117215,0.0,0.719974115944,-1.839422291577
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,42.0,0.4,105.0,0.388415239501,0.421548808124,0.0,0.176524103736,-0.393160026541
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,42.0,0.4,105.0,0.353882538151,0.395732953832,0.0,0.449667169721,-0.684732009308
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,42.0,0.4,105.0,0.405050624131,0.476336236531,0.0,0.3145967854,-0.753863870704
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1303,42.0,0.4,105.0,0.464933952458,0.502862059486,0.0,0.321498656413,-2.098751185408
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1301,42.0,1.2,35.0,0.662043745896,0.672340110524,0.0,0.473202679024,-0.339183962013
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1302,42.0,1.2,35.0,0.324037355767,0.331511129078,0.0,0.633393464928,0.111009751661
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1303,42.0,1.2,35.0,0.245698966099,0.246314837872,8.18198e-07,0.64646399623,0.343393794486
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1301,42.0,1.2,35.0,0.652006005918,0.666525485424,0.0,0.726650455352,-0.833140556528
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1302,42.0,1.2,35.0,0.434889200233,0.479811312198,0.0,0.707209130723,-1.748035490996
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1303,42.0,1.2,35.0,0.38841524711,0.408355345125,0.0,0.167025259102,-0.308252086657
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1301,42.0,1.2,35.0,0.35388257815,0.390248367133,0.0,0.452023691197,-0.646479052372
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1302,42.0,1.2,35.0,0.405050636815,0.470714712346,0.0,0.312399163865,-0.714977669071
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1303,42.0,1.2,35.0,0.464933966601,0.498273266839,0.0,0.326538599551,-2.031125436029
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1301,42.0,1.6,26.25,0.662043745885,0.669386938917,0.0,0.471279349146,-0.357350217672
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1302,42.0,1.6,26.25,0.324037352559,0.327797053226,0.0,0.635950316604,0.113890004891
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1303,42.0,1.6,26.25,0.245699027855,0.246021861004,7.04118e-07,0.646405060141,0.345216363785
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1301,42.0,1.6,26.25,0.652006005989,0.665014327091,0.0,0.728723736942,-0.80990115106
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1302,42.0,1.6,26.25,0.434889210286,0.469437172375,0.0,0.697818540497,-1.684592680709
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1303,42.0,1.6,26.25,0.388415260697,0.400835076622,0.0,0.160972717895,-0.259412267324
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1301,42.0,1.6,26.25,0.353882568621,0.384533953288,0.0,0.450622692318,-0.618361644666
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1302,42.0,1.6,26.25,0.405050650201,0.461472602178,0.0,0.308981603663,-0.678630442822
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1303,42.0,1.6,26.25,0.464933951316,0.49297703114,0.0,0.325984551965,-1.973242186171
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1301,42.0,2.0,21.0,0.662043745914,0.667407315859,0.0,0.470912922529,-0.375374681003
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1302,42.0,2.0,21.0,0.324037358356,0.326103892972,0.0,0.637173584337,0.114961471322
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1303,42.0,2.0,21.0,0.245699067112,0.245899783779,2.60841e-07,0.646371294674,0.345911867386
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1301,42.0,2.0,21.0,0.652006005906,0.663366020196,0.0,0.728198654473,-0.795428427883
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1302,42.0,2.0,21.0,0.434889211324,0.461828792933,0.0,0.691220944697,-1.641169193051
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1303,42.0,2.0,21.0,0.388415259453,0.396562455034,0.0,0.157329899164,-0.232198274693
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1301,42.0,2.0,21.0,0.353882566537,0.379538922003,0.0,0.448060105692,-0.597412754171
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1302,42.0,2.0,21.0,0.405050642261,0.452393621684,0.0,0.305829472947,-0.648501202748
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1303,42.0,2.0,21.0,0.464933940038,0.488216711564,0.0,0.32376627576,-1.928973829185
