hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,observable,value
frozen_branch,n48,48,0.020833333333,3,1301,3.0,density_redistribution_rate,0.002301751753
frozen_branch,n48,48,0.020833333333,3,1301,3.0,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1301,3.0,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1301,3.0,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1301,3.0,localization_width,0.194977810175
frozen_branch,n48,48,0.020833333333,3,1301,3.0,spectral_distortion,0.257467761017
frozen_branch,n48,48,0.020833333333,3,1301,3.0,mean_identity,0.930474792532
frozen_branch,n48,48,0.020833333333,3,1301,3.6,centroid_drift_x,-0.005330512889
frozen_branch,n48,48,0.020833333333,3,1301,3.6,density_mode_amplitude,0.670302505314
frozen_branch,n48,48,0.020833333333,3,1301,3.6,density_redistribution_rate,0.002294099792
frozen_branch,n48,48,0.020833333333,3,1301,3.6,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1301,3.6,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1301,3.6,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1301,3.6,localization_width,0.195074635184
frozen_branch,n48,48,0.020833333333,3,1301,3.6,spectral_distortion,0.224947784611
frozen_branch,n48,48,0.020833333333,3,1301,3.6,mean_identity,0.923779369879
frozen_branch,n48,48,0.020833333333,3,1301,4.2,centroid_drift_x,-0.005608361581
frozen_branch,n48,48,0.020833333333,3,1301,4.2,density_mode_amplitude,0.67157805412
frozen_branch,n48,48,0.020833333333,3,1301,4.2,density_redistribution_rate,0.002270073347
frozen_branch,n48,48,0.020833333333,3,1301,4.2,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1301,4.2,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1301,4.2,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1301,4.2,localization_width,0.19524586707
frozen_branch,n48,48,0.020833333333,3,1301,4.2,spectral_distortion,0.194211961255
frozen_branch,n48,48,0.020833333333,3,1301,4.2,mean_identity,0.917553288801
frozen_branch,n48,48,0.020833333333,3,1302,0.0,centroid_drift_x,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.0,density_mode_amplitude,0.324037359055
frozen_branch,n48,48,0.020833333333,3,1302,0.0,density_redistribution_rate,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.0,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.0,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.0,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,0.0,localization_width,0.36326124476
