hierarchy_label,level_id,n_side,h,ensemble_size,seed,bias_strength,bias_remove_tau,centroid_response_eval,mode_response_eval,mode_response_final,mean_identity_eval,survival_fraction_eval,spectral_distortion_eval,memory_ratio,linearity_error
frozen_branch,n48,48,0.020833333333,3,1301,0.0,1.2,0.0,-0.0,-0.0,0.95689975904,1.0,0.384807724516,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1301,0.03,1.2,1.1101116e-05,-2.6548028e-05,-0.000830473244,0.949387024156,1.0,0.346255838206,4.574532026595,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1301,0.06,1.2,8.1884815e-05,-0.000285611744,-0.005357478142,0.937558527274,1.0,0.284928285004,4.515117836112,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1302,0.0,1.2,-0.0,0.0,-0.0,0.996757276587,1.0,-0.223673705936,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1302,0.03,1.2,-1.22597e-05,1.2057232e-05,0.00068699831,0.997240856195,1.0,-0.20798181039,16.104377455674,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1302,0.06,1.2,-2.45287e-05,2.4147351e-05,0.001372092806,0.997457718874,1.0,-0.18747195152,16.041027288194,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1303,0.0,1.2,0.0,0.0,-0.0,0.998827562824,1.0,-0.635875968375,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1303,0.03,1.2,6.0686757e-05,-0.000229650393,-0.00606482494,0.99887747946,1.0,-0.643401459135,10.372088218394,1.909447461951
frozen_branch,n48,48,0.020833333333,3,1303,0.06,1.2,3.9187698e-05,-0.000148459936,-0.005252935819,0.998389810017,1.0,-0.642656305809,1375.667638412954,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1301,0.0,1.2,0.0,0.0,-0.0,0.920259387914,1.0,0.350763530292,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1301,0.03,1.2,1.3861834e-05,6.9903791e-05,0.002364353659,0.917011822056,1.0,0.332616519952,6.762357021376,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1301,0.06,1.2,0.000133686956,0.000431823866,0.01022422261,0.911071849788,0.8,0.308850608838,5.884386736596,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1302,0.0,1.2,0.0,0.0,0.0,0.981088875921,1.0,-0.326297614801,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1302,0.03,1.2,-3.538277e-05,9.1613227e-05,0.001766321101,0.98085491371,1.0,-0.335767975477,8.737400709766,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1302,0.06,1.2,-8.407379e-06,1.5996846e-05,0.000312683132,0.979606669571,1.0,-0.341589975483,1.503937895218,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1303,0.0,1.2,0.0,-0.0,0.0,0.988942242158,1.0,-0.425082071601,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1303,0.03,1.2,-2.9548963e-05,-5.7760459e-05,-0.001194425314,0.989658800082,1.0,-0.405541322709,9.787203848462,1.909447461951
frozen_branch,n48,48,0.020833333333,5,1303,0.06,1.2,-5.969611e-06,1.0188689e-05,0.000136880528,0.989950412929,1.0,-0.377984157165,0.612874801772,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1301,0.0,1.2,0.0,0.0,0.0,0.931105932941,1.0,-0.19133081861,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1301,0.03,1.2,2.039563e-05,9.7200739e-05,0.002131731416,0.929019253811,1.0,-0.196740775797,6.302948793862,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1301,0.06,1.2,0.000197650521,0.000307423029,0.00670087969,0.924935004759,0.857142857143,-0.192267905276,6.147299909754,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1302,0.0,1.2,0.0,-0.0,0.0,0.952946108361,0.857142857143,-0.216742562588,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1302,0.03,1.2,-1.239265e-06,1.3827291e-05,-0.000305405199,0.947404583589,0.857142857143,-0.215609626222,1.689902973418,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1302,0.06,1.2,8.0826286e-05,-0.00049636994,-0.010239380265,0.938120254291,0.857142857143,-0.221001457403,4.573354323466,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1303,0.0,1.2,0.0,0.0,0.0,0.968645073414,1.0,-0.659012740607,0.0,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1303,0.03,1.2,-2.2116952e-05,4.8266694e-05,0.000675992418,0.969357447277,1.0,-0.641612792636,6.082243099838,1.909447461951
frozen_branch,n48,48,0.020833333333,7,1303,0.06,1.2,1.4778571e-05,3.3258471e-05,0.000179015196,0.969298042917,1.0,-0.610735435776,19.503148670318,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1301,0.0,1.2,0.0,0.0,0.0,0.959999036835,1.0,0.40065861464,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1301,0.03,1.2,7.154457e-06,-2.787526e-05,-0.00076857541,0.952320178782,1.0,0.361655297774,4.632747138265,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1301,0.06,1.2,6.2262957e-05,-0.00025482572,-0.00502324988,0.939860788787,1.0,0.298646890772,4.817695109825,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1302,0.0,1.2,-0.0,-0.0,0.0,0.997636158018,1.0,-0.222220830856,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1302,0.03,1.2,-6.799563e-06,6.679608e-06,0.000351421856,0.997950904729,1.0,-0.206877232446,15.434530018464,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1302,0.06,1.2,-1.3600212e-05,1.3377054e-05,0.000705501871,0.997996847732,1.0,-0.1868675882,15.453860522574,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1303,0.0,1.2,-0.0,0.0,0.0,0.999482155759,1.0,-0.636014829804,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1303,0.03,1.2,3.4903184e-05,-0.000132180525,-0.003848247026,0.999386098935,1.0,-0.643347208215,12.68107939571,1.909447461951
frozen_branch,n60,60,0.016666666667,3,1303,0.06,1.2,-6.2449e-07,2.257187e-06,-0.00163831348,0.998690258426,1.0,-0.642691978128,4.23222384267,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1301,0.0,1.2,0.0,0.0,0.0,0.92271034365,1.0,0.380700661723,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1301,0.03,1.2,1.2976686e-05,5.3707933e-05,0.001828786256,0.919353232388,1.0,0.361900120587,6.850113094952,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1301,0.06,1.2,0.000115339705,0.000346917167,0.008217811051,0.913024244615,1.0,0.336894798802,5.915058817662,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1302,0.0,1.2,0.0,-0.0,0.0,0.982459903154,1.0,-0.322416507566,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1302,0.03,1.2,-2.1449199e-05,5.4631213e-05,0.00125686868,0.982070582437,1.0,-0.331427558205,11.860121800128,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1302,0.06,1.2,1.1286349e-05,-3.6848393e-05,-0.000487437568,0.980536585525,1.0,-0.337309869069,1.503822819595,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1303,0.0,1.2,0.0,0.0,-0.0,0.99049928419,1.0,-0.42459981933,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1303,0.03,1.2,-1.6906477e-05,-3.2489127e-05,-0.000798775386,0.991034713894,1.0,-0.4052035127,14.423197799821,1.909447461951
frozen_branch,n60,60,0.016666666667,5,1303,0.06,1.2,1.2088737e-05,4.336685e-05,0.000736397264,0.991107719099,1.0,-0.378032603153,2.529796961829,1.909447461951
frozen_branch,n60,60,0.016666666667,7,1301,0.0,1.2,0.0,0.0,0.0,0.933625380708,1.0,-0.173366084608,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,7,1301,0.03,1.2,1.9265618e-05,6.6761901e-05,0.001653739511,0.931418876854,1.0,-0.179240024948,6.974786825198,1.909447461951
frozen_branch,n60,60,0.016666666667,7,1301,0.06,1.2,0.000171608424,0.000222527998,0.005245338574,0.927014431281,1.0,-0.175510980856,6.557653453307,1.909447461951
frozen_branch,n60,60,0.016666666667,7,1302,0.0,1.2,0.0,0.0,0.0,0.955036851267,1.0,-0.202867493776,0.0,1.909447461951
frozen_branch,n60,60,0.016666666667,7,1302,0.03,1.2,5.619502e-06,-2.9959263e-05,-0.000780249713,0.949234481295,0.857142857143,-0.201418331222,2.951012000942,1.909447461951
