source_file,sheet_name,trace_id,distance_um,thickness_nm,time_ps,stft_intensity,normalized_intensity
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,135,0.16054,0.16054
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,5,0.00177,0.00177
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,10,0.0025,0.0025
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,15,0.00268,0.00268
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,20,0.00773,0.00773
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,25,0.04077,0.04077
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,30,0.12199,0.12199
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,35,0.28542,0.28542
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,40,0.52861,0.52861
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,45,0.68638,0.68638
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,50,0.91754,0.91754
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,55,0.90843,0.90843
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,60,0.9143,0.9143
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,65,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,70,0.975,0.975
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,75,0.95686,0.95686
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,80,0.87228,0.87228
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,85,0.93683,0.93683
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,90,0.90249,0.90249
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,95,0.86986,0.86986
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,100,0.77131,0.77131
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,105,0.75186,0.75186
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,110,0.65437,0.65437
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,115,0.59626,0.59626
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,120,0.5015,0.5015
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,125,0.48005,0.48005
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,130,0.47611,0.47611
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_224,6,224,135,0.41448,0.41448
