probe_name,hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,observable,value
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,active_candidate_fraction,0.666666666667
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,identity_shift,-0.005317281207
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,spectral_shift,0.015991848159
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,width_shift,-0.013383821564
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,2.4,low_k_response_fraction,0.699055849407
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,disturbance_radius,0.236396402616
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,response_dispersion,0.091872817792
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,front_sharpness,1.785183645537
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,active_candidate_fraction,0.666666666667
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,identity_shift,-0.005306493733
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,spectral_shift,0.015803771313
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,width_shift,-0.013028260351
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.0,low_k_response_fraction,0.701344873417
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,disturbance_radius,0.236396402616
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,response_dispersion,0.091219612579
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,front_sharpness,1.794863935461
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,active_candidate_fraction,0.666666666667
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,identity_shift,-0.0052865801
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,spectral_shift,0.0155532324
