probe_name,hierarchy_label,level_id,n_side,h,ensemble_size,seed,distance,latency,normalized_latency,anchor_index
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1303,0.294109968343,0.0,0.0,1
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.450646219117,2.0,0.47619047619,1
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.0,1.6,0.380952380952,1
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.589846124533,1.6,0.380952380952,1
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.351909976243,1.6,0.380952380952,1
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.294109968343,2.4,0.571428571429,1
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.0,0.0,0.0,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.236396402616,0.0,0.0,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.201063508094,1.6,0.380952380952,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.36338091207,0.0,0.0,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.469221348332,0.0,0.0,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.489619438225,4.2,1.0,0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.526594614598,0.0,0.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.0,0.0,0.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.236396402616,0.0,0.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.201063508094,0.8,0.190476190476,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.36338091207,0.0,0.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.469221348332,0.0,0.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.489619438225,4.2,1.0,0
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.526594614598,4.2,1.0,0
bias_onset,frozen_branch,n48,48,0.020833333333,7,1301,0.0,1.2,0.285714285714,0
