condition,component,metric,value
weight_shuffle_control,curvature,forman_negative_fraction,1
weight_shuffle_control,curvature,ollivier_mean,0.170221967101
weight_shuffle_control,curvature,ollivier_std,0.259516425675
weight_shuffle_control,curvature,ollivier_negative_fraction,0.173913043478
weight_shuffle_control,transport_kernel,sinkhorn_distance,0.29230497413
weight_shuffle_control,transport_kernel,sinkhorn_divergence,0.26271594974
weight_shuffle_control,transport_kernel,sliced_wasserstein,0.131998485958
weight_shuffle_control,transport_kernel,mmd_rbf,0.088792594551
topology_destroyed_control,spectral,eigenvalues_0,6.64987609517e-16
topology_destroyed_control,spectral,eigenvalues_1,0.201095178745
topology_destroyed_control,spectral,eigenvalues_2,0.605768869807
topology_destroyed_control,spectral,eigenvalues_3,0.696212489855
topology_destroyed_control,spectral,eigenvalues_4,0.811090727562
topology_destroyed_control,spectral,eigenvalues_5,0.951035818416
topology_destroyed_control,spectral,eigenvalues_6,1.10182601928
topology_destroyed_control,spectral,eigenvalues_7,1.18077502893
topology_destroyed_control,spectral,spectral_gap,0.201095178745
topology_destroyed_control,spectral,low_mode_cluster_ordering,0.555555555556
topology_destroyed_control,spectral,fiedler_sign_balance,0.416666666667
topology_destroyed_control,hodge,edge_count,23
topology_destroyed_control,hodge,triangle_count,8
topology_destroyed_control,hodge,exact_fraction,0.887677904874
topology_destroyed_control,hodge,coexact_fraction,0.0976582614907
topology_destroyed_control,hodge,harmonic_fraction,0.0146638336349
topology_destroyed_control,hodge,harmonic_dim,5
topology_destroyed_control,hodge,lowest_l1_eigenvalues_0,-7.65077451137e-16
topology_destroyed_control,hodge,lowest_l1_eigenvalues_1,-2.83835812655e-16
topology_destroyed_control,hodge,lowest_l1_eigenvalues_2,2.52597269521e-16
topology_destroyed_control,hodge,lowest_l1_eigenvalues_3,1.30261082858e-15
topology_destroyed_control,hodge,lowest_l1_eigenvalues_4,1.63525694491e-15
topology_destroyed_control,hodge,lowest_l1_eigenvalues_5,0.649223315334
topology_destroyed_control,hodge,lowest_l1_eigenvalues_6,2
topology_destroyed_control,hodge,lowest_l1_eigenvalues_7,2
topology_destroyed_control,curvature,forman_mean,-2.95652173913
topology_destroyed_control,curvature,forman_std,1.39808132094
topology_destroyed_control,curvature,forman_negative_fraction,0.95652173913
topology_destroyed_control,curvature,ollivier_mean,0.163981510521
topology_destroyed_control,curvature,ollivier_std,0.206929982749
topology_destroyed_control,curvature,ollivier_negative_fraction,0.217391304348
topology_destroyed_control,transport_kernel,sinkhorn_distance,1.5349629249
topology_destroyed_control,transport_kernel,sinkhorn_divergence,1.50554565576
topology_destroyed_control,transport_kernel,sliced_wasserstein,0.452371334987
topology_destroyed_control,transport_kernel,mmd_rbf,0.224784505583
hodge_triangle_removed_control,spectral,eigenvalues_0,1.55042441467e-16
hodge_triangle_removed_control,spectral,eigenvalues_1,0.0598884412732
hodge_triangle_removed_control,spectral,eigenvalues_2,0.0877378924529
hodge_triangle_removed_control,spectral,eigenvalues_3,1.2403308443
hodge_triangle_removed_control,spectral,eigenvalues_4,1.25778428871
hodge_triangle_removed_control,spectral,eigenvalues_5,1.26663631382
hodge_triangle_removed_control,spectral,eigenvalues_6,1.27864581985
hodge_triangle_removed_control,spectral,eigenvalues_7,1.33440590192
hodge_triangle_removed_control,spectral,spectral_gap,0.0598884412732
hodge_triangle_removed_control,spectral,low_mode_cluster_ordering,0.883101851852
hodge_triangle_removed_control,spectral,fiedler_sign_balance,0.583333333333
hodge_triangle_removed_control,hodge,edge_count,23
hodge_triangle_removed_control,hodge,triangle_count,0
hodge_triangle_removed_control,hodge,exact_fraction,0.991017964072
hodge_triangle_removed_control,hodge,coexact_fraction,0
hodge_triangle_removed_control,hodge,harmonic_fraction,0.00898203592814
hodge_triangle_removed_control,hodge,harmonic_dim,12
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_0,-8.56010596786e-16
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_1,-8.31405721171e-16
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_2,-5.86034179073e-16
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_3,-3.66146785112e-16
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_4,-1.63702208472e-16
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_5,-3.97767522064e-17
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_6,7.54521929829e-17
hodge_triangle_removed_control,hodge,lowest_l1_eigenvalues_7,1.04272537751e-16
hodge_triangle_removed_control,curvature,forman_mean,-2.17391304348
hodge_triangle_removed_control,curvature,forman_std,1.04889896364
hodge_triangle_removed_control,curvature,forman_negative_fraction,1
hodge_triangle_removed_control,curvature,ollivier_mean,0.371629319978
hodge_triangle_removed_control,curvature,ollivier_std,0.229732254858
hodge_triangle_removed_control,curvature,ollivier_negative_fraction,0.130434782609
hodge_triangle_removed_control,transport_kernel,sinkhorn_distance,0.0147609745953
hodge_triangle_removed_control,transport_kernel,sinkhorn_divergence,0
hodge_triangle_removed_control,transport_kernel,sliced_wasserstein,0
hodge_triangle_removed_control,transport_kernel,mmd_rbf,0
