sample_index,sample_label,time_value,mean_abs_change,median_abs_change,fraction_abs_change_ge_0_5,fraction_abs_change_ge_1_0
0,0 minute inferred log-ratio baseline,0.0,0.0,0.0,0.0,0.0
1,5 minute,5.0,0.37536284306472917,0.2575,0.2525,0.068
2,15 minute,15.0,1.0605797622737336,0.9484999999999999,0.819,0.4615
3,30 minute,30.0,0.7100911613870421,0.61,0.6105,0.1965
4,45 minute,45.0,0.4018345318776727,0.269,0.2505,0.0805
5,60 minute,60.0,0.23624938336820084,0.155,0.0955,0.029
6,90 minute,90.0,0.263948473525951,0.189,0.1375,0.021
