control_id,sample_role,frobenius_norm,scale_aligned_distance_to_target,raw_frobenius_distance_to_target,matrix_rank,singular_values,symmetric_norm,antisymmetric_norm,antisymmetric_fraction,matrix_values
target_geometry,target,0.855199212962,0,0,4,"[0.8370931276603504,0.16886507167018572,0.04608127833353352,0.0013758019591457607]",0.700845808745,0.490082489194,0.573062371628,"[[-0.09983006365810625,-0.0062973297651131134,0.022241448469736583,0.08085808606297192],[0.06201475978740076,0.0060168168231335695,-0.03484800321900708,-0.08008301296051483],[-0.20983057266135863,-0.0004164889842255632,-0.18169529657024588,0.11407205575552341],[0.5574129160123216,0.005154983117241818,0.5456762456833495,-0.06530408623551985]]"
identity_pairing,null,1.23795604788,0.996756505733,1.56022487888,3,"[0.841221077139412,0.8078815093228859,0.4149816173593016,0.0]",0.939148692554,0.806557443552,0.651523489008,"[[0.481108466956389,0.0,0.0,-0.6900634345090789],[0.0,0.0,-0.41498161735930167,0.0],[0.0,0.0,0.0,0.0],[0.0,0.807881509322886,0.0,0.0]]"
shuffled_pairing,null,0.373599331276,0.882862226297,0.755543191622,4,"[0.348023947586014,0.11454361122808371,0.06374900631560272,0.03565974701836017]",0.348817536402,0.133801295317,0.358141153144,"[[0.089848096307985,-0.010758451176159653,-0.12740521490098605,0.0],[0.04882399258865137,-0.06442562445632909,0.09225904091011612,0.0003046868617964174],[-0.028616968922191954,-0.010644108857292918,-0.24693186722397317,0.07265536753001918],[0.008252942032903525,0.011598712013794093,0.1808758083914941,0.0021455494731046423]]"
random_orthogonal_pairing,null,0.638319793626,0.989605900683,1.13834200459,4,"[0.6246686255588455,0.1198472935943365,0.053605046366252275,0.0020958052717690166]",0.458237838279,0.444376239806,0.696165533708,"[[0.010584376386074372,-0.029839713851420174,0.04577821309878216,-0.04007713286912497],[0.22828188232296412,0.1182965602147407,-0.031707192561339664,-0.3375900343466887],[0.25716493887291736,0.09059435083787303,0.05408085046659724,-0.36530002310315207],[0.019044663268179943,0.056858636418527474,-0.03426139907386084,0.07867270208298516]]"
topology_destroyed_pairing,null,0,1,0.855199212962,0,"[0.0,0.0,0.0,0.0]",0,0,0,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]"
label_permuted_settings,null,0.802091003442,0.53066498825,1.59295601754,4,"[0.7528306681594725,0.26607655143515724,0.07226932417978107,0.024007841216872734]",0.58908506499,0.544360876632,0.678677200338,"[[0.0060168168231335695,-0.03484800321900708,0.012523149932443044,0.061462914778551814],[-0.0004164889842255632,-0.18169529657024588,0.015275188185386113,-0.10111605613272183],[0.0,-0.17034617371856373,0.06530408623551985,-0.08085808606297192],[-0.4693357531176021,0.11799156074938255,-0.5574129160123216,0.0998300636581062]]"
closure_vector_permutation,null,0.489357986091,0.99734175415,0.953859771367,4,"[0.4145068765652777,0.21158421037975111,0.15018740524419025,0.01819761123953586]",0.231096999893,0.431353005311,0.88146718266,"[[-0.010584376386074372,-0.2866209590343448,0.05089510894067842,-0.19641309715590094],[0.19685406148147402,-0.12085017092409657,0.1344373142864864,-0.0850246306322131],[0.03712071499102408,-0.059467879049848044,0.03143762551438555,0.0],[0.10135175586281382,0.015464949351725453,-0.04279852345100064,-0.13832785980255655]]"
refinement_broken_control,control,0.993273207962,0.14115039721,0.189930158402,4,"[0.9807659709922539,0.15112777797299823,0.0419565939854003,0.009477064119411563]",0.836557479698,0.535502800008,0.53912941144,"[[-0.16500488413868136,-0.004857734816489978,-0.06074342688866093,0.09351799714804633],[0.023724159699136053,0.015616662950364896,-0.018948475139295828,-0.014856103269783281],[-0.26469379764128625,0.005499126169199915,-0.21053149820512332,0.14611761400057235],[0.6332595007676295,0.003976533213453817,0.6348307968301876,-0.07555890191144442]]"
