candidate_id,control_id,pair_role,source_id,hierarchy_label,seed,n_side,setting_left,setting_right,G,operator_kind,vector_kind,closure_strength,chain_signature
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,a0,b0,0.144849017071,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,a0,b1,-0.0115932575442,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,a1,b0,0.0747613814332,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,a1,b1,0,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,h0,h1,-0.0519305301469,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,h0,h2,-0.0181835004536,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,h3,h1,0.32411568653,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_dccc01e22e5ef1540df4d313,frozen_branch,1302,72,h3,h2,0.0118217985089,target_geometry,target,0.443356848329,low_k_half>dispersion_half>spectral_half>width_half>front_near>radius_half>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,a0,b0,-0.352508297059,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,a0,b1,0,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,a1,b0,0.0906356077069,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,chsh_held_back,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,a1,b1,0.0254768851082,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,h0,h1,-0.325557580843,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,h0,h2,0.228921489714,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
b3_2_relational_geometry,target_geometry,holdout,phase18_geometry_source_c63d4ef1cb696ab85c68f552,frozen_branch,1303,84,h3,h1,0.719387415877,target_geometry,target,0.773801408644,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
