candidate_id,run_id,party,local_setting,remote_setting_left,remote_setting_right,p_plus_left,p_plus_right,deviation,tolerance,status
local_sanity_candidate,local_sanity_candidate_seed_7201,alice,a0,b0,b1,0.4835069444444444,0.4835069444444444,0.0,0.08,NO_SIGNALLING_PASS
local_sanity_candidate,local_sanity_candidate_seed_7201,alice,a1,b0,b1,0.5043402777777778,0.5043402777777778,0.0,0.08,NO_SIGNALLING_PASS
local_sanity_candidate,local_sanity_candidate_seed_7201,bob,b0,a0,a1,0.5121527777777778,0.5121527777777778,0.0,0.08,NO_SIGNALLING_PASS
local_sanity_candidate,local_sanity_candidate_seed_7201,bob,b1,a0,a1,0.484375,0.484375,0.0,0.08,NO_SIGNALLING_PASS
haos_local_recoverability_candidate,haos_local_recoverability_candidate_seed_7201,alice,a0,b0,b1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
haos_local_recoverability_candidate,haos_local_recoverability_candidate_seed_7201,alice,a1,b0,b1,0.16666666666666666,0.16666666666666666,0.0,0.08,NO_SIGNALLING_PASS
haos_local_recoverability_candidate,haos_local_recoverability_candidate_seed_7201,bob,b0,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
haos_local_recoverability_candidate,haos_local_recoverability_candidate_seed_7201,bob,b1,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
haos_joint_closure_candidate,haos_joint_closure_candidate_seed_7201,alice,a0,b0,b1,0.5,0.5,0.0,0.08,NO_SIGNALLING_PASS
haos_joint_closure_candidate,haos_joint_closure_candidate_seed_7201,alice,a1,b0,b1,0.5,0.5,0.0,0.08,NO_SIGNALLING_PASS
haos_joint_closure_candidate,haos_joint_closure_candidate_seed_7201,bob,b0,a0,a1,0.5,0.5,0.0,0.08,NO_SIGNALLING_PASS
haos_joint_closure_candidate,haos_joint_closure_candidate_seed_7201,bob,b1,a0,a1,0.5,0.5,0.0,0.08,NO_SIGNALLING_PASS
independent_random_control,independent_random_control_seed_7201,alice,a0,b0,b1,0.5008680555555556,0.5008680555555556,0.0,0.08,NO_SIGNALLING_PASS
independent_random_control,independent_random_control_seed_7201,alice,a1,b0,b1,0.4991319444444444,0.4991319444444444,0.0,0.08,NO_SIGNALLING_PASS
independent_random_control,independent_random_control_seed_7201,bob,b0,a0,a1,0.4852430555555556,0.4852430555555556,0.0,0.08,NO_SIGNALLING_PASS
independent_random_control,independent_random_control_seed_7201,bob,b1,a0,a1,0.4809027777777778,0.4809027777777778,0.0,0.08,NO_SIGNALLING_PASS
deterministic_lhv_control,deterministic_lhv_control_seed_7201,alice,a0,b0,b1,0.5034722222222222,0.5034722222222222,0.0,0.08,NO_SIGNALLING_PASS
deterministic_lhv_control,deterministic_lhv_control_seed_7201,alice,a1,b0,b1,0.5095486111111112,0.5095486111111112,0.0,0.08,NO_SIGNALLING_PASS
deterministic_lhv_control,deterministic_lhv_control_seed_7201,bob,b0,a0,a1,0.5034722222222222,0.5034722222222222,0.0,0.08,NO_SIGNALLING_PASS
deterministic_lhv_control,deterministic_lhv_control_seed_7201,bob,b1,a0,a1,0.4982638888888889,0.4982638888888889,0.0,0.08,NO_SIGNALLING_PASS
shared_randomness_local_control,shared_randomness_local_control_seed_7201,alice,a0,b0,b1,0.4895833333333333,0.4895833333333333,0.0,0.08,NO_SIGNALLING_PASS
shared_randomness_local_control,shared_randomness_local_control_seed_7201,alice,a1,b0,b1,0.5104166666666666,0.5104166666666666,0.0,0.08,NO_SIGNALLING_PASS
shared_randomness_local_control,shared_randomness_local_control_seed_7201,bob,b0,a0,a1,0.5104166666666666,0.5104166666666666,0.0,0.08,NO_SIGNALLING_PASS
shared_randomness_local_control,shared_randomness_local_control_seed_7201,bob,b1,a0,a1,0.5104166666666666,0.5104166666666666,0.0,0.08,NO_SIGNALLING_PASS
source_setting_leakage_positive_control,source_setting_leakage_positive_control_seed_7201,alice,a0,b0,b1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
source_setting_leakage_positive_control,source_setting_leakage_positive_control_seed_7201,alice,a1,b0,b1,0.16666666666666666,0.16666666666666666,0.0,0.08,NO_SIGNALLING_PASS
source_setting_leakage_positive_control,source_setting_leakage_positive_control_seed_7201,bob,b0,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
source_setting_leakage_positive_control,source_setting_leakage_positive_control_seed_7201,bob,b1,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
post_selection_positive_control,post_selection_positive_control_seed_7201,alice,a0,b0,b1,0.5069686411149826,0.5017421602787456,0.005226480836237002,0.08,NO_SIGNALLING_PASS
post_selection_positive_control,post_selection_positive_control_seed_7201,alice,a1,b0,b1,0.5131810193321616,0.5108153078202995,0.0023657115118621563,0.08,NO_SIGNALLING_PASS
post_selection_positive_control,post_selection_positive_control_seed_7201,bob,b0,a0,a1,0.5069686411149826,0.5131810193321616,0.006212378217179015,0.08,NO_SIGNALLING_PASS
post_selection_positive_control,post_selection_positive_control_seed_7201,bob,b1,a0,a1,0.5017421602787456,0.4891846921797005,0.012557468099045122,0.08,NO_SIGNALLING_PASS
label_permutation_control,label_permutation_control_seed_7201,alice,a0,b0,b1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.08,NO_SIGNALLING_FAIL
label_permutation_control,label_permutation_control_seed_7201,alice,a1,b0,b1,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08,NO_SIGNALLING_FAIL
label_permutation_control,label_permutation_control_seed_7201,bob,b0,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
label_permutation_control,label_permutation_control_seed_7201,bob,b1,a0,a1,0.3333333333333333,0.3333333333333333,0.0,0.08,NO_SIGNALLING_PASS
setting_permutation_control,setting_permutation_control_seed_7201,alice,a0,b0,b1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.08,NO_SIGNALLING_FAIL
setting_permutation_control,setting_permutation_control_seed_7201,alice,a1,b0,b1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.08,NO_SIGNALLING_FAIL
setting_permutation_control,setting_permutation_control_seed_7201,bob,b0,a0,a1,0.2222222222222222,0.2222222222222222,0.0,0.08,NO_SIGNALLING_PASS
setting_permutation_control,setting_permutation_control_seed_7201,bob,b1,a0,a1,0.4444444444444444,0.4444444444444444,0.0,0.08,NO_SIGNALLING_PASS
