operator_variant,preserves,destroys,count,mean_G,variance_G,positive_count,negative_count,pair_order_spearman_vs_target,scale_aligned_distance_to_target,singular_values,matrix_rank,status
target_J,"frozen chain-order adjacency, orientation, antisymmetry, closure-strength weighting",nothing; reference operator,48,0.0468316377276,0.0631102135971,19,15,1,0,"[0.8370931276603504,0.16886507167018572,0.04608127833353352,0.0013758019591457607]",4,REFERENCE_OPERATOR
degree_matched_J,approximate weighted node degree and antisymmetry,actual chain adjacency and orientation order,48,-0.0119793230657,0.0168698759656,17,21,0.833333333333,0.577342599933,"[0.3321212603509642,0.0881210060535411,0.029813579096354386,0.008089059280621126]",4,OPERATOR_GEOMETRY_PERSISTS
spectrum_matched_J,"skew spectrum under signed permutation, norm, antisymmetry",semantic token orientation alignment,48,0.00756440443062,0.0304247543725,22,18,-0.309523809524,0.989605900683,"[0.6246686255588455,0.1198472935943365,0.053605046366252275,0.0020958052717690166]",4,OPERATOR_GEOMETRY_DEGRADED
locality_preserving_randomized_J,chain-local adjacency and antisymmetry,edge-weight order and alternating orientations,48,0.00477891415564,0.00657211026057,18,15,0.047619047619,0.925875340412,"[0.18185018940969006,0.0913123110486255,0.028931077798866493,0.003559589926301621]",4,OPERATOR_GEOMETRY_DEGRADED
orientation_reversed_J,"chain adjacency, spectrum magnitude, locality, antisymmetry",orientation sign convention,48,-0.0468316377276,0.0631102135971,15,19,-1,0,"[0.8370931276603504,0.16886507167018572,0.04608127833353352,0.0013758019591457607]",4,OPERATOR_GEOMETRY_PERSISTS
