timing_mode,component,component_enabled_in_verdict,control_family,verdict,target_mean,target_variance,target_missing,target_control_mean,target_control_variance,target_control_missing,effect_size_cohen_d_control_minus_target,reasons
interpolated_non_front_times,d_inv,True,periodic_diagonal_augmented_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.16693897648966008,0.01636666908380124,0,-1.159481326687757,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_inv,True,randomized_edge_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.0,0.0,0,-5.933063835645317,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_inv,True,shuffled_structure_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.0,0.0,0,-5.933063835645317,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_struct,True,periodic_diagonal_augmented_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.23459595959595958,0.0391340807060504,0,-0.9556378203261015,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_struct,True,randomized_edge_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.43636363636363634,0.0006611570247933875,0,1.4134783330214147,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_struct,True,shuffled_structure_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.43636363636363634,0.0006611570247933875,0,1.4134783330214147,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_spec,True,periodic_diagonal_augmented_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.35123753516850637,0.04512043328941834,0,-0.5475219737908669,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_spec,True,randomized_edge_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.0,0.0,0,-18.11718177803829,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_spec,True,shuffled_structure_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.0,0.0,0,-18.11718177803829,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_causal,True,periodic_diagonal_augmented_control,FAIL,0.0,0.0,0,0.12016696874584237,0.003656297439231014,0,2.81047252987032,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_causal,True,randomized_edge_control,FAIL,0.0,0.0,0,0.0,0.0,0,0.0,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_causal,True,shuffled_structure_control,FAIL,0.0,0.0,0,0.0,0.0,0,0.0,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_time,True,periodic_diagonal_augmented_control,FAIL,0.16439910430839003,9.519674944011214e-05,0,0.046768707482993194,0.0031905636996200455,0,-2.9021283192767457,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_time,True,randomized_edge_control,FAIL,0.16439910430839003,9.519674944011214e-05,0,0.19444444444444442,0.0008345930964978584,0,1.3934767380778814,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_time,True,shuffled_structure_control,FAIL,0.16439910430839003,9.519674944011214e-05,0,0.21031746031746032,7.873519778281683e-05,0,4.923927493319892,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_addr,True,periodic_diagonal_augmented_control,FAIL,0.0,0.0,0,0.16666666666666666,0.013888888888888888,0,2.0,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_addr,True,randomized_edge_control,FAIL,0.0,0.0,0,0.4166666666666667,0.0,0,inf,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
interpolated_non_front_times,d_addr,True,shuffled_structure_control,FAIL,0.0,0.0,0,0.3333333333333333,0.0,0,inf,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_inv,True,periodic_diagonal_augmented_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.16693897648966008,0.01636666908380124,0,-1.159481326687757,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_inv,True,randomized_edge_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.0,0.0,0,-5.933063835645317,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_inv,True,shuffled_structure_control,FAIL,0.2857688283663579,0.004639825656019585,0,0.0,0.0,0,-5.933063835645317,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_struct,True,periodic_diagonal_augmented_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.23459595959595958,0.0391340807060504,0,-0.9556378203261015,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_struct,True,randomized_edge_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.43636363636363634,0.0006611570247933875,0,1.4134783330214147,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_struct,True,shuffled_structure_control,FAIL,0.37373737373737376,0.003264972961942656,0,0.43636363636363634,0.0006611570247933875,0,1.4134783330214147,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_spec,True,periodic_diagonal_augmented_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.35123753516850637,0.04512043328941834,0,-0.5475219737908669,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_spec,True,randomized_edge_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.0,0.0,0,-18.11718177803829,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_spec,True,shuffled_structure_control,FAIL,0.4345174733573122,0.0011504379593388148,0,0.0,0.0,0,-18.11718177803829,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
temporal_component_disabled,d_causal,True,periodic_diagonal_augmented_control,FAIL,0.0,0.0,0,0.12016696874584237,0.003656297439231014,0,2.81047252987032,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
