component,control_family,is_focus_control,target_count,target_missing,target_mean,target_variance,target_values,target_control_count,target_control_missing,target_control_mean,target_control_variance,target_control_values,control_control_count,control_control_missing,control_control_mean,control_control_variance,control_control_values,effect_size_cohen_d_control_minus_target,overlap_coefficient_histogram_20_bin,rank_order_by_mean_distance,target_outperforms_target_control,notes
d_inv,degraded_signal_control,False,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.16666666666666666,0.0,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",-2.4727704990332255,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_inv,generic_graph_operator_control,False,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",-5.933063835645317,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_inv,label_permutation_control,False,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",-5.933063835645317,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_inv,parameter_matched_null_control,False,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",14.828696184027233,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_inv,periodic_diagonal_augmented_control,True,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.16693897648966008,0.01636666908380124,"[0.3372410553516729, 0.07678802885549603, 0.33297454377969765, 0.04201427710272975, 0.1789158165143011, 0.03370013733406297]",3,0,0.42258594014266265,0.0019721199323797438,"[0.45546041364576634, 0.45249125017578723, 0.3598061566064345]",-1.159481326687757,0.0,target_control < target_target < control_control,False,positive effect means target-target distances are smaller than target-control distances
d_inv,randomized_edge_control,True,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",-5.933063835645317,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_inv,shuffled_structure_control,True,3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.2857688283663579,0.004639825656019585,"[0.3770421455678638, 0.2668084637230561, 0.2134558758081538]",-5.933063835645317,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_struct,degraded_signal_control,False,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",3.125000000000001,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_struct,generic_graph_operator_control,False,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.9478114478114478,2.267342334682431e-05,"[0.9444444444444444, 0.9444444444444444, 0.9545454545454546, 0.9545454545454546, 0.9444444444444444, 0.9444444444444444]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",14.159254315062668,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_struct,label_permutation_control,False,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",3.125000000000001,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
