stage_identifier,timestamp,track_id,track_name,operator_manifest_reference,phase5_manifest_reference,small_eig_seed,large_eig_seed,level_id,n_side,h,dimension,zero_form_size,one_form_size,two_form_size,nnz,nullspace_estimate,band_1,band_2,band_3,sampled_spectral_radius,trace_t_0_25,trace_t_0_5,trace_t_1_0
phase7-spectral,2026-03-21T14:55:04Z,A,spectral_feasibility,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,7012,9012,R1,12,0.083333333333,576,144,288,144,2880,4,0.263337445092,0.526674890185,0.98278872462,7.862309796963,36.135312835762,32.768913274466,27.241830650454
phase7-spectral,2026-03-21T14:55:04Z,A,spectral_feasibility,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,7024,9024,R2,24,0.041666666667,2304,576,1152,576,11520,4,0.067853205626,0.135706411252,0.266788738673,7.965353020924,38.939069201182,37.917120873497,35.983284258013
phase7-spectral,2026-03-21T14:55:04Z,A,spectral_feasibility,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,7036,9036,R3,36,0.027777777778,5184,1296,2592,1296,25920,4,0.030325938407,0.060651876814,0.120382315335,7.984582776023,39.468496959778,38.947172738264,37.934120590456
phase7-spectral,2026-03-21T14:55:04Z,A,spectral_feasibility,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,7048,9048,R4,48,0.020833333333,9216,2304,4608,2304,46080,4,0.017091721482,0.034183442965,0.068074441836,7.991324152244,39.728129343185,39.458847149761,38.927927288909
