hierarchy_label,n_side,h,seeds,observable_name,value,source_metric,notes
frozen_branch,48,0.020833333333,"1302,1303",dispersion_proxy,0.017091721482,phase11:spectral_gap,frozen
frozen_branch,48,0.020833333333,"1302,1303",effective_speed_band,0.209070338088,phase15:effective_speed,primary_bias
frozen_branch,48,0.020833333333,"1302,1303",persistence_time,1.200000000000,phase11:persistence_time_tau,frozen
frozen_branch,48,0.020833333333,"1302,1303",ordering_consistency_score,0.780045340136,phase16:event_time_distance_seed_pair,primary_bias
frozen_branch,48,0.020833333333,"1302,1303",distance_surrogate_shell_slope,0.919047571429,phase18:arrival_vs_depth_slope_formula,primary_bias
frozen_branch,60,0.016666666667,"1302,1303",dispersion_proxy,0.010948603426,phase11:spectral_gap,frozen
frozen_branch,60,0.016666666667,"1302,1303",effective_speed_band,0.198349068578,phase15:effective_speed,primary_bias
frozen_branch,60,0.016666666667,"1302,1303",persistence_time,2.000000000000,phase11:persistence_time_tau,frozen
frozen_branch,60,0.016666666667,"1302,1303",ordering_consistency_score,0.827664387755,phase16:event_time_distance_seed_pair,primary_bias
frozen_branch,60,0.016666666667,"1302,1303",distance_surrogate_shell_slope,1.004761857143,phase18:arrival_vs_depth_slope_formula,primary_bias
frozen_branch,72,0.013888888889,"1302,1303",dispersion_proxy,0.007606934464,phase11:spectral_gap,frozen
frozen_branch,72,0.013888888889,"1302,1303",effective_speed_band,0.201150768915,phase15:effective_speed,primary_bias
frozen_branch,72,0.013888888889,"1302,1303",persistence_time,2.400000000000,phase11:persistence_time_tau,frozen
frozen_branch,72,0.013888888889,"1302,1303",ordering_consistency_score,0.841269829932,phase16:event_time_distance_seed_pair,primary_bias
frozen_branch,72,0.013888888889,"1302,1303",distance_surrogate_shell_slope,1.004761857143,phase18:arrival_vs_depth_slope_formula,primary_bias
frozen_branch,84,0.011904761905,"1302,1303",dispersion_proxy,0.005590424552,phase11:spectral_gap,frozen
frozen_branch,84,0.011904761905,"1302,1303",effective_speed_band,0.193818379973,phase15:effective_speed,primary_bias
frozen_branch,84,0.011904761905,"1302,1303",persistence_time,3.600000000000,phase11:persistence_time_tau,frozen
frozen_branch,84,0.011904761905,"1302,1303",ordering_consistency_score,0.845804965986,phase16:event_time_distance_seed_pair,primary_bias
frozen_branch,84,0.011904761905,"1302,1303",distance_surrogate_shell_slope,1.009523750000,phase18:arrival_vs_depth_slope_formula,primary_bias
periodic_diagonal_augmented_control,48,0.020833333333,"1302,1303",dispersion_proxy,0.029055926520,phase11:spectral_gap,frozen
periodic_diagonal_augmented_control,48,0.020833333333,"1302,1303",effective_speed_band,0.181871230755,phase15:effective_speed,primary_bias
periodic_diagonal_augmented_control,48,0.020833333333,"1302,1303",persistence_time,0.400000000000,phase11:persistence_time_tau,frozen
periodic_diagonal_augmented_control,48,0.020833333333,"1302,1303",ordering_consistency_score,0.895691598639,phase16:event_time_distance_seed_pair,primary_bias
periodic_diagonal_augmented_control,48,0.020833333333,"1302,1303",distance_surrogate_shell_slope,1.045238107143,phase18:arrival_vs_depth_slope_formula,primary_bias
periodic_diagonal_augmented_control,60,0.016666666667,"1302,1303",dispersion_proxy,0.018612625824,phase11:spectral_gap,frozen
periodic_diagonal_augmented_control,60,0.016666666667,"1302,1303",effective_speed_band,0.209070338088,phase15:effective_speed,primary_bias
periodic_diagonal_augmented_control,60,0.016666666667,"1302,1303",persistence_time,1.200000000000,phase11:persistence_time_tau,frozen
periodic_diagonal_augmented_control,60,0.016666666667,"1302,1303",ordering_consistency_score,0.732426292517,phase16:event_time_distance_seed_pair,primary_bias
periodic_diagonal_augmented_control,60,0.016666666667,"1302,1303",distance_surrogate_shell_slope,0.682051250000,phase18:arrival_vs_depth_slope_formula,primary_bias
periodic_diagonal_augmented_control,72,0.013888888889,"1302,1303",dispersion_proxy,0.012931788589,phase11:spectral_gap,frozen
periodic_diagonal_augmented_control,72,0.013888888889,"1302,1303",effective_speed_band,0.201058061836,phase15:effective_speed,primary_bias
periodic_diagonal_augmented_control,72,0.013888888889,"1302,1303",persistence_time,1.600000000000,phase11:persistence_time_tau,frozen
periodic_diagonal_augmented_control,72,0.013888888889,"1302,1303",ordering_consistency_score,0.800453503401,phase16:event_time_distance_seed_pair,primary_bias
periodic_diagonal_augmented_control,72,0.013888888889,"1302,1303",distance_surrogate_shell_slope,1.266666625000,phase18:arrival_vs_depth_slope_formula,primary_bias
periodic_diagonal_augmented_control,84,0.011904761905,"1302,1303",dispersion_proxy,0.009503721739,phase11:spectral_gap,frozen
periodic_diagonal_augmented_control,84,0.011904761905,"1302,1303",effective_speed_band,0.203746462337,phase15:effective_speed,primary_bias
periodic_diagonal_augmented_control,84,0.011904761905,"1302,1303",persistence_time,2.000000000000,phase11:persistence_time_tau,frozen
periodic_diagonal_augmented_control,84,0.011904761905,"1302,1303",ordering_consistency_score,0.829931972789,phase16:event_time_distance_seed_pair,primary_bias
periodic_diagonal_augmented_control,84,0.011904761905,"1302,1303",distance_surrogate_shell_slope,1.028571392857,phase18:arrival_vs_depth_slope_formula,primary_bias
