condition,component,metric,value
norm_shuffle_control,shell,distinct_prime_shells,36
norm_shuffle_control,shell,prime_shell_alignment,0.37
norm_shuffle_control,shell,prime_shell_entropy,4.99743160026
norm_shuffle_control,spectral,eigenvalues_0,-1.18983162363e-15
norm_shuffle_control,spectral,eigenvalues_1,0.00335939914449
norm_shuffle_control,spectral,eigenvalues_2,0.00451600382432
norm_shuffle_control,spectral,eigenvalues_3,0.00872296503175
norm_shuffle_control,spectral,eigenvalues_4,0.0132809553051
norm_shuffle_control,spectral,eigenvalues_5,0.0146364292819
norm_shuffle_control,spectral,eigenvalues_6,0.0178083705742
norm_shuffle_control,spectral,eigenvalues_7,0.019687603152
norm_shuffle_control,spectral,eigenvalues_8,0.0233318340154
norm_shuffle_control,spectral,eigenvalues_9,0.0281802143741
norm_shuffle_control,spectral,eigenvalues_10,0.0303846314661
norm_shuffle_control,spectral,eigenvalues_11,0.0340215299483
norm_shuffle_control,spectral,spectral_gap,0.0033593991445
norm_shuffle_control,spectral,zero_mode_count,1
norm_shuffle_control,spectral,low_mode_sum,0.197929936118
norm_shuffle_control,norm_lift,edge_norm_gradient_mean,33.1415441176
norm_shuffle_control,norm_lift,edge_norm_gradient_std,24.8217950475
norm_shuffle_control,norm_lift,origin_graph_radial_correlation,-0.117803669724
norm_shuffle_control,norm_lift,finite_origin_reachability,1
norm_shuffle_control,cochain,edge_flow_abs_mean,33.1415441176
norm_shuffle_control,cochain,edge_flow_abs_std,24.8217950475
norm_shuffle_control,cochain,divergence_l2,7.33058518789
norm_shuffle_control,cochain,divergence_abs_mean,100.442906574
topology_destroyed_control,shell,class_counts_0,1
topology_destroyed_control,shell,class_counts_1,4
topology_destroyed_control,shell,class_counts_2,4
topology_destroyed_control,shell,class_counts_3,8
topology_destroyed_control,shell,class_counts_4,88
topology_destroyed_control,shell,class_counts_5,184
topology_destroyed_control,shell,prime_count,100
topology_destroyed_control,shell,distinct_prime_shells,14
topology_destroyed_control,shell,prime_shell_alignment,1
topology_destroyed_control,shell,prime_shell_entropy,3.76385618977
topology_destroyed_control,spectral,eigenvalues_0,-2.44249065418e-15
topology_destroyed_control,spectral,eigenvalues_1,0.0410505746606
topology_destroyed_control,spectral,eigenvalues_2,0.0430171329248
topology_destroyed_control,spectral,eigenvalues_3,0.0447821857568
topology_destroyed_control,spectral,eigenvalues_4,0.0460127067296
topology_destroyed_control,spectral,eigenvalues_5,0.0560988917999
topology_destroyed_control,spectral,eigenvalues_6,0.0608086257001
topology_destroyed_control,spectral,eigenvalues_7,0.0647200655316
topology_destroyed_control,spectral,eigenvalues_8,0.0678092401501
topology_destroyed_control,spectral,eigenvalues_9,0.0736397443365
topology_destroyed_control,spectral,eigenvalues_10,0.0828116896288
topology_destroyed_control,spectral,eigenvalues_11,0.0863703863414
topology_destroyed_control,spectral,spectral_gap,0.0410505746606
topology_destroyed_control,spectral,zero_mode_count,1
topology_destroyed_control,spectral,low_mode_sum,0.66712124356
topology_destroyed_control,norm_lift,edge_norm_gradient_mean,35.3253676471
topology_destroyed_control,norm_lift,edge_norm_gradient_std,24.5158040986
topology_destroyed_control,norm_lift,origin_graph_radial_correlation,-0.0167601987997
topology_destroyed_control,norm_lift,finite_origin_reachability,0.979238754325
topology_destroyed_control,cochain,edge_flow_abs_mean,35.3253676471
topology_destroyed_control,cochain,edge_flow_abs_std,24.5158040986
topology_destroyed_control,cochain,divergence_l2,8.11280486383
topology_destroyed_control,cochain,divergence_abs_mean,102.380622837
