event_id,seed,signal_to_noise,sample,sample_role,control_type,specificity_score,base_strain_proxy_score,ridge_coherence_score,phase_continuity_score,ridge_monotonicity,ridge_slope_hz,ridge_concentration,ridge_smoothness,phase_valid_fraction,phase_frequency_correlation,phase_smoothness,phase_range_hz
surrogate_01,6601,14.695342657782714,strain_proxy_target,target,none,0.8259382767051463,0.9557275981933141,0.6087579469975526,0.8884118196409421,0.47619047619047616,24.695250280918003,0.8069430671458229,0.8751995730794243,1.0,0.7893249037209793,0.9719403719040834,130.01844767713044
surrogate_01,6601,14.695342657782714,time_shuffle_control,negative_control,global_time_shuffle,0.32094311635296874,0.24982254431764156,0.19196599940191278,0.6413319241752748,0.38095238095238093,-30.738005987621932,0.3773485716416614,0.1577600954957884,1.0,0.22713863984916677,0.9067719680271986,105.00108296095729
surrogate_01,6601,14.695342657782714,phase_scramble_control,negative_control,fft_phase_scramble,0.4170135053075662,0.41426634870239787,0.2669963020989345,0.6532825481287672,0.38095238095238093,-6.476268395957646,0.4559806403560815,0.4006520636505888,1.0,0.26089741732962946,0.9427239644115422,97.39659776031229
surrogate_01,6601,14.695342657782714,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.4231613586705295,0.3897684252143134,0.34976130887661333,0.6633962171056883,0.5238095238095238,11.408277968714287,0.4866991572776771,0.25216228076776015,1.0,0.2936151447084655,0.9355984935654659,97.43569231118889
surrogate_01,6601,14.695342657782714,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.5890393601256881,0.6146554993817748,0.5471310210754826,0.7015339570254179,0.5238095238095238,37.2470253504342,0.5931355512716665,0.6350752196357565,1.0,0.4265034710030262,0.9641323981868931,83.18413580232487
surrogate_01,6601,14.695342657782714,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.6443975527142687,0.7028528108679035,0.5607975244572078,0.5989969814217116,0.6190476190476191,-25.037070860169905,0.7793157043095325,0.7880095284358377,1.0,0.0,0.9692671059372953,126.04330988609959
surrogate_01,6601,14.695342657782714,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.618549938082152,0.6828901181283318,0.5104291259825248,0.6015237369038208,0.42857142857142855,-23.777494965242795,0.8255169498464447,0.890820287630279,1.0,0.0,0.9710685761593901,127.84682326090513
surrogate_01,6601,14.695342657782714,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.6949375573108735,0.8885916948414081,0.4504968089799148,0.700450637386851,0.42857142857142855,69.60681971288412,0.40326212482519996,0.09446291887595071,1.0,0.42881421551505744,0.9271012263514488,89.18805527193221
surrogate_01,6601,14.695342657782714,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.3611978910753817,0.37434799040959854,0.27459246587390146,0.5612660539775842,0.5238095238095238,16.273510251134525,0.31767307081294105,0.22648865283032382,1.0,0.0,0.8980095177154526,108.27935726394846
surrogate_01,6601,14.695342657782714,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.48244064365651396,0.620365696712372,0.244703917259198,0.5402901199494848,0.42857142857142855,-8.740650665887472,0.4578419966844654,0.11883775320478185,1.0,0.0,0.9410606436500863,81.31951471326076
