event_id,source_label,source_kind,seed,signal_to_noise,sample,sample_role,control_type,strain_proxy_score,memory_proxy_recoverability,event_localization_score,chirp_order_score,composition_alignment_score,permanence_score,event_energy_fraction,peak_time_error,centroid_slope_hz
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,strain_proxy_target,target,none,0.967547786497843,0.9845961801586788,0.9835227272727274,0.9874253516081263,0.8861926818494703,0.947962561073699,0.9627411549901889,0.011328124999999911,93.25519510101302
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,time_shuffle_control,negative_control,global_time_shuffle,0.23196162845088797,0.5466504143577031,0.0,0.17,0.0,0.0,0.11833054779546645,0.5472656250000001,-16.986083007208975
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,phase_scramble_control,negative_control,fft_phase_scramble,0.3919700395905879,0.5774580452182019,0.0,0.767071166666468,0.0,0.03967513021094182,0.027987650961294474,0.3294921875000001,32.78225303844826
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.22505633771180233,0.5779571552912112,0.06659090909090896,0.0,0.03746093749999988,0.16237533988423036,0.12235211611046691,0.1742187500000001,-16.3053061569195
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.5914668788667167,0.9296691784282349,0.8531249999999999,0.0,0.4246526412970707,0.7796994844487243,0.8413348511340899,0.10097656250000009,-14.84719881428154
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.7134676156281321,0.9772508700421726,0.9835227272727274,0.0,0.8570462865082389,0.948232573621931,0.96424724452422,0.011328124999999911,-101.54641717329974
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.6720765442334772,0.973889555482019,0.8826704545454547,0.0,0.750208131464698,0.9482633228350867,0.9644051668504982,0.08066406249999991,-100.85043416883735
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.7199282593022246,0.9516760447176019,0.9721590909090911,0.17,0.7225820605209073,0.8564911717071229,0.832433962157612,0.01914062499999991,-30.031338022718643
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.1893205284491593,0.5461952530618043,0.0,0.0,0.0,0.0,0.01699273387830488,0.5033203125000001,-21.55527360248263
surrogate_01,gw150914_like_surrogate,synthetic_surrogate,6501,14.695342657782714,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.6806699435645294,0.9801105071057277,0.8900568181818181,0.0,0.7807981742484466,0.9429165579839309,0.9604668823210565,0.07558593750000009,-25.505768828034064
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,strain_proxy_target,target,none,0.9656492420471205,0.9920595794771128,0.9593750000000002,0.9917294634070319,0.8820056686929287,0.9724980959886581,0.9729348162485798,0.02792968749999991,107.65284378247588
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,time_shuffle_control,negative_control,global_time_shuffle,0.33798457409583144,0.8226808245509253,0.0,0.17,0.010724266229239767,0.6210131075357945,0.2163581398232455,0.2503906250000001,-6.711665794694255
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,phase_scramble_control,negative_control,fft_phase_scramble,0.5201081721424201,0.785602462787511,0.5516914472729499,0.17,0.46202322250438255,0.47184474841658886,0.4336731388236996,0.03281249999999991,-3.403357043323524
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.17400243337053822,0.4934255466423215,0.0,0.0,0.0,0.034683797047285476,0.14034268560743848,0.8638671874999999,-10.227040224640973
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.801252804308079,0.9763449614344092,0.8460227272727272,0.7551341888417837,0.44461222685869506,0.9364413495662688,0.9128345694169343,0.10585937500000009,32.78269417551715
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.7098629418278465,0.984827368650947,0.9593750000000002,0.0,0.8489716766011477,0.9726257507952549,0.972734370264052,0.02792968749999991,-111.65715366226966
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.6859822971811522,0.9819095248902968,0.906818181818182,0.0,0.781833083895134,0.9726240067662459,0.9727277587499851,0.06406249999999991,-112.031494083661
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.6969602465416298,0.9542872214438212,0.9764204545454547,0.0,0.8273890421169483,0.8554190244721288,0.9244967071372387,0.01621093749999991,-36.51320637941677
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.46139443924250034,0.762018743905269,0.0,0.7366745145274678,0.0,0.7,0.01257466084859367,0.3716796874999999,21.556025714979256
surrogate_02,gw150914_like_surrogate,synthetic_surrogate,6502,17.49999889026142,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.7640470826780361,0.9905489802744176,0.9724431818181818,0.17,0.8907579136372382,0.9703517824878698,0.9628017143082801,0.01894531250000009,-15.4556320687077
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,strain_proxy_target,target,none,0.9574685012669412,0.9837294760701638,0.9721590909090911,0.974428805107868,0.8630970534741901,0.9434554439203662,0.9539950335390581,0.01914062499999991,91.04442736448831
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,time_shuffle_control,negative_control,global_time_shuffle,0.45713705951149236,0.7091795624105472,0.054576605678526666,0.7526617249736834,0.05393566233653726,0.26500160247715443,0.26173505140122627,0.2279296875000001,26.532355459471546
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,phase_scramble_control,negative_control,fft_phase_scramble,0.46735838852512973,0.7691477543449978,0.0,0.7682300938147264,0.0,0.5621687074832915,0.09811243892973573,0.2603515624999999,31.159748371270524
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.2959288580774616,0.5352388394392769,0.0,0.4400192714051431,0.0,0.0,0.14534479744040676,0.5316406250000001,6.661394724464429
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.6598567155749673,0.9457290439429626,0.8332386363636363,0.22750993520980198,0.48060392381326417,0.8262687033981153,0.8295033311778973,0.11464843750000009,4.834567653432487
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.7085543920801884,0.9770944091426866,0.9764204545454547,0.0,0.8384987430942795,0.9432612973309369,0.9563293749710219,0.01621093749999991,-76.33658278483449
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.6745778076079185,0.9746635373946871,0.8940340909090911,0.0,0.7494502283622614,0.9446024064660314,0.9570788374659969,0.07285156249999991,-78.08357377119992
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.6469549647463364,0.9010454793276341,0.9084660791021828,0.0,0.746132036893886,0.6975294160109642,0.6836899695808134,0.012304687499999911,-15.565379298915644
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.3037191805031968,0.7541209571554364,0.0,0.17,0.0,0.24805612616705175,0.11222174923952592,0.2865234375000001,-5.418351005090528
surrogate_03,gw150914_like_surrogate,synthetic_surrogate,6503,14.700804946526196,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.744156687745919,0.978925468453395,0.9167613636363638,0.2622787323325242,0.7370802488627579,0.9376322378522202,0.9336632048537414,0.05722656249999991,3.7010502728672066
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,strain_proxy_target,target,none,0.9307493114819769,0.9827764669472386,0.9383522727272726,0.9264489526254972,0.8223870526626863,0.941102320643403,0.9362071861649256,0.04238281250000009,75.05549387757759
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,time_shuffle_control,negative_control,global_time_shuffle,0.2690039818079253,0.633156695281456,0.0,0.17,0.0,0.34084687568912997,0.1839212959845763,0.7640625000000001,-17.717695391283627
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,phase_scramble_control,negative_control,fft_phase_scramble,0.25822079245276935,0.6783924123649585,0.02234330376344503,0.0,0.03778084878003908,0.5526957833022562,0.23708605581910502,0.6197265624999999,-17.17381480527331
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.27665552397387866,0.5155981764815717,0.0,0.3872803570583657,0.0,0.0,0.07162980181009135,0.5775390625000001,10.22317124577566
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.5632494945223284,0.908269648107839,0.7478918319270065,0.0,0.4469615539541635,0.7055412137583037,0.6714761067677109,0.11171875000000009,-12.238337476797653
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.6377720054152048,0.9733974833413406,0.8045454545454547,0.0,0.6516706821706186,0.9411589870128003,0.9364120832926738,0.1343749999999999,-70.42636745579063
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.6354252957754708,0.9696011418387193,0.8045454545454547,0.0,0.6448960004090084,0.9405540578645485,0.9360313888261242,0.1343749999999999,-73.566367386505
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.7260976696132783,0.93785880308833,0.9892045454545456,0.17,0.7702142931202377,0.8100003608485167,0.8656183672836962,0.007421874999999911,-53.64560488603689
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.18732719315563043,0.5397651392117111,0.0,0.0,0.0,0.0,0.006268498728720473,0.4701171875000001,-42.81789125162334
surrogate_04,gw150914_like_surrogate,synthetic_surrogate,6504,10.779551811855317,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.807536818433165,0.9802217830631973,0.9866477272727272,0.4017772500484846,0.8123137658371555,0.93559709930454,0.9180685016464842,0.009179687500000089,10.278115202482837
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,strain_proxy_target,target,none,0.9617651557858011,0.9904218463354645,0.9806818181818184,0.9909894007784275,0.8364020626620985,0.9682894191547811,0.9371893325156652,0.013281249999999911,95.59268051652117
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,time_shuffle_control,negative_control,global_time_shuffle,0.3611136691164707,0.6671361659448622,0.13022727272727283,0.3024865038851306,0.11694870826264911,0.33828504325434483,0.2125213039861723,0.1304687499999999,10.319201212635022
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,phase_scramble_control,negative_control,fft_phase_scramble,0.30483743590512336,0.4818343307244335,0.0,0.5418751735221958,0.0,0.0,0.07108304575492186,1.1001953125,22.109873045851856
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.21689493519031358,0.627263976416637,0.0,0.0,0.0,0.0814367500385372,0.12494697476803386,0.6410156250000001,-25.223379708472947
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.6947467106589904,0.9681808304262347,0.8488636363636364,0.33316142686707795,0.4552220855567798,0.9060847321811909,0.8087901090111626,0.10390625000000009,9.745439854211924
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.7068816330722391,0.9835773790368779,0.9806818181818184,0.0,0.8069318183170378,0.9681412152303435,0.9353216438573293,0.013281249999999911,-69.8154741291307
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.6681284914312828,0.9797562052645226,0.8855113636363638,0.0,0.7091874746482251,0.9676565703027522,0.9341783270494411,0.07871093749999991,-70.55093820946766
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.8042797231190939,0.9684202769581955,0.9877840909090911,0.4415305923483972,0.7584548107507819,0.9145657115773643,0.857979801003313,0.008398437499999911,21.587612583522372
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.35503554103493906,0.8439405791379138,0.007222370211415581,0.20508047158944417,0.021501102345055444,0.5633244919884641,0.22552298898520015,0.3150390624999999,2.7391216787960673
surrogate_05,gw150914_like_surrogate,synthetic_surrogate,6505,12.014560068248612,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.6714228092018814,0.9792391518626732,0.6980113636363638,0.31008568341189746,0.5169150878151043,0.9633062114303499,0.907269064084882,0.2076171874999999,7.671682455748851
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,strain_proxy_target,target,none,0.9729660895474105,0.993191785610402,0.9835227272727274,0.9889140199475119,0.8942463205241823,0.9817085510732317,0.977166644702007,0.011328124999999911,108.18430562333683
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,time_shuffle_control,negative_control,global_time_shuffle,0.3827651098943661,0.6014359520576205,0.3854863019455945,0.18163298974466213,0.27120429936651413,0.0,0.39238725228994653,0.10996093749999991,0.8561098219293228
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,phase_scramble_control,negative_control,fft_phase_scramble,0.2778267667529646,0.674807801407659,0.0,0.17,0.00398121412259997,0.181984730524944,0.21045459255092414,0.4251953125000001,-24.911865923658098
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.1885367816241495,0.5323436171588809,0.0,0.0,0.0,0.11700867682988125,0.14935408353697885,0.9029296874999999,-24.963675615549477
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.7952876480527779,0.9731738661521425,0.8488636363636364,0.7833002934306388,0.3680852833688363,0.9484726005083922,0.9184886630590026,0.10390625000000009,36.490283174232445
surrogate_06,gw150914_like_surrogate,synthetic_surrogate,6506,16.428457307254174,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.719234432516181,0.9861508587105716,0.9835227272727274,0.0,0.8688546907873118,0.9815789627353576,0.9782127569444364,0.011328124999999911,-118.33446872361422
