event_id,source_label,target_score,best_control_sample,best_control_type,best_control_score,margin_over_best_control,event_window_control_max,event_window_margin,separation_z,control_false_positive_rate
surrogate_01,gw150914_like_surrogate,0.967547786497843,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.7199282593022246,0.24761952719561842,0.7199282593022246,0.24761952719561842,2.2091507275662456,0.0
surrogate_02,gw150914_like_surrogate,0.9656492420471205,sliding_window_scramble_control,event_window_sliding_scramble,0.801252804308079,0.16439643773904156,0.801252804308079,0.16439643773904156,1.952354430589304,0.0
surrogate_03,gw150914_like_surrogate,0.9574685012669412,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.744156687745919,0.21331181352102213,0.744156687745919,0.21331181352102213,2.4871465683153957,0.0
surrogate_04,gw150914_like_surrogate,0.9307493114819769,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.807536818433165,0.12321249304881188,0.807536818433165,0.12321249304881188,2.0079494475170696,0.1111111111111111
surrogate_05,gw150914_like_surrogate,0.9617651557858011,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.8042797231190939,0.15748543266670723,0.8042797231190939,0.15748543266670723,2.0924194913116323,0.0
surrogate_06,gw150914_like_surrogate,0.9729660895474105,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.8365368489078228,0.13642924063958772,0.8365368489078228,0.13642924063958772,1.7074753822764501,0.1111111111111111
surrogate_07,gw150914_like_surrogate,0.9485035716397473,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.7327879245048808,0.21571564713486646,0.7327879245048808,0.21571564713486646,2.10769906540111,0.0
surrogate_08,gw150914_like_surrogate,0.9392267165872608,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.7666605354605409,0.17256618112671984,0.7666605354605409,0.17256618112671984,2.0219244246235957,0.0
surrogate_09,gw150914_like_surrogate,0.9176462858530606,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.8133215296544609,0.10432475619859971,0.8133215296544609,0.10432475619859971,1.9478260755170862,0.1111111111111111
surrogate_10,gw150914_like_surrogate,0.9524742819469502,sliding_window_scramble_control,event_window_sliding_scramble,0.7521517899550157,0.20032249199193441,0.7521517899550157,0.20032249199193441,1.8991791118851225,0.0
surrogate_11,gw150914_like_surrogate,0.9727748368011421,sliding_window_scramble_control,event_window_sliding_scramble,0.8777750179357489,0.09499981886539322,0.8777750179357489,0.09499981886539322,2.1178617012267695,0.1111111111111111
surrogate_12,gw150914_like_surrogate,0.9593308225200106,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.807181780105555,0.1521490424144556,0.807181780105555,0.1521490424144556,2.234187478170433,0.0
