sample,sample_role,control_type,memory_specificity_score,memory_recoverability,permanence_score,temporal_step_score,mode_signature_score,generic_smoothness_score,recovered_target_correlation,recovered_amplitude,plateau_stability,low_mode_energy_fraction,target_mode_correlation
toy_memory_target,target,none,0.9706760945551709,0.9999741400977782,0.9901429153915897,0.9999983734869288,0.9999978302049091,0.10171046419953511,0.9999928388195712,0.9999713153763397,0.9802858307831795,0.999993213053077,0.9999996257639548
temporal_shuffle_control,negative_control,per_node_time_shuffle,0.051825700922376206,0.028411905985876465,0.03061308537646693,0.023029707392313747,0.17501162806186543,0.0,0.03788254131450195,0.11876497162695367,0.0,0.2964901972089553,0.1277699622824416
transient_decay_control,negative_control,burst_without_permanent_shift,0.051554483090501216,0.04220076508549546,0.0008391694699307738,6.0960237519691855e-05,0.2175965355082061,0.0,0.05626768678066061,0.003172805211897526,0.0,0.3092266647408318,0.18196259636218498
coordinate_permutation_control,negative_control,node_identity_permutation,0.1726530885020499,0.24963613290051487,0.3174988838373835,0.0,0.06810041879354592,0.0,-0.022409481497348945,1.0005094139392792,0.21859223313847742,0.2432157814055211,-0.09213827066585349
mode_scramble_control,negative_control,same_low_band_wrong_memory_coefficients,0.1805759943520607,0.2498679498948519,0.20008835273823353,0.0,0.2799981572390294,0.0,-0.00024145284708158136,1.0001848701472074,0.0,0.999993418710819,-0.00024145443616285848
low_mode_decoy_control,negative_control,smooth_step_wrong_l_band,0.19090435682585385,0.25010882980656973,0.20008103366424568,0.01679740204949702,0.26286017486855157,0.31554161445526785,0.00022147425641693433,1.0000801862400401,0.0,0.9381793064218206,0.00023606815339136393
stochastic_drift_control,negative_control,smooth_random_walk_no_event_lock,0.1508389555264473,0.126149802585175,0.2514500943645324,0.0,0.28,0.0,-0.17012896644136186,0.826609723619245,0.0,1.0,-0.17012896644136186
