left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.0,True,,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_c70af5951ff4d9712678a20b,0.169659056021604,True,,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.22764144967890304,True,,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_c70af5951ff4d9712678a20b,0.27762270090051955,True,,
obs_c21d789f14a613fc6b0083e2,obs_8de73c59341ac382087fba03,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.163224348280706,True,,
obs_c21d789f14a613fc6b0083e2,obs_4b958084812d6435763f9a05,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_1364358a857deba241e04538,0.2896793542495495,True,,
obs_c21d789f14a613fc6b0083e2,obs_ea0aca853f3046642f451b7d,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.27554929689085833,True,,
obs_c21d789f14a613fc6b0083e2,obs_1163ec91dc845e4ed94d462a,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_1364358a857deba241e04538,0.32921559803175654,True,,
obs_c21d789f14a613fc6b0083e2,obs_d6eeaa59b08b0f1c4897f8db,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.12830277170135795,True,,
obs_c21d789f14a613fc6b0083e2,obs_86701919f4db014d1d236f54,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.1769147182943826,True,,
obs_c21d789f14a613fc6b0083e2,obs_8c347ec96417e5677cdb8ad0,target,target,target,target,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.2463587841691698,True,,
obs_c21d789f14a613fc6b0083e2,obs_624a249c44d428f10aa73463,target,frozen_control,target,periodic_diagonal_augmented_control,bsig_53d374d66c9dffe0861a6d49,bsig_53d374d66c9dffe0861a6d49,0.27607780688709616,True,,
obs_c21d789f14a613fc6b0083e2,obs_e43b79a2ef68469ae989ae1e,target,derived_control,target,shuffled_structure_control,bsig_53d374d66c9dffe0861a6d49,bsig_bb01a7c1d0ca9b191d52310d,0.15793650793650793,True,,
obs_c21d789f14a613fc6b0083e2,obs_c887eb3bf0ab4011d4084e3a,target,derived_control,target,shuffled_structure_control,bsig_53d374d66c9dffe0861a6d49,bsig_bb01a7c1d0ca9b191d52310d,0.31811764015509353,True,,
