amplitude,seed,initial_fidelity,branch_final_fidelity,branch_recovery_gain,branch_recovery_time_step,branch_grade_signature_error,passive_recovery_gain,operator_only_recovery_gain,topology_recovery_gain,trivial_recovery_gain,trivial_identity_to_branch
0.25,3301,0.9411764705882355,0.8997204266133757,-0.0414560439748598,,0.09708142179237515,0.0,-0.011115788487757405,-0.04158999802628438,0.05882352926238066,0.18713531685726634
0.25,3302,0.9411764705882357,0.8961965700948251,-0.04497990049341061,,0.0975234205683083,0.0,-0.01219807371577697,-0.04384918367933943,0.058823529261526675,0.18713559423058626
0.25,3303,0.9411764705882362,0.8937690757376207,-0.047407394850615514,,0.08918607878078186,0.0,-0.01110788217889358,-0.04757330937470894,0.05882352926142875,0.1871357100394116
0.25,3304,0.941176470588236,0.8986125617150209,-0.04256390887321504,,0.08965767901296906,0.0,-0.005640279384439784,-0.04271619185037612,0.05882352926377332,0.18713460859683814
0.25,3305,0.9411764705882362,0.9054983093136285,-0.035678161274607656,,0.1096719606629201,0.0,-0.008778716836431166,-0.034851915428475655,0.058823529262725716,0.18713505425735144
0.25,3306,0.9411764705882357,0.8988511598006655,-0.04232531078757018,,0.10602430353642255,0.0,-0.011339356083981622,-0.04267773313275558,0.058823529263114516,0.18713498122619898
0.25,3307,0.9411764705882357,0.8928730971886935,-0.04830337339954227,,0.08675015331712542,0.0,-0.013543094299005243,-0.048321088421393266,0.05882352926245149,0.18713522223536036
0.25,3308,0.9411764705882353,0.8943852864895655,-0.04679118409866978,,0.09354687991570836,0.0,-0.01696574132319828,-0.04743678228749659,0.05882352926339496,0.18713499515069112
0.5,3301,0.8000000000000007,0.7549912868995968,-0.045008713100403885,,0.31674283111833884,0.0,-0.030885933792569986,-0.04516688021294191,0.199999999460573,0.18713335184054855
0.5,3302,0.8000000000000006,0.7479985743471357,-0.05200142565286492,,0.31574452973116396,0.0,-0.0341550183731375,-0.049360560717932156,0.19999999945536928,0.18713385973827293
0.5,3303,0.8,0.7457459920894935,-0.054254007910506497,,0.2946259791789863,0.0,-0.030047809608754195,-0.05447930024834302,0.19999999945391944,0.18713407184269804
0.5,3304,0.8000000000000004,0.7562831741289705,-0.043716825871029874,,0.2970954630203556,0.0,-0.01513958019783046,-0.04423100774219302,0.19999999947044744,0.18713206941199623
0.5,3305,0.8000000000000006,0.761281503063002,-0.03871849693699858,,0.32916858677998795,0.0,-0.028953707598165956,-0.037046954057729065,0.19999999946350455,0.18713287211574642
0.5,3306,0.8000000000000002,0.7501033010217399,-0.04989669897826021,,0.3292818946470366,0.0,-0.03422472921660302,-0.051010433679682055,0.1999999994652878,0.18713273871904618
0.5,3307,0.8000000000000005,0.7437143894970253,-0.0562856105029752,,0.2852022649689616,0.0,-0.03694237909553166,-0.05617185735459129,0.19999999946094515,0.18713317454290954
0.5,3308,0.8000000000000006,0.7451924039835758,-0.05480759601642482,,0.3039326847270686,0.0,-0.046650318985688055,-0.05626949185899888,0.19999999946619218,0.18713276412910027
0.9,3301,0.5524861878453045,0.512247084005959,-0.04023910383934548,,0.6988522750955548,0.0,-0.044749223353435674,-0.040276427513166624,0.4475138107850023,0.1871291291019559
0.9,3302,0.5524861878453042,0.5003510500292616,-0.05213513781604262,,0.6940746809009496,0.0,-0.05001384784692264,-0.04759096456041689,0.4475138107652339,0.18712986995287662
0.9,3303,0.5524861878453041,0.5003675773612346,-0.052118610484069516,,0.6544025679614075,0.0,-0.0417334053727314,-0.052401875701688305,0.4475138107580584,0.18713017680630972
0.9,3304,0.5524861878453041,0.5163716734120138,-0.03611451443329028,,0.6613176103524413,0.0,-0.02066048686903388,-0.037165358007232085,0.4475138108246838,0.18712727725021078
0.9,3305,0.5524861878453041,0.5178788991838753,-0.034607288661428814,,0.6959003233457379,0.0,-0.052372645969119724,-0.03191380866268634,0.4475138107976132,0.18712842699480664
0.9,3306,0.5524861878453045,0.5020818890538997,-0.050404298791404734,,0.7084698580859079,0.0,-0.05555548343382649,-0.052483706568132726,0.4475138108032506,0.1871282309795964
0.9,3307,0.5524861878453041,0.49736922328850103,-0.055116964556803094,,0.6317748170039411,0.0,-0.05203841577992463,-0.054797969725093654,0.4475138107863018,0.18712885509624108
0.9,3308,0.5524861878453041,0.49773044869794264,-0.05475573914736148,,0.6689965110753586,0.0,-0.06648177976809355,-0.05728380627069907,0.4475138108051898,0.18712826826438747
