sample,sample_role,model_family,data_kind,series,n_lower,n_upper,l_lower,l_upper,wavenumber_m_inv,wavelength_nm,reference_wavenumber_m_inv,reference_wavelength_nm,relative_wavenumber_error,relative_wavelength_error,fitted_rydberg_m_inv,rydberg_relative_error,transition_rms_relative_error,series_law_rms_relative_error,absolute_line_score,rydberg_scale_score,inverse_square_law_score,line_order_score,selection_rule_score,hydrogen_reference_score,status
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,lyman,1,4,0,1,10282273.444,97.2547564938,10282273.444,97.2547564938,0,0,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,lyman,1,5,0,1,9749118.52469,102.57337599,10529048.0067,94.9753481385,0.0740740740741,0.08,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,lyman,1,6,0,1,8225818.75521,121.568445617,10663098.3864,93.7813723333,0.228571428571,0.296296296296,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,balmer,2,3,0,1,2518107.78221,397.123589016,1523299.76948,656.469606333,0.65306122449,0.395061728395,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,balmer,2,4,0,1,2437279.63117,410.293503958,2056454.6888,486.273782469,0.185185185185,0.15625,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,balmer,2,5,0,1,2303229.25146,434.173020062,2303229.25146,434.173020062,0,0,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,balmer,2,6,0,1,2056454.6888,486.273782469,2437279.63117,410.293503958,0.15625,0.185185185185,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,balmer,2,7,0,1,1523299.76948,656.469606333,2518107.78221,397.123589016,0.395061728395,0.65306122449,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,paschen,3,4,0,1,1047268.59152,954.864881939,533154.919319,1875.62744667,0.964285714286,0.490909090909,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,paschen,3,5,0,1,994808.012724,1005.2190847,779929.481975,1282.16719987,0.275510204082,0.216,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,paschen,3,6,0,1,913979.86169,1094.11601056,913979.86169,1094.11601056,0,0,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,paschen,3,7,0,1,779929.481975,1282.16719987,994808.012724,1005.2190847,0.216,0.275510204082,,,,,,,,,,,LINE_RECORDED
reversed_transition_identity_control,negative_control,identity_shuffle_control,line,paschen,3,8,0,1,533154.919319,1875.62744667,1047268.59152,954.864881939,0.490909090909,0.964285714286,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,aggregate,all,,,,,,,,,,,10967758.3403,1.69829156646e-16,0,2.37358235608e-16,1,1,1,1,0,0,CONTROL_REJECTED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,lyman,1,2,0,0,8225818.75521,121.568445617,8225818.75521,121.568445617,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,lyman,1,3,0,0,9749118.52469,102.57337599,9749118.52469,102.57337599,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,lyman,1,4,0,0,10282273.444,97.2547564938,10282273.444,97.2547564938,0,0,,,,,,,,,,,LINE_RECORDED
