hierarchy_label,level_id,n_side,h,ensemble_size,seed,probe_name,distance_band,mean_latency,latency_std,front_distance,front_ordering_valid,chain_signature
frozen_branch,n48,48,0.020833333333,7,1301,density_pulse,far,1.4,1.979898987322,0.866666666667,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1301,candidate_removal,near,0.266667,0.377123616633,2.533333333333,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1301,candidate_removal,far,2.8,1.979898987322,2.533333333333,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1301,bias_onset,near,1.733333,0.188561808316,1.733333333333,True,low_k_half>dispersion_half>radius_half>front_near>spectral_half>width_half>front_far
frozen_branch,n48,48,0.020833333333,7,1301,bias_onset,far,3.466667,1.03708994574,1.733333333333,True,low_k_half>dispersion_half>radius_half>front_near>spectral_half>width_half>front_far
frozen_branch,n48,48,0.020833333333,7,1302,density_pulse,near,4.2,0.0,2.8,False,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_far>front_near
frozen_branch,n48,48,0.020833333333,7,1302,density_pulse,far,1.4,1.979898987322,2.8,False,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_far>front_near
frozen_branch,n48,48,0.020833333333,7,1302,candidate_removal,near,3.466667,1.03708994574,3.466666666667,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n48,48,0.020833333333,7,1302,candidate_removal,far,0.0,0.0,3.466666666667,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n48,48,0.020833333333,7,1302,bias_onset,near,2.8,1.232882800594,0.8,True,low_k_half>dispersion_half>width_half>radius_half>front_near>spectral_half>front_far
frozen_branch,n48,48,0.020833333333,7,1302,bias_onset,far,3.6,0.848528137424,0.8,True,low_k_half>dispersion_half>width_half>radius_half>front_near>spectral_half>front_far
frozen_branch,n48,48,0.020833333333,7,1303,density_pulse,near,1.4,1.979898987322,1.4,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1303,density_pulse,far,2.8,1.979898987322,1.4,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1303,candidate_removal,near,1.4,1.979898987322,1.4,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
