hierarchy_label,level_id,n_side,h,ensemble_size,seed,probe_name,perturbation_kind,event_time_distance,chain_distance,graph_distance,front_latency_distance,primary_parameter_distance
frozen_branch,n60,60,0.016666666667,7,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.082857142857,0.0,0.0
frozen_branch,n60,60,0.016666666667,7,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n60,60,0.016666666667,7,1303,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n60,60,0.016666666667,7,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.044210526316,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.087368421053,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.065,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1303,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,3,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.037777777778,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.054736842105,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.076315789474,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,5,1303,bias_onset,amplitude_shift,0.1,0.0,0.233333333333,0.15,0.0
frozen_branch,n72,72,0.013888888889,5,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.059444444444,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1301,bias_onset,amplitude_shift,0.057142857143,0.047619047619,0.109090909091,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.069333333333,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1302,bias_onset,density_gradient_plus,0.028571428571,0.0,0.057142857143,0.1,0.004331267696
frozen_branch,n72,72,0.013888888889,7,1302,bias_onset,amplitude_shift,0.028571428571,0.0,0.057142857143,0.1,0.004331267696
frozen_branch,n72,72,0.013888888889,7,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.08,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n72,72,0.013888888889,7,1303,bias_onset,amplitude_shift,0.019047619048,0.0,0.04,0.066666666667,0.0
frozen_branch,n72,72,0.013888888889,7,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.047368421053,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1301,bias_onset,density_gradient_plus,0.114285714286,0.047619047619,0.252631578947,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.083157894737,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.065,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1303,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,3,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.037777777778,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1301,bias_onset,density_gradient_plus,0.057142857143,0.0,0.126315789474,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.053157894737,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.076315789474,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1303,bias_onset,amplitude_shift,0.057142857143,0.047619047619,0.133333333333,0.0,0.0
frozen_branch,n84,84,0.011904761905,5,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.052777777778,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.07,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.08,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1303,bias_onset,density_gradient_plus,0.019047619048,0.0,0.04,0.066666666667,0.0
frozen_branch,n84,84,0.011904761905,7,1303,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
frozen_branch,n84,84,0.011904761905,7,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.046333333333,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.061052631579,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.059,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,bias_onset,amplitude_shift,0.171428571429,0.142857142857,0.315789473684,0.3,0.100273841171
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.093333333333,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.041,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,bias_onset,amplitude_shift,0.057142857143,0.047619047619,0.114285714286,0.0,0.040039248984
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.0615,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,bias_onset,density_gradient_plus,0.057142857143,0.0,0.12,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.057,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.067368421053,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,bias_onset,density_gradient_plus,0.142857142857,0.095238095238,0.260869565217,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,bias_onset,amplitude_shift,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.072,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1303,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1303,bias_onset,amplitude_shift,0.066666666667,0.047619047619,0.127272727273,0.233333333333,0.018815062874
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1303,bias_onset,event_graph_connectivity_noise,0.0,0.0,0.053650793651,0.0,0.0
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1301,bias_onset,density_gradient_plus,0.0,0.0,0.0,0.0,0.0
