hierarchy_label,level_id,n_side,h,ensemble_size,seed,probe_name,parameter_name,tau,value,reversal_count,monotonicity_score,is_primary_parameter
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_dispersion_progress,2.0,0.188107603301,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_dispersion_progress,2.4,0.22517702973,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_dispersion_progress,3.0,0.280418437945,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_dispersion_progress,3.6,0.335217339285,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_dispersion_progress,4.2,0.38956645557,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,0.0,0.0,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,0.4,0.280949813745,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,0.8,0.563605602,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,1.2,0.847798452745,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,1.6,1.133366468372,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,2.0,1.420160394059,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,2.4,1.708046518838,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,3.0,2.14165672089,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,3.6,2.577140800223,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,candidate_removal,integrated_low_k_progress,4.2,3.014245563729,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,0.0,0.0,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,0.4,0.0,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,0.8,0.0,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,1.2,0.0,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,1.6,0.047279280523,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,2.0,0.14183784157,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,2.4,0.236396402616,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,3.0,0.378234244186,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,3.6,0.520072085756,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_radius_progress,4.2,0.661909927326,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,0.0,0.0,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,0.4,7.481308e-06,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,0.8,0.0191737844,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,1.2,0.05726003623,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,1.6,0.095134282416,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,2.0,0.133636836295,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,2.4,0.173369216534,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,3.0,0.235208665348,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,3.6,0.299424749502,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_dispersion_progress,4.2,0.365594543934,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,0.0,0.0,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,0.4,0.180473785412,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,0.8,0.532023539998,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,1.2,0.874988432527,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,1.6,1.219314450622,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,2.0,1.566513664958,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,2.4,1.918308560052,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,3.0,2.453559916224,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,3.6,2.991817164674,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1301,bias_onset,integrated_low_k_progress,4.2,3.526011538438,0,1.0,False
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,0.0,0.0,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,0.4,0.237099249973,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,0.8,0.474198499947,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,1.2,0.71129774992,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,1.6,0.948396999893,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,2.0,1.185496249867,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,2.4,1.42259549984,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,3.0,1.7782443748,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,3.6,2.13389324976,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_radius_progress,4.2,2.48954212472,0,1.0,True
frozen_branch,n48,48,0.020833333333,3,1302,density_pulse,integrated_dispersion_progress,0.0,0.0,0,1.0,False
