hierarchy_label,level_id,n_side,tau,family_label,localization_width,spatial_concentration,participation_ratio,spectral_energy_mean,spectral_energy_spread,width_growth,concentration_ratio,participation_growth
frozen_branch,n48,48,0.0,low_mode_localized_wavepacket,0.08,0.02158677071,92.649337265547,0.100781033868,0.093913158981,0.0,1.0,0.0
frozen_branch,n48,48,0.1,low_mode_localized_wavepacket,0.080526778172,0.021307583537,93.868381636144,0.099044988769,0.092427493837,0.00658472715,0.987066746724,0.013157615657
frozen_branch,n48,48,0.2,low_mode_localized_wavepacket,0.081050582999,0.021035242417,95.088596378549,0.097363091477,0.090984006854,0.013132287487,0.974450634585,0.026327863588
frozen_branch,n48,48,0.4,low_mode_localized_wavepacket,0.082089418985,0.020510161879,97.532333376826,0.094152465258,0.088217049937,0.026117737312,0.950126452656,0.052704058716
frozen_branch,n48,48,0.8,low_mode_localized_wavepacket,0.084133013487,0.019532392064,102.431759915826,0.088285675941,0.083121797526,0.051662668587,0.904831589977,0.105585457371
frozen_branch,n48,48,0.0,mid_spectrum_localized_superposition,0.055,0.045671184312,43.791288316919,0.545729950683,0.34797483974,0.0,1.0,0.0
frozen_branch,n48,48,0.1,mid_spectrum_localized_superposition,0.055681029152,0.044579944635,44.872789964558,0.522289574288,0.336775501064,0.012382348218,0.976106604341,0.024696730542
frozen_branch,n48,48,0.2,mid_spectrum_localized_superposition,0.056362286773,0.043526540635,45.968097945095,0.500324265301,0.326079652802,0.024768850418,0.953041645201,0.049708736871
frozen_branch,n48,48,0.4,mid_spectrum_localized_superposition,0.057722455445,0.04153040998,48.195419027607,0.460383018996,0.30611333904,0.049499189909,0.909335078685,0.100570932712
frozen_branch,n48,48,0.8,mid_spectrum_localized_superposition,0.060417807398,0.037953338273,52.769550763005,0.393868119336,0.271291433027,0.098505589055,0.831012789459,0.20502393949
frozen_branch,n48,48,0.0,random_localized_seed,0.04894394078,0.140754345343,13.551369376813,0.952581116974,0.587287402315,0.0,1.0,0.0
frozen_branch,n48,48,0.1,random_localized_seed,0.049611102692,0.13696787046,14.315657259801,0.886744277199,0.560250141199,0.013631144149,0.97309869991,0.056399310043
frozen_branch,n48,48,0.2,random_localized_seed,0.050302114576,0.132873929133,15.131627511404,0.826861504448,0.534195130055,0.027749579914,0.944012980979,0.116612431604
frozen_branch,n48,48,0.4,random_localized_seed,0.051738367977,0.124167937399,16.901631176278,0.722975556352,0.485437042757,0.057094446268,0.882160597575,0.247226808325
frozen_branch,n48,48,0.8,random_localized_seed,0.054733991318,0.106651553472,20.874340890976,0.566031056528,0.402308227212,0.118299639255,0.757714109729,0.540386090183
frozen_branch,n60,60,0.0,low_mode_localized_wavepacket,0.08,0.013815533255,144.764589477418,0.064799075909,0.060617796468,0.0,1.0,0.0
frozen_branch,n60,60,0.1,low_mode_localized_wavepacket,0.080340693939,0.013699230843,145.996905898673,0.064071798898,0.059988561446,0.004258674237,0.991581764536,0.008512554249
frozen_branch,n60,60,0.2,low_mode_localized_wavepacket,0.080680071839,0.013584819642,147.229720575412,0.063359477843,0.059371237579,0.008500897988,0.983300419264,0.017028550331
frozen_branch,n60,60,0.4,low_mode_localized_wavepacket,0.081354930602,0.013361494953,149.696786573621,0.061977987354,0.058171070258,0.016936632525,0.967135665803,0.0340704665
frozen_branch,n60,60,0.8,low_mode_localized_wavepacket,0.08268941,0.012935676376,154.636287296788,0.059376450836,0.055900453398,0.033617625,0.936313940059,0.068191384751
frozen_branch,n60,60,0.0,mid_spectrum_localized_superposition,0.055,0.02922955796,68.423887995186,0.355184853561,0.229601940873,0.0,1.0,0.0
frozen_branch,n60,60,0.1,mid_spectrum_localized_superposition,0.055459237494,0.028752843474,69.564796416446,0.34487749987,0.224452282945,0.008349772618,0.983690670702,0.016674124413
frozen_branch,n60,60,0.2,mid_spectrum_localized_superposition,0.055917150648,0.028288892149,70.71196960742,0.335024670539,0.21947756926,0.016675466327,0.967817993954,0.033439807051
frozen_branch,n60,60,0.4,mid_spectrum_localized_superposition,0.056828513758,0.02739792311,73.023572347773,0.31658361899,0.210025893543,0.033245704691,0.937336211088,0.067223370191
frozen_branch,n60,60,0.8,mid_spectrum_localized_superposition,0.058630740199,0.025754146254,77.706445274708,0.284149919699,0.192936387879,0.066013458164,0.881099409346,0.135662523009
frozen_branch,n60,60,0.0,random_localized_seed,0.046947056978,0.099009950481,21.167086640226,0.62771258077,0.395892730628,0.0,1.0,0.0
frozen_branch,n60,60,0.1,random_localized_seed,0.047636274281,0.096202874232,21.987206316466,0.597420327802,0.38250698473,0.01468073501,0.971648544057,0.038745042725
frozen_branch,n60,60,0.2,random_localized_seed,0.048148370001,0.093527778535,22.838893255346,0.56914094586,0.369590316338,0.025588675847,0.944630091022,0.078981422599
frozen_branch,n60,60,0.4,random_localized_seed,0.04919139332,0.088241114961,24.630055194538,0.518076911163,0.345177452124,0.04780568765,0.891234815615,0.163601567527
frozen_branch,n60,60,0.8,random_localized_seed,0.051326096756,0.078224725026,28.513857591545,0.434516067511,0.301932036469,0.093276129749,0.79006932784,0.347084654407
periodic_diagonal_augmented_control,n48,48,0.0,low_mode_localized_wavepacket,0.08,0.02158677071,92.649337265547,0.170438071259,0.158001810798,0.0,1.0,0.0
periodic_diagonal_augmented_control,n48,48,0.1,low_mode_localized_wavepacket,0.080884778416,0.021122416266,94.698030120594,0.165574541935,0.15390347578,0.0110597302,0.978488934253,0.022112331459
periodic_diagonal_augmented_control,n48,48,0.2,low_mode_localized_wavepacket,0.081761705485,0.020676569057,96.751224832756,0.160957609777,0.149990862506,0.022021318563,0.957835210035,0.044273253196
periodic_diagonal_augmented_control,n48,48,0.4,low_mode_localized_wavepacket,0.083492502144,0.019836409873,100.869874509133,0.152396682667,0.14267869469,0.0436562768,0.918915114238,0.088727426296
