source_file,sheet_name,thickness_nm,n_distances,slope_ps_per_um,intercept_ps,group_velocity_m_s,r_squared,monotonic_peak_delay
outputs/raw/Source data Fig.2.xlsx,Fig.2a,224,4,7.5,4.71116,133333.3333,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2b,96,4,14.25,3.21116,70175.4386,0.998156682,1
