condition,expected_response,component_count,betti0_distance,edge_jaccard_distance,observed_status
known_positive,self Betti_0 and edge signature recover exactly,4,0,0,PASS
d4_rotate_90,D4 rotation preserves Betti_0 and edge signature,4,0,0,PASS
d4_reflect_real,D4 reflection preserves Betti_0 and edge signature,4,0,0,PASS
isomorphism_relabel,graph-isomorphism relabel preserves Betti_0 and edge signature,4,0,0,PASS
threshold_mutation_control,threshold mutation should move Betti_0 or relation edges,6,2,0.454545454545,PASS
topology_destroyed_control,rewiring should move Betti_0 or relation edges,2,2,0.8,PASS
support_replacement_control,support replacement should move Betti_0 or relation edges,3,1,0.175,PASS
