pair_type,mode,left_observation_id,right_observation_id,left_group,right_group,equivalent,available_component_count,failure_reasons,boundary_hits,boundary_sensitive,hash_equality_used_for_equivalence,component_results_json
target_control:periodic_diagonal_augmented_control,strict,obs_8e2a3670273441ac539de39a,obs_55d3a12bb558684967717fdc,target,periodic_diagonal_augmented_control,False,6,d_spec=0.664265574722 > 0.5|d_causal=0.143459398105 > 0.1|d_addr=0.25 > 0.05,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.4, ""value"": 0.33297454377969765, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.25, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": false, ""tolerance"": 0.5, ""value"": 0.6642655747216146, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": false, ""tolerance"": 0.1, ""value"": 0.14345939810471708, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.03760396258503401, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": false, ""tolerance"": 0.05, ""value"": 0.25, ""within_boundary_epsilon"": false}]"
target_control:periodic_diagonal_augmented_control,exploratory,obs_8e2a3670273441ac539de39a,obs_55d3a12bb558684967717fdc,target,periodic_diagonal_augmented_control,False,6,d_spec=0.664265574722 > 0.55,d_addr,True,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.45, ""value"": 0.33297454377969765, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.25, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": false, ""tolerance"": 0.55, ""value"": 0.6642655747216146, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.2, ""value"": 0.14345939810471708, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.3, ""value"": 0.03760396258503401, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.25, ""within_boundary_epsilon"": true}]"
target_control:periodic_diagonal_augmented_control,strict,obs_423d19db444cd1e59704599b,obs_f0d4a7c013a3ea485b20d9a1,target,periodic_diagonal_augmented_control,False,6,d_causal=0.143459398105 > 0.1|d_addr=0.25 > 0.05,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.4, ""value"": 0.04201427710272975, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.18243177145415104, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": false, ""tolerance"": 0.1, ""value"": 0.14345939810471708, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.009637193877551012, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": false, ""tolerance"": 0.05, ""value"": 0.25, ""within_boundary_epsilon"": false}]"
target_control:periodic_diagonal_augmented_control,exploratory,obs_423d19db444cd1e59704599b,obs_f0d4a7c013a3ea485b20d9a1,target,periodic_diagonal_augmented_control,True,6,,d_addr,True,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.45, ""value"": 0.04201427710272975, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.18243177145415104, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.2, ""value"": 0.14345939810471708, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.3, ""value"": 0.009637193877551012, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.25, ""within_boundary_epsilon"": true}]"
target_control:periodic_diagonal_augmented_control,strict,obs_0fcedd9b2f9a3aa20b670c73,obs_3a706a092842cf3bb03e1590,target,periodic_diagonal_augmented_control,False,6,d_struct=0.545454545455 > 0.5|d_spec=0.628343488316 > 0.5,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.4, ""value"": 0.1789158165143011, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": false, ""tolerance"": 0.5, ""value"": 0.5454545454545454, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": false, ""tolerance"": 0.5, ""value"": 0.6283434883162855, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.1, ""value"": 0.037263872224944296, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.034958418367346936, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.05, ""value"": 0.0, ""within_boundary_epsilon"": false}]"
target_control:periodic_diagonal_augmented_control,exploratory,obs_0fcedd9b2f9a3aa20b670c73,obs_3a706a092842cf3bb03e1590,target,periodic_diagonal_augmented_control,False,6,d_spec=0.628343488316 > 0.55,d_struct,True,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.45, ""value"": 0.1789158165143011, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.5454545454545454, ""within_boundary_epsilon"": true}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": false, ""tolerance"": 0.55, ""value"": 0.6283434883162855, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.2, ""value"": 0.037263872224944296, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.3, ""value"": 0.034958418367346936, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.0, ""within_boundary_epsilon"": false}]"
target_control:periodic_diagonal_augmented_control,strict,obs_4b796329fed4f21f3f9c32db,obs_ebdaee582ef94660e1c15de0,target,periodic_diagonal_augmented_control,True,6,,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.4, ""value"": 0.03370013733406297, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.2121212121212121, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.26125373705514504, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.1, ""value"": 0.037263872224944296, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.009637193877551012, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.05, ""value"": 0.0, ""within_boundary_epsilon"": false}]"
target_control:periodic_diagonal_augmented_control,exploratory,obs_4b796329fed4f21f3f9c32db,obs_ebdaee582ef94660e1c15de0,target,periodic_diagonal_augmented_control,True,6,,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.45, ""value"": 0.03370013733406297, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.2121212121212121, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.26125373705514504, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.2, ""value"": 0.037263872224944296, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.3, ""value"": 0.009637193877551012, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.0, ""within_boundary_epsilon"": false}]"
target_control:randomized_edge_control,strict,obs_1a5fe18454a72c010723b68e,obs_532ada1626dd5c5eb1bf5d73,target,randomized_edge_control,False,6,d_addr=0.416666666667 > 0.05,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.4, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.4, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.5, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.1, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.25, ""value"": 0.21428571428571427, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": false, ""tolerance"": 0.05, ""value"": 0.41666666666666663, ""within_boundary_epsilon"": false}]"
target_control:randomized_edge_control,exploratory,obs_1a5fe18454a72c010723b68e,obs_532ada1626dd5c5eb1bf5d73,target,randomized_edge_control,False,6,d_addr=0.416666666667 > 0.25,,False,False,"[{""availability"": ""available"", ""component"": ""d_inv"", ""passed"": true, ""tolerance"": 0.45, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_struct"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.4, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_spec"", ""passed"": true, ""tolerance"": 0.55, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_causal"", ""passed"": true, ""tolerance"": 0.2, ""value"": 0.0, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_time"", ""passed"": true, ""tolerance"": 0.3, ""value"": 0.21428571428571427, ""within_boundary_epsilon"": false}, {""availability"": ""available"", ""component"": ""d_addr"", ""passed"": false, ""tolerance"": 0.25, ""value"": 0.41666666666666663, ""within_boundary_epsilon"": false}]"
