hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,cluster_count,largest_cluster_size,merged_candidate_count,cluster_frequency,effective_exclusion_radius
frozen_branch,n48,48,0.020833333333,3,1301,0.0,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,0.4,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,0.8,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,1.2,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,1.6,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,2.0,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,2.4,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,3.0,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,3.6,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1301,4.2,0,1,0,0.0,0.201063508094
frozen_branch,n48,48,0.020833333333,3,1302,0.0,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,0.4,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,0.8,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,1.2,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,1.6,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,2.0,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,2.4,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,3.0,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,3.6,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1302,4.2,0,1,0,0.0,0.296615558767
frozen_branch,n48,48,0.020833333333,3,1303,0.0,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,0.4,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,0.8,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,1.2,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,1.6,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,2.0,0,1,0,0.0,0.450646219117
frozen_branch,n48,48,0.020833333333,3,1303,2.4,0,1,0,0.0,0.450646219117
