hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,low_mode_occupancy,single_mode_baseline_occupancy,low_mode_occupancy_ratio_vs_single,spectral_distortion_vs_single
frozen_branch,n48,48,0.020833333333,5,1302,3.0,0.274988042146,0.447325652534,0.614737922112,-0.385262077888
frozen_branch,n48,48,0.020833333333,5,1302,3.6,0.28300341178,0.468455034305,0.604120760917,-0.395879239083
frozen_branch,n48,48,0.020833333333,5,1302,4.2,0.289564211543,0.488203913082,0.593121447379,-0.406878552621
frozen_branch,n48,48,0.020833333333,5,1303,0.0,0.180388246959,0.320037906875,0.563646502753,-0.436353497247
frozen_branch,n48,48,0.020833333333,5,1303,0.4,0.191223407622,0.339106687946,0.56390338032,-0.43609661968
frozen_branch,n48,48,0.020833333333,5,1303,0.8,0.201465420416,0.357539988621,0.563476609128,-0.436523390872
frozen_branch,n48,48,0.020833333333,5,1303,1.2,0.211083869716,0.375326809514,0.562400191952,-0.437599808048
frozen_branch,n48,48,0.020833333333,5,1303,1.6,0.220060204435,0.392461968186,0.560717272688,-0.439282727312
frozen_branch,n48,48,0.020833333333,5,1303,2.0,0.228386340804,0.408944885159,0.558477068898,-0.441522931102
frozen_branch,n48,48,0.020833333333,5,1303,2.4,0.23606320216,0.424778623432,0.555732301811,-0.444267698189
frozen_branch,n48,48,0.020833333333,5,1303,3.0,0.246381354012,0.447325652534,0.550787446721,-0.449212553279
frozen_branch,n48,48,0.020833333333,5,1303,3.6,0.255312291487,0.468455034305,0.545009174392,-0.454990825608
frozen_branch,n48,48,0.020833333333,5,1303,4.2,0.262930762064,0.488203913082,0.538567502265,-0.461432497735
frozen_branch,n48,48,0.020833333333,7,1301,0.0,0.26270906344,0.320037906875,0.82086858399,-0.17913141601
frozen_branch,n48,48,0.020833333333,7,1301,0.4,0.269837275544,0.339106687946,0.795729736793,-0.204270263207
frozen_branch,n48,48,0.020833333333,7,1301,0.8,0.275951064557,0.357539988621,0.771804758459,-0.228195241541
frozen_branch,n48,48,0.020833333333,7,1301,1.2,0.28116525115,0.375326809514,0.749121149949,-0.250878850051
frozen_branch,n48,48,0.020833333333,7,1301,1.6,0.285580588913,0.392461968186,0.727664365119,-0.272335634881
frozen_branch,n48,48,0.020833333333,7,1301,2.0,0.289284520307,0.408944885159,0.707392440414,-0.292607559586
frozen_branch,n48,48,0.020833333333,7,1301,2.4,0.292352496393,0.424778623432,0.688246724919,-0.311753275081
frozen_branch,n48,48,0.020833333333,7,1301,3.0,0.295901693755,0.447325652534,0.661490554094,-0.338509445906
frozen_branch,n48,48,0.020833333333,7,1301,3.6,0.298347047606,0.468455034305,0.636874461279,-0.363125538721
frozen_branch,n48,48,0.020833333333,7,1301,4.2,0.299836224311,0.488203913082,0.614161862036,-0.385838137964
frozen_branch,n48,48,0.020833333333,7,1302,0.0,0.263653418153,0.320037906875,0.823819342926,-0.176180657074
frozen_branch,n48,48,0.020833333333,7,1302,0.4,0.272560778842,0.339106687946,0.803761142233,-0.196238857767
frozen_branch,n48,48,0.020833333333,7,1302,0.8,0.28031057116,0.357539988621,0.783997818652,-0.216002181348
frozen_branch,n48,48,0.020833333333,7,1302,1.2,0.286978660015,0.375326809514,0.764610075113,-0.235389924887
frozen_branch,n48,48,0.020833333333,7,1302,1.6,0.29264279243,0.392461968186,0.745658983933,-0.254341016067
frozen_branch,n48,48,0.020833333333,7,1302,2.0,0.29738037836,0.408944885159,0.72718938212,-0.27281061788
frozen_branch,n48,48,0.020833333333,7,1302,2.4,0.301266859375,0.424778623432,0.709232627907,-0.290767372093
frozen_branch,n48,48,0.020833333333,7,1302,3.0,0.305657934445,0.447325652534,0.683300706573,-0.316699293427
frozen_branch,n48,48,0.020833333333,7,1302,3.6,0.308523190005,0.468455034305,0.658597234339,-0.341402765661
frozen_branch,n48,48,0.020833333333,7,1302,4.2,0.310067728805,0.488203913082,0.635119302604,-0.364880697396
frozen_branch,n48,48,0.020833333333,7,1303,0.0,0.106719176533,0.320037906875,0.333457925578,-0.666542074422
frozen_branch,n48,48,0.020833333333,7,1303,0.4,0.111941040735,0.339106687946,0.330105670912,-0.669894329088
frozen_branch,n48,48,0.020833333333,7,1303,0.8,0.116819254261,0.357539988621,0.326730597916,-0.673269402084
frozen_branch,n48,48,0.020833333333,7,1303,1.2,0.121359654565,0.375326809514,0.323343953826,-0.676656046174
frozen_branch,n48,48,0.020833333333,7,1303,1.6,0.125569863986,0.392461968186,0.31995422274,-0.68004577726
frozen_branch,n48,48,0.020833333333,7,1303,2.0,0.129458751323,0.408944885159,0.316567723479,-0.683432276521
frozen_branch,n48,48,0.020833333333,7,1303,2.4,0.133036047656,0.424778623432,0.313189130332,-0.686810869668
frozen_branch,n48,48,0.020833333333,7,1303,3.0,0.137840444986,0.447325652534,0.308143394426,-0.691856605574
frozen_branch,n48,48,0.020833333333,7,1303,3.6,0.142003410599,0.468455034305,0.303131357761,-0.696868642239
frozen_branch,n48,48,0.020833333333,7,1303,4.2,0.145562302433,0.488203913082,0.298158819567,-0.701841180433
frozen_branch,n60,60,0.016666666667,3,1301,0.0,0.450124743243,0.320037906897,1.406473213147,0.406473213147
frozen_branch,n60,60,0.016666666667,3,1301,0.4,0.463287474048,0.332383834554,1.393832749628,0.393832749628
frozen_branch,n60,60,0.016666666667,3,1301,0.8,0.47551099947,0.344465222359,1.380432533114,0.380432533114
frozen_branch,n60,60,0.016666666667,3,1301,1.2,0.486842163131,0.356278791513,1.366464057724,0.366464057724
frozen_branch,n60,60,0.016666666667,3,1301,1.6,0.497330950444,0.367822360187,1.352095479435,0.352095479435
frozen_branch,n60,60,0.016666666667,3,1301,2.0,0.507028579662,0.379094687829,1.337472130158,0.337472130158
frozen_branch,n60,60,0.016666666667,3,1301,2.4,0.515986053423,0.39009534205,1.322717802041,0.322717802041
frozen_branch,n60,60,0.016666666667,3,1301,3.0,0.528142726312,0.406087673521,1.300563303815,0.300563303815
frozen_branch,n60,60,0.016666666667,3,1301,3.6,0.538904361531,0.421472776735,1.2786219924,0.2786219924
frozen_branch,n60,60,0.016666666667,3,1301,4.2,0.548416683954,0.43625637015,1.257097251704,0.257097251704
frozen_branch,n60,60,0.016666666667,3,1302,0.0,0.246588681055,0.320037906897,0.77049835579,-0.22950164421
frozen_branch,n60,60,0.016666666667,3,1302,0.4,0.255781308756,0.332383834554,0.769535946593,-0.230464053407
frozen_branch,n60,60,0.016666666667,3,1302,0.8,0.264684193688,0.344465222359,0.768391630004,-0.231608369996
frozen_branch,n60,60,0.016666666667,3,1302,1.2,0.273287064416,0.356278791513,0.767059591889,-0.232940408111
frozen_branch,n60,60,0.016666666667,3,1302,1.6,0.281581769823,0.367822360187,0.765537390603,-0.234462609397
frozen_branch,n60,60,0.016666666667,3,1302,2.0,0.289562183585,0.379094687829,0.763825484455,-0.236174515545
frozen_branch,n60,60,0.016666666667,3,1302,2.4,0.297224085426,0.39009534205,0.761926773757,-0.238073226243
frozen_branch,n60,60,0.016666666667,3,1302,3.0,0.308114816831,0.406087673521,0.758739643979,-0.241260356021
